team_name,contestantId,match_id,periodId,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state,clock_sec,set_piece_index,set_piece_type,set_piece_team,event_time
RFC Seraing,jb4xejoxjfk5a0a50bo8hvst,5q62wyyuavpmge89otax5q590,1,2709275009,129,13,16,19,1,90.1,55.2,Y. Mokhtari,49.0,29.0,NaN,NaN,RFC Seraing vs KRC Genk II,2024-08-16,NaN,NaN,NaN,0.1254933625459671,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,,NaN,,,NaN,NaN,NaN,NaN,5.0,0.1254933625459671,,,draw,979,3,throw_in,,979
RFC Seraing,jb4xejoxjfk5a0a50bo8hvst,5q62wyyuavpmge89otax5q590,1,2709305317,363,13,45,51,1,76.3,62.6,Y. Mokhtari,136.0,87.0,NaN,NaN,RFC Seraing vs KRC Genk II,2024-08-16,NaN,NaN,NaN,0.0625297874212265,0.0,NaN,NaN,NaN,NaN,NaN,,true,NaN,NaN,NaN,none,,,NaN,,,NaN,NaN,NaN,NaN,0.0,0.0625297874212265,,,KRC Genk II,2751,10,throw_in,,2751
KRC Genk II,5vctyv2w431ao3bcfl7809w4,5q62wyyuavpmge89otax5q590,2,2709340613,703,13,68,56,1,92.6,59.3,C. Akpan,217.0,142.0,NaN,NaN,RFC Seraing vs KRC Genk II,2024-08-16,NaN,NaN,NaN,0.01867825724184513,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,1.0,0.01867825724184513,,,KRC Genk II,4136,4,corner,,4136
RFC Seraing,jb4xejoxjfk5a0a50bo8hvst,5q62wyyuavpmge89otax5q590,2,2709349907,730,15,78,41,1,91.7,58.2,R. Droehnlé,252.0,161.0,NaN,NaN,RFC Seraing vs KRC Genk II,2024-08-16,NaN,NaN,NaN,0.04796972870826721,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,0.0,0.04796972870826721,,,KRC Genk II,4721,6,corner,,4721
RSC Anderlecht II,d011rbp4etj5styzfmpd7wa38,5qsfnjh1418nmybp6qrrwfok4,1,2709268625,122,15,11,31,1,97.0,41.5,l. Wola-Wetshay,41.0,30.0,NaN,NaN,RSC Anderlecht II vs Deinze,2024-08-16,NaN,NaN,NaN,0.10007059574127197,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,NaN,,NaN,NaN,NaN,NaN,,,,,,691,5,corner,,691
RSC Anderlecht II,d011rbp4etj5styzfmpd7wa38,5qsfnjh1418nmybp6qrrwfok4,1,2709287397,261,15,29,22,1,80.6,53.2,N. Moutha-Sebtaoui,97.0,62.0,NaN,NaN,RSC Anderlecht II vs Deinze,2024-08-16,NaN,NaN,NaN,0.1362248659133911,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,NaN,true,,NaN,NaN,NaN,NaN,,,,,,1762,1,freekick_shot,d011rbp4etj5styzfmpd7wa38,1762
RSC Anderlecht II,d011rbp4etj5styzfmpd7wa38,5qsfnjh1418nmybp6qrrwfok4,2,2709318567,447,15,47,42,1,93.6,40.9,l. Wola-Wetshay,157.0,103.0,NaN,NaN,RSC Anderlecht II vs Deinze,2024-08-16,NaN,NaN,NaN,0.045630525797605515,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,NaN,,NaN,NaN,NaN,NaN,,,,,,2862,5,corner,,2862
Deinze,a6tfw86gs2hb39n2onyd3i4nn,5qsfnjh1418nmybp6qrrwfok4,2,2709342585,625,15,72,0,1,84.3,63.8,G. De Schryver,220.0,142.0,NaN,NaN,RSC Anderlecht II vs Deinze,2024-08-16,NaN,NaN,NaN,0.048461224883794785,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,NaN,,NaN,NaN,NaN,NaN,,,,,,4320,5,corner,,4320
Deinze,a6tfw86gs2hb39n2onyd3i4nn,5qsfnjh1418nmybp6qrrwfok4,2,2709353963,705,15,83,37,1,91.2,55.6,Y. Musuayi,261.0,168.0,NaN,NaN,RSC Anderlecht II vs Deinze,2024-08-16,NaN,NaN,NaN,0.03585871309041977,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,NaN,,NaN,NaN,NaN,NaN,,,,,,5017,3,corner,,5017
Deinze,a6tfw86gs2hb39n2onyd3i4nn,5qsfnjh1418nmybp6qrrwfok4,2,2709366535,798,13,84,9,1,96.1,38.0,Z. Fdaouch,263.0,168.0,NaN,NaN,RSC Anderlecht II vs Deinze,2024-08-16,NaN,NaN,NaN,0.03622901067137718,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,NaN,,NaN,NaN,NaN,NaN,,,,,,5049,2,corner,,5049
