id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName
1gzgkjei16r4lt2fvcedy1jvt,Ahoueke Steeve Kévin,Denkey,Kévin,Denkey,K. Denkey,Togo,3jiuckrqd0zejkm452st5dyq7,France,7gww28djs405rfga69smki84o,Attacker,player,2000-11-30,Lomé,Togo,3jiuckrqd0zejkm452st5dyq7,181.0,81.0,right,9.0,active,yes,NaN
21d3mvqtl1ttuyvnl3hrsz6z8,Jonas,Lietaert,Jonas,Lietaert,J. Lietaert,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2004-07-16,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,NaN,right,76.0,active,yes,NaN
21ipfd9gxws9vqpw9002o8ve1,Warleson,Steillon Lisboa Oliveira,Warleson,Steillon Lisboa Oliveira,Warleson,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Italy,25f2cmb2r8mk5rj92tzer6kvv,Goalkeeper,player,1996-08-31,Cuiabá,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,190.0,87.0,right,1.0,active,yes,Warleson
28tmdelcl9a9pmxkvv5h3grh0,Jordan,Semedo Varela,Jordan,Semedo,J. Semedo Varela,France,7gww28djs405rfga69smki84o,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Defender,player,2003-01-15,Nice,France,7gww28djs405rfga69smki84o,175.0,NaN,left,77.0,active,yes,NaN
2jhi0lbbo65dsfv4ho9pmlgix,Leonardo Adelino,da Silva Lopes,Leonardo,Da Silva Lopes,Leonardo Lopes,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,Midfielder,player,1998-11-30,Lisboa,Portugal,1nbm5i9a0403zzvltn17lxinc,168.0,61.0,right,22.0,active,yes,Leonardo Lopes
2u3xxsra162776xmvdqfm92c4,Dré,Callens,Dré,Callens,D. Callens,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2005-01-30,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,81.0,active,yes,NaN
3azcz09h41svsjqkp6m676j9w,Felipe Augusto,da Silva,Felipe Augusto,da Silva,Felipe Augusto,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Attacker,player,2004-02-18,São Paulo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,NaN,10.0,active,yes,Felipe Augusto
3l1v52usaf9mmi9dwowdwv3e,Abu,Francis,Abu,Francis,A. Francis,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Midfielder,player,2001-04-27,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,182.0,65.0,right,17.0,active,yes,NaN
3rw4wlo3rlojg4rs9dri2uyvo,Emmanuel,Kakou,Emmanuel,Kakou,E. Kakou,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Defender,player,2005-06-30,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,179.0,NaN,right,90.0,active,yes,NaN
4xar9g5p62l7rt8to8enxy06i,Miron,Muslić,Miron,Muslic,M. Muslić,Austria,hcs1bd49qliqqity6o268jyt,NaN,NaN,NaN,coach,1982-09-14,Bihać,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,NaN,NaN,active,yes,NaN
