playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Bernier,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
A. Brown,Gent,Kortrijk vs Gent,0.0,0.0
A. Calut,Standard Liège,Genk vs Standard Liège,0.0,0.0
A. Castro-Montes,Union Saint-Gilloise,Dender vs Union Saint-Gilloise,0.0,0.0
A. Costa,Antwerp,Sporting Charleroi vs Antwerp,0.0,0.0
A. Diriken,Sint-Truiden,Anderlecht vs Sint-Truiden,0.0,0.0
A. Dreyer,Anderlecht,Anderlecht vs Sint-Truiden,0.0,0.0
A. Fadera,Genk,Genk vs Standard Liège,0.0,0.0
A. Flips,Anderlecht,Anderlecht vs Sint-Truiden,0.0,0.0
A. Francis,Cercle Brugge,Westerlo vs Cercle Brugge,0.0,0.0
A. Guðjohnsen,Gent,Kortrijk vs Gent,0.0,0.0
A. Kadri,Kortrijk,Kortrijk vs Gent,0.0,0.0
A. Khalaili,Union Saint-Gilloise,Dender vs Union Saint-Gilloise,0.0,0.0
A. Konstantopoulos,Beerschot,Beerschot vs OH Leuven,0.0,0.0
A. Moris,Union Saint-Gilloise,Dender vs Union Saint-Gilloise,0.0,0.0
A. Nhaili,Sint-Truiden,Anderlecht vs Sint-Truiden,0.0,0.0
A. Nusa,Club Brugge,Club Brugge vs Mechelen,0.0,0.0
A. O'Neill,Standard Liège,Genk vs Standard Liège,0.0,0.0
A. Ouattara,Cercle Brugge,Westerlo vs Cercle Brugge,0.0,0.0
A. Piedfort,Westerlo,Westerlo vs Cercle Brugge,0.0,0.0
A. Sayyadmanesh,Westerlo,Westerlo vs Cercle Brugge,0.0,0.0
A. Skov Olsen,Club Brugge,Club Brugge vs Mechelen,0.0,0.0
A. Yusuf,Antwerp,Sporting Charleroi vs Antwerp,0.0,0.0
A. Zorgane,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
B. Bafdili,Mechelen,Club Brugge vs Mechelen,0.0,0.0
B. Godeau,Sint-Truiden,Anderlecht vs Sint-Truiden,0.0,0.0
B. Mechele,Club Brugge,Club Brugge vs Mechelen,0.0,0.0
B. Messaoudi,Kortrijk,Kortrijk vs Gent,0.0,0.0
B. Nsimba,Dender,Dender vs Union Saint-Gilloise,0.0,0.0
