playerName,playerId,contestantId,team_name,label,match_id,date,321
A. Ait El Hadj,1e7snjsrbh93xt5ti1oyuqxka,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Sint-Truiden vs Union Saint-Gilloise,633kfo3pvp46mgpidjadmzg2c,2024-08-25,0.0859415754675865
A. Ait El Hadj,1e7snjsrbh93xt5ti1oyuqxka,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Union Saint-Gilloise vs Anderlecht,66gwllyydpsz7dx3yxkxq9ixg,2024-09-01,0.0
A. Ait El Hadj,1e7snjsrbh93xt5ti1oyuqxka,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Union Saint-Gilloise vs Beerschot,5s39kjgcfais5etoyb5ks7fh0,2024-08-02,0.0219261702150106
A. Ait El Hadj,1e7snjsrbh93xt5ti1oyuqxka,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Union Saint-Gilloise vs Sporting Charleroi,5y7o12321gsyhahz2gn9k70gk,2024-08-16,0.0
A. Ait El Hadj,1e7snjsrbh93xt5ti1oyuqxka,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Westerlo vs Union Saint-Gilloise,5vxo6e7c495zmi951vfdf8vtg,2024-08-10,0.0
A. Akman,cog2vp76lmir7dt76pgrkspyi,4dtif7outbuivua8umbwegoo5,Dender,Sint-Truiden vs Dender,5yydugt5i41swnxgud348ujh0,2024-08-17,0.0849820971488952
A. Bernier,8ic5et3o15rkxyebpxy6y4mhh,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Mechelen vs Sporting Charleroi,66ucfra4d6i3l0xcgxq1ubsb8,2024-08-31,0.0
A. Bernier,8ic5et3o15rkxyebpxy6y4mhh,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Sint-Truiden vs Sporting Charleroi,5t7w35uh3t29uk7t0egu7q784,2024-08-03,0.0
A. Bernier,8ic5et3o15rkxyebpxy6y4mhh,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Sporting Charleroi vs Antwerp,5r7lyj3frtml3aqy458jrxj4k,2024-07-28,0.0342109389603138
A. Bernier,8ic5et3o15rkxyebpxy6y4mhh,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Sporting Charleroi vs Beerschot,69j7bcf7os8kbk36hu1uwf9jo,2024-09-15,0.0
A. Bernier,8ic5et3o15rkxyebpxy6y4mhh,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Sporting Charleroi vs Gent,5xgwfzcgrnw085pw5hnepeln8,2024-08-11,0.0262336209416389
A. Bernier,8ic5et3o15rkxyebpxy6y4mhh,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Sporting Charleroi vs Kortrijk,63uoo18inmfae3rccfpuza5n8,2024-08-25,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Antwerp vs Sint-Truiden,5x3j66bwrma8tfs8yyohzgob8,2024-08-11,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Kortrijk vs Sint-Truiden,64lht6g6ibxn6bagltwfy96ac,2024-09-01,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Sint-Truiden vs Dender,5yydugt5i41swnxgud348ujh0,2024-08-17,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Sint-Truiden vs OH Leuven,695t6yuiyw8q7bjv9nnll1atw,2024-09-15,0.0
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Dender,5uts2s7fl98clqz8uymaazehg,2024-08-04,0.0260378681123256
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Mechelen,69wrieh1ixcw51mu3bt111bmc,2024-09-15,0.0
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Westerlo,60t776say1yeeo1fsxk4wanmc,2024-08-18,0.0
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Kortrijk vs Gent,5qqz2do47zjms7rfrwzcths7o,2024-07-28,0.0215891040861606
A. Calut,58t55r6jzo6bco6uf80pbkk8a,5z1b7fuvpqe6vnigvopomvecu,Standard Liège,Genk vs Standard Liège,5qa6smqwjobwdm3j0okr0r09g,2024-07-28,0.034820158034563
A. Castro-Montes,7dayrhr0c60zbc1b6lig8pm8l,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Antwerp vs Union Saint-Gilloise,68eiweirqknjn592234u1xlw4,2024-09-15,0.0
A. Castro-Montes,7dayrhr0c60zbc1b6lig8pm8l,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Union Saint-Gilloise vs Anderlecht,66gwllyydpsz7dx3yxkxq9ixg,2024-09-01,0.0239321812987327
A. Castro-Montes,7dayrhr0c60zbc1b6lig8pm8l,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Union Saint-Gilloise vs Sporting Charleroi,5y7o12321gsyhahz2gn9k70gk,2024-08-16,0.0
A. Colassin,3hpv677ua2y88yx55iujzqpgq,cyrrlv6l1onld5x247w1q1jlr,Beerschot,Beerschot vs Dender,64ysv2thjjl53plej04r8jxuc,2024-08-31,0.0
A. Colassin,3hpv677ua2y88yx55iujzqpgq,cyrrlv6l1onld5x247w1q1jlr,Beerschot,Sporting Charleroi vs Beerschot,69j7bcf7os8kbk36hu1uwf9jo,2024-09-15,0.0
A. Costa,cpy32pe78zslyn9mtuy2b2ql0,7zibyotq1x1hq6pmgibhr0e6s,Antwerp,Antwerp vs Anderlecht,5tle8ulixbd5vc0y4p7myvrbo,2024-08-04,0.0
A. Costa,cpy32pe78zslyn9mtuy2b2ql0,7zibyotq1x1hq6pmgibhr0e6s,Antwerp,Antwerp vs Mechelen,62cnaajosb1s3o89q0lc26cd0,2024-08-24,0.0309330690652132
A. Costa,cpy32pe78zslyn9mtuy2b2ql0,7zibyotq1x1hq6pmgibhr0e6s,Antwerp,Sporting Charleroi vs Antwerp,5r7lyj3frtml3aqy458jrxj4k,2024-07-28,0.0117515046149492
A. Devine,b8pl56k1d1btqlucywp077vje,2nhn3ikl1ciq34w3hcp883d6p,Westerlo,Anderlecht vs Westerlo,68sa9uu43xr57i0g660kjerkk,2024-09-14,0.0411039963364601
A. Dreyer,3q2ibq6hhxyht8046ib49ye39,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,Anderlecht vs OH Leuven,5wb56hj1k3gel6lkn5se3gqok,2024-08-10,0.0
A. Dreyer,3q2ibq6hhxyht8046ib49ye39,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,Anderlecht vs Sint-Truiden,5ptnar4qtaltvcfsjdw9vzhg4,2024-07-27,0.0
A. Dreyer,3q2ibq6hhxyht8046ib49ye39,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,Anderlecht vs Westerlo,68sa9uu43xr57i0g660kjerkk,2024-09-14,0.0
A. Dreyer,3q2ibq6hhxyht8046ib49ye39,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,Antwerp vs Anderlecht,5tle8ulixbd5vc0y4p7myvrbo,2024-08-04,0.0
A. Dreyer,3q2ibq6hhxyht8046ib49ye39,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,Mechelen vs Anderlecht,5zbqst62v7epoh0ujqact9fys,2024-08-17,0.0
A. Fadera,5f13ro5hgmago2bmqtzjw5ey,89xivtxk59uzvhdsd6miao6tm,Genk,Genk vs Standard Liège,5qa6smqwjobwdm3j0okr0r09g,2024-07-28,0.0
A. Fadera,5f13ro5hgmago2bmqtzjw5ey,89xivtxk59uzvhdsd6miao6tm,Genk,OH Leuven vs Genk,5sue6595uizdrssh0wv22egpg,2024-08-03,0.0154673503711819
A. Flips,ccu7hw3wrcspl1a18g2ldnsh5,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Sporting Charleroi vs Beerschot,69j7bcf7os8kbk36hu1uwf9jo,2024-09-15,0.0824799165129661
A. Francis,3l1v52usaf9mmi9dwowdwv3e,3ix9om1svhd6obl0mbk1otgop,Cercle Brugge,Cercle Brugge vs Kortrijk,5u35bb21cuumrm2th8czyecr8,2024-08-04,0.0903516486287117
A. Francis,3l1v52usaf9mmi9dwowdwv3e,3ix9om1svhd6obl0mbk1otgop,Cercle Brugge,OH Leuven vs Cercle Brugge,602pbgoexz07st4msln8fq0wk,2024-08-18,0.0153622040525078
A. Francis,3l1v52usaf9mmi9dwowdwv3e,3ix9om1svhd6obl0mbk1otgop,Cercle Brugge,Westerlo vs Cercle Brugge,5ro450tmjg6o1r4cphzzyg74k,2024-07-28,0.0201676003634929
A. Guðjohnsen,60gs7lod7de72ypcs6qfup8q2,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Antwerp,663g37c8m2xo51oc1p9qgv8r8,2024-09-01,0.0
A. Guðjohnsen,60gs7lod7de72ypcs6qfup8q2,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Dender,5uts2s7fl98clqz8uymaazehg,2024-08-04,0.0777161195874214
A. Guðjohnsen,60gs7lod7de72ypcs6qfup8q2,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Mechelen,69wrieh1ixcw51mu3bt111bmc,2024-09-15,0.1576439291238784
A. Guðjohnsen,60gs7lod7de72ypcs6qfup8q2,8y3iucyxguipljcmf87a11bk9,Gent,Kortrijk vs Gent,5qqz2do47zjms7rfrwzcths7o,2024-07-28,0.1338553428649902
A. Ito,b5nc0tgc33wklhsekw3jklylm,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Mechelen,69wrieh1ixcw51mu3bt111bmc,2024-09-15,0.0190237704664468
A. Jashari,94sln58zt76ydfvs4pl7xkqy2,1oyb7oym5nwzny8vxf03szd2h,Club Brugge,Standard Liège vs Club Brugge,5ugfsw7je1y0lay7xdqe3pces,2024-08-04,0.0456791333854198
A. Kadri,5np1ksd9qkmc511ihzvikhy0a,1uk609mhtsfhokhaewjapb26,Kortrijk,Cercle Brugge vs Kortrijk,5u35bb21cuumrm2th8czyecr8,2024-08-04,0.5190603733062744
A. Kadri,5np1ksd9qkmc511ihzvikhy0a,1uk609mhtsfhokhaewjapb26,Kortrijk,Dender vs Kortrijk,5vkgr4htjs4t0r0zj6gprk1zo,2024-08-10,0.0
A. Kadri,5np1ksd9qkmc511ihzvikhy0a,1uk609mhtsfhokhaewjapb26,Kortrijk,Kortrijk vs Club Brugge,680xcwtdpjmrp0slvty9jf09g,2024-09-14,0.0349072478711605
A. Kadri,5np1ksd9qkmc511ihzvikhy0a,1uk609mhtsfhokhaewjapb26,Kortrijk,Kortrijk vs Gent,5qqz2do47zjms7rfrwzcths7o,2024-07-28,0.0421286560595035
A. Kadri,5np1ksd9qkmc511ihzvikhy0a,1uk609mhtsfhokhaewjapb26,Kortrijk,Kortrijk vs Sint-Truiden,64lht6g6ibxn6bagltwfy96ac,2024-09-01,0.0434104092419147
A. Kadri,5np1ksd9qkmc511ihzvikhy0a,1uk609mhtsfhokhaewjapb26,Kortrijk,Kortrijk vs Standard Liège,60fxqypp88be80w75i4zeytxw,2024-08-18,0.1703269779682159
A. Khalaili,earug82pg87gzwvm5yt1yd990,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Antwerp vs Union Saint-Gilloise,68eiweirqknjn592234u1xlw4,2024-09-15,0.0
A. Khalaili,earug82pg87gzwvm5yt1yd990,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Dender vs Union Saint-Gilloise,5ow2wa823rjft38oh48b4ror8,2024-07-27,0.0488470569252967
A. Khalaili,earug82pg87gzwvm5yt1yd990,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Union Saint-Gilloise vs Beerschot,5s39kjgcfais5etoyb5ks7fh0,2024-08-02,0.0205133687704801
A. Konstantopoulos,2ky2kn7gpjorkyg9zyg68pk6i,cyrrlv6l1onld5x247w1q1jlr,Beerschot,Beerschot vs Dender,64ysv2thjjl53plej04r8jxuc,2024-08-31,0.0
A. Konstantopoulos,2ky2kn7gpjorkyg9zyg68pk6i,cyrrlv6l1onld5x247w1q1jlr,Beerschot,Sporting Charleroi vs Beerschot,69j7bcf7os8kbk36hu1uwf9jo,2024-09-15,0.0112685542553663
A. Konstantopoulos,2ky2kn7gpjorkyg9zyg68pk6i,cyrrlv6l1onld5x247w1q1jlr,Beerschot,Standard Liège vs Beerschot,63h4h13tk4qc892q7gjrd5s0k,2024-08-25,0.0334075801074504
A. Kosiah,f07j2ge60cbdp3bcys4cx18iy,cyrrlv6l1onld5x247w1q1jlr,Beerschot,Beerschot vs Dender,64ysv2thjjl53plej04r8jxuc,2024-08-31,0.0609042905271053
A. Kosiah,f07j2ge60cbdp3bcys4cx18iy,cyrrlv6l1onld5x247w1q1jlr,Beerschot,Sporting Charleroi vs Beerschot,69j7bcf7os8kbk36hu1uwf9jo,2024-09-15,0.1158293858170509
A. Minda,cslexkls1qmrj8nu746b4rv2s,3ix9om1svhd6obl0mbk1otgop,Cercle Brugge,Cercle Brugge vs Beerschot,5xud4wolwm30f88iddht6tnh0,2024-08-11,0.0
A. Minda,cslexkls1qmrj8nu746b4rv2s,3ix9om1svhd6obl0mbk1otgop,Cercle Brugge,Cercle Brugge vs Kortrijk,5u35bb21cuumrm2th8czyecr8,2024-08-04,0.0
A. Minda,cslexkls1qmrj8nu746b4rv2s,3ix9om1svhd6obl0mbk1otgop,Cercle Brugge,Club Brugge vs Cercle Brugge,65q09fgzt687cupdrb83y8qhg,2024-09-01,0.1626333743333816
A. Nhaili,a0o987ua6e41qxxter9lykno,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Antwerp vs Sint-Truiden,5x3j66bwrma8tfs8yyohzgob8,2024-08-11,0.0
A. Nusa,8mkkchf0ysdf78r0lncd73klw,1oyb7oym5nwzny8vxf03szd2h,Club Brugge,Club Brugge vs Mechelen,5oc8drrbruovbuiriyhdyiyok,2024-07-26,0.0
A. Nusa,8mkkchf0ysdf78r0lncd73klw,1oyb7oym5nwzny8vxf03szd2h,Club Brugge,Genk vs Club Brugge,5wofhz4hm81f0lk0ay8sumfis,2024-08-11,0.0
A. O'Neill,bcytv86dp6kqrsosu6gck9q7d,5z1b7fuvpqe6vnigvopomvecu,Standard Liège,Dender vs Standard Liège,679h1gg8f915oon195pljkg7o,2024-09-13,0.0739646181464195
