playerName,team_name,label,date,318.0
A. Abid,Standard Liège,RAAL La Louvière vs Standard Liège,2025-07-26,0.013151649999999999
A. Ait El Hadj,Union Saint-Gilloise,Antwerp vs Union Saint-Gilloise,2025-07-25,0.40893788000000003
A. Ait El Hadj,Union Saint-Gilloise,Gent vs Union Saint-Gilloise,2025-08-09,0.37595033999999994
A. Ait El Hadj,Union Saint-Gilloise,Union Saint-Gilloise vs OH Leuven,2025-08-03,0.5132909999999999
A. Bayo,Cercle Brugge,Cercle Brugge vs Westerlo,2025-08-17,0.00032723
A. Bayo,Cercle Brugge,Dender vs Cercle Brugge,2025-07-26,0.0
A. Bernier,Sporting Charleroi,OH Leuven vs Sporting Charleroi,2025-07-27,0.00153945
A. Bernier,Sporting Charleroi,Sporting Charleroi vs Antwerp,2025-08-17,0.04068261
A. Bertaccini,Anderlecht,Anderlecht vs Zulte Waregem,2025-08-10,0.01194275
A. Bertaccini,Anderlecht,Cercle Brugge vs Anderlecht,2025-08-03,0.00486481
A. Bertaccini,Anderlecht,Dender vs Anderlecht,2025-08-17,0.01025141
A. Bertaccini,Sint-Truiden,Sint-Truiden vs Gent,2025-07-27,0.06731334
A. Boukamir,Sporting Charleroi,OH Leuven vs Sporting Charleroi,2025-07-27,0.01226381
A. Calut,Standard Liège,RAAL La Louvière vs Standard Liège,2025-07-26,0.023269199999999997
A. Calut,Standard Liège,Standard Liège vs Dender,2025-08-02,0.009295000000000001
A. Calut,Standard Liège,Standard Liège vs Genk,2025-08-10,0.0019171799999999999
A. Castro-Montes,Union Saint-Gilloise,Antwerp vs Union Saint-Gilloise,2025-07-25,0.08482833
A. Castro-Montes,Union Saint-Gilloise,Gent vs Union Saint-Gilloise,2025-08-09,2.297e-05
A. Castro-Montes,Union Saint-Gilloise,Union Saint-Gilloise vs OH Leuven,2025-08-03,0.00278137
A. Colassin,Sporting Charleroi,Sporting Charleroi vs Antwerp,2025-08-17,0.05133805
A. Colassin,Sporting Charleroi,Sporting Charleroi vs Sint-Truiden,2025-08-03,0.06272382
A. Descotte,Sporting Charleroi,OH Leuven vs Sporting Charleroi,2025-07-27,0.008259530000000001
A. Descotte,Sporting Charleroi,Sporting Charleroi vs Sint-Truiden,2025-08-03,0.0
A. Diriken,Sint-Truiden,Sint-Truiden vs Dender,2025-08-08,0.00010211000000000001
A. Diriken,Sint-Truiden,Sporting Charleroi vs Sint-Truiden,2025-08-03,0.02960172
A. Ferrari,Sint-Truiden,Sint-Truiden vs Dender,2025-08-08,0.0029289600000000004
A. Ferrari,Sint-Truiden,Sint-Truiden vs Gent,2025-07-27,0.03954774
A. Ferrari,Sint-Truiden,Sint-Truiden vs RAAL La Louvière,2025-08-17,0.01012157
A. Ferrari,Sint-Truiden,Sporting Charleroi vs Sint-Truiden,2025-08-03,0.0013456
A. Guðjohnsen,Gent,Gent vs RAAL La Louvière,2025-08-02,0.0
A. Guðjohnsen,Gent,Sint-Truiden vs Gent,2025-07-27,1.566e-05
A. Ito,Gent,Gent vs RAAL La Louvière,2025-08-02,0.01252869
A. Ito,Gent,Gent vs Union Saint-Gilloise,2025-08-09,0.29877447
A. Ito,Gent,Mechelen vs Gent,2025-08-16,0.09631278
A. Ito,Gent,Sint-Truiden vs Gent,2025-07-27,0.07237273
A. Jungdal,Westerlo,Anderlecht vs Westerlo,2025-07-27,0.00030799
A. Jungdal,Westerlo,Cercle Brugge vs Westerlo,2025-08-17,0.00825537
A. Jungdal,Westerlo,Westerlo vs Mechelen,2025-08-09,0.00457428
A. Jungdal,Westerlo,Westerlo vs Zulte Waregem,2025-08-02,0.00142449
A. Kadri,Gent,Mechelen vs Gent,2025-08-16,0.18769269
A. Khalaili,Union Saint-Gilloise,Antwerp vs Union Saint-Gilloise,2025-07-25,0.00664738
A. Khalaili,Union Saint-Gilloise,Gent vs Union Saint-Gilloise,2025-08-09,0.49151307
A. Khalaili,Union Saint-Gilloise,Union Saint-Gilloise vs OH Leuven,2025-08-03,0.0156921
A. Lapage,Westerlo,Westerlo vs Mechelen,2025-08-09,0.0006332099999999999
A. Maamar,Anderlecht,Anderlecht vs Westerlo,2025-07-27,0.00978594
A. Maamar,Anderlecht,Anderlecht vs Zulte Waregem,2025-08-10,0.01005364
A. Maamar,Anderlecht,Cercle Brugge vs Anderlecht,2025-08-03,0.32864385999999995
A. Maamar,Anderlecht,Dender vs Anderlecht,2025-08-17,0.14960857
A. Minda,Cercle Brugge,Cercle Brugge vs Anderlecht,2025-08-03,0.006397450000000001
A. Minda,Cercle Brugge,Cercle Brugge vs Westerlo,2025-08-17,0.10347425
A. Minda,Cercle Brugge,Club Brugge vs Cercle Brugge,2025-08-09,0.0296985
A. Minda,Cercle Brugge,Dender vs Cercle Brugge,2025-07-26,0.13391944
A. Omgba,Gent,Gent vs RAAL La Louvière,2025-08-02,0.1697191
A. Omgba,Gent,Gent vs Union Saint-Gilloise,2025-08-09,0.00211233
A. Omgba,Gent,Sint-Truiden vs Gent,2025-07-27,0.012174180000000001
A. Palacios,Genk,Standard Liège vs Genk,2025-08-10,0.0
A. Piedfort,Westerlo,Westerlo vs Zulte Waregem,2025-08-02,0.01388406
A. Sayyadmanesh,Westerlo,Anderlecht vs Westerlo,2025-07-27,0.04473177
A. Scheidler,Dender,Dender vs Anderlecht,2025-08-17,0.10004576000000001
A. Scheidler,Dender,Dender vs Cercle Brugge,2025-07-26,0.03137832
A. Scheidler,Dender,Sint-Truiden vs Dender,2025-08-08,0.11705020000000001
A. Scheidler,Dender,Standard Liège vs Dender,2025-08-02,0.08675737
A. Sissako,Sint-Truiden,Sint-Truiden vs Dender,2025-08-08,0.04669612
A. Sissako,Sint-Truiden,Sint-Truiden vs Gent,2025-07-27,0.016314620000000002
A. Sissako,Sint-Truiden,Sint-Truiden vs RAAL La Louvière,2025-08-17,0.01838963
A. Sissako,Sint-Truiden,Sporting Charleroi vs Sint-Truiden,2025-08-03,0.00347052
A. Stanković,Club Brugge,Club Brugge vs Cercle Brugge,2025-08-09,0.01601429
A. Stanković,Club Brugge,Mechelen vs Club Brugge,2025-08-01,0.00307808
A. Stanković,Club Brugge,Zulte Waregem vs Club Brugge,2025-08-16,0.02742816
A. Tanghe,Zulte Waregem,Anderlecht vs Zulte Waregem,2025-08-10,0.00021217
A. Tanghe,Zulte Waregem,Westerlo vs Zulte Waregem,2025-08-02,0.29629667
A. Tanghe,Zulte Waregem,Zulte Waregem vs Club Brugge,2025-08-16,0.00619719
A. Tanghe,Zulte Waregem,Zulte Waregem vs Mechelen,2025-07-26,0.00718823
A. Traoré,OH Leuven,Antwerp vs OH Leuven,2025-08-10,0.06366699
A. Traoré,OH Leuven,OH Leuven vs Genk,2025-08-15,0.03870154
A. Traoré,OH Leuven,OH Leuven vs Sporting Charleroi,2025-07-27,5.421e-05
A. Traoré,OH Leuven,Union Saint-Gilloise vs OH Leuven,2025-08-03,0.01275521
A. Traoré,Zulte Waregem,Anderlecht vs Zulte Waregem,2025-08-10,0.00556667
A. Traoré,Zulte Waregem,Westerlo vs Zulte Waregem,2025-08-02,0.05104981
A. Traoré,Zulte Waregem,Zulte Waregem vs Mechelen,2025-07-26,0.14059075
A. Verstraeten,Antwerp,Antwerp vs OH Leuven,2025-08-10,0.0037717700000000002
A. Verstraeten,Antwerp,Antwerp vs Union Saint-Gilloise,2025-07-25,0.00296916
A. Verstraeten,Antwerp,Genk vs Antwerp,2025-08-03,0.0025578999999999997
A. Verstraeten,Antwerp,Sporting Charleroi vs Antwerp,2025-08-17,0.0008272900000000001
A. Zorgane,Union Saint-Gilloise,Antwerp vs Union Saint-Gilloise,2025-07-25,0.0017636000000000002
A. Zorgane,Union Saint-Gilloise,Gent vs Union Saint-Gilloise,2025-08-09,0.02513001
A. Zorgane,Union Saint-Gilloise,Union Saint-Gilloise vs OH Leuven,2025-08-03,0.53128605
Aiham Ousou,Sporting Charleroi,OH Leuven vs Sporting Charleroi,2025-07-27,0.02731943
Aiham Ousou,Sporting Charleroi,Sporting Charleroi vs Antwerp,2025-08-17,0.010024519999999999
Aiham Ousou,Sporting Charleroi,Sporting Charleroi vs Sint-Truiden,2025-08-03,0.00143847
Antoñito Cordero,Westerlo,Cercle Brugge vs Westerlo,2025-08-17,9.628999999999999e-05
Antoñito Cordero,Westerlo,Westerlo vs Mechelen,2025-08-09,0.025278290000000002
B. Antonio,Mechelen,Mechelen vs Gent,2025-08-16,3.189e-05
B. Antonio,Mechelen,Westerlo vs Mechelen,2025-08-09,0.03935018
B. Bafdili,Mechelen,Mechelen vs Club Brugge,2025-08-01,0.15325231
B. Bafdili,Mechelen,Mechelen vs Gent,2025-08-16,0.05974559
B. Bafdili,Mechelen,Westerlo vs Mechelen,2025-08-09,0.06824868
B. Bafdili,Mechelen,Zulte Waregem vs Mechelen,2025-07-26,0.00865691
B. Fredrick,Dender,Dender vs Anderlecht,2025-08-17,0.00653775
B. Fredrick,Dender,Dender vs Cercle Brugge,2025-07-26,0.27201293
B. Fredrick,Dender,Sint-Truiden vs Dender,2025-08-08,0.00340915
B. Fredrick,Dender,Standard Liège vs Dender,2025-08-02,0.05139467
B. Gabriël,Zulte Waregem,Anderlecht vs Zulte Waregem,2025-08-10,0.007526179999999999
B. Gabriël,Zulte Waregem,Westerlo vs Zulte Waregem,2025-08-02,0.00010824000000000001
B. Gabriël,Zulte Waregem,Zulte Waregem vs Club Brugge,2025-08-16,0.00104419
B. Gabriël,Zulte Waregem,Zulte Waregem vs Mechelen,2025-07-26,0.00037067
B. Goncalves,Dender,Dender vs Anderlecht,2025-08-17,0.014271859999999999
B. Heynen,Genk,Club Brugge vs Genk,2025-07-27,0.09716637
B. Heynen,Genk,Genk vs Antwerp,2025-08-03,0.05141004
B. Heynen,Genk,OH Leuven vs Genk,2025-08-15,0.053529520000000004
B. Heynen,Genk,Standard Liège vs Genk,2025-08-10,0.05517581
