player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date
J. Ciupa,6cruxlgn46xikwydx496ol65m,4i7i27ldbc5wm2xwwumjpeopn,NaN,NaN,Goalkeeper,Centre,NaN,13,NaN,NaN,NaN,12,NaN,NaN,9,21,13,90,26,12,12,22,5,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
A. Ražnatović,b3ko9ylsrjcdbkuw5idsh6i5m,4i7i27ldbc5wm2xwwumjpeopn,5,1,Defender,Left,NaN,15,1,3,7,9,1,NaN,8,18,10,84,6,3,1,13,3,4,1,1,1,NaN,1,4,1,NaN,NaN,NaN,,NaN,1,NaN,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
J. Svozil,5lpnmlctrv7nok18j13025wb9,4i7i27ldbc5wm2xwwumjpeopn,3,3,Defender,Left/Centre,NaN,31,NaN,4,1,19,1,NaN,18,45,25,90,25,10,3,27,7,12,NaN,2,NaN,2,2,NaN,2,NaN,2,1,,NaN,NaN,NaN,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
D. Krčík,20aj0zcehiq6qz6kgxnlb24iy,4i7i27ldbc5wm2xwwumjpeopn,2,1,Defender,Centre/Right,NaN,37,NaN,4,2,28,NaN,NaN,11,50,29,90,23,10,1,24,5,12,NaN,1,1,1,NaN,NaN,NaN,NaN,1,NaN,,NaN,NaN,1,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
R. Mikuš,2lqoy22li9gq5llnpro7q2jf9,4i7i27ldbc5wm2xwwumjpeopn,1,NaN,Defender,Right,NaN,9,NaN,2,13,4,NaN,NaN,7,17,5,90,13,9,NaN,23,3,9,NaN,NaN,1,NaN,1,3,1,2,NaN,NaN,,NaN,NaN,NaN,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
L. Ezeh,cy5vomqx7zkwmooy89tjcl250,4i7i27ldbc5wm2xwwumjpeopn,4,NaN,Midfielder,Left/Centre,NaN,7,1,6,1,1,NaN,NaN,7,13,2,71,6,3,1,13,5,9,2,3,2,1,NaN,1,NaN,2,5,2,,NaN,NaN,NaN,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
S. Boháč,c1k7kuw3phizkxjpqwb38wlw,4i7i27ldbc5wm2xwwumjpeopn,6,1,Midfielder,Centre,NaN,14,1,4,NaN,7,NaN,1,7,17,8,63,4,1,1,9,2,3,1,2,1,1,NaN,NaN,NaN,1,NaN,NaN,,NaN,NaN,NaN,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
D. Žák,60hb2iku0p4coba4zext3t53o,4i7i27ldbc5wm2xwwumjpeopn,5,3,Midfielder,Centre/Right,NaN,12,NaN,5,4,6,1,NaN,6,19,6,71,10,5,4,13,2,7,NaN,NaN,NaN,3,NaN,NaN,NaN,2,3,2,,NaN,NaN,NaN,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
Papalélé,7zy3nqjcujble4iy16c34p4dm,4i7i27ldbc5wm2xwwumjpeopn,7,2,Striker,Left/Centre,NaN,8,2,2,1,2,NaN,NaN,6,14,4,90,4,2,2,11,2,6,1,1,1,1,1,1,1,NaN,3,NaN,,1,NaN,1,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
M. Doležal,cv5d35ko0ax1d8yvpkqhena39,4i7i27ldbc5wm2xwwumjpeopn,4,1,Striker,Centre,NaN,2,NaN,4,NaN,1,NaN,NaN,1,5,1,63,1,1,NaN,4,1,4,NaN,1,NaN,NaN,NaN,NaN,NaN,2,3,2,,NaN,NaN,NaN,,,,,,433,NaN,Karviná vs Jablonec,cfkqe75yc4dwjy6a3jdei2p78,2023-08-19
