playerName,playerId,contestantId,team_name,9,321,322,label,match_id,date
M. Hlavatý,8zjkoe9nrb4yb6wxfty7ri1ux,4xbgquadoen1b303u4hi9nhg9,Pardubice,,0.1012,NaN,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
L. Hůlka,9kjzskap2gy1pexzeeun8kq1h,bqcrqg0367eqzrt4vjb5apu6g,Bohemians 1905,,0.31,0.4442,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
M. Kozák,1k5zztvvduo52e0vjhxqs9tnu,bqcrqg0367eqzrt4vjb5apu6g,Bohemians 1905,,0.0337,NaN,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
E. Prekop,9jh6n6ztbudt5aluf0ibzls6h,bqcrqg0367eqzrt4vjb5apu6g,Bohemians 1905,,0.0397,NaN,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
B. Pikul,9qo0ar9hw2dvvn1iqrsxcn6jt,4xbgquadoen1b303u4hi9nhg9,Pardubice,,0.0747,0.2485,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
L. Krobot,cjagesm6n7sroi7nojwikvwiy,4xbgquadoen1b303u4hi9nhg9,Pardubice,,0.0756,0.1569,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
D. Donát,9jsumsbwvyw6dgc1t1tz6zk2y,4xbgquadoen1b303u4hi9nhg9,Pardubice,,0.4854,0.5992,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
L. Krobot,cjagesm6n7sroi7nojwikvwiy,4xbgquadoen1b303u4hi9nhg9,Pardubice,,0.4836,NaN,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
E. Prekop,9jh6n6ztbudt5aluf0ibzls6h,bqcrqg0367eqzrt4vjb5apu6g,Bohemians 1905,,0.0494,NaN,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
L. Hůlka,9kjzskap2gy1pexzeeun8kq1h,bqcrqg0367eqzrt4vjb5apu6g,Bohemians 1905,,0.0414,0.0259,Pardubice vs Bohemians 1905,c5527alzbmmhq8f07lg3s1e6s,2023-07-22
