player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
A. Zadražil,dvjwntanmbqn589udkr6nub1m,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,NaN,NaN,Goalkeeper,Centre,NaN,7,1,1,NaN,7,NaN,1,6,10,8,90,18,6,6,15,2,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,10,CZE,Czech_Liga
K. Spáčil,ab470admyu96ui8vuuybym2vo,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,1,1,Defender,Left/Centre,NaN,18,2,5,NaN,10,1,2,9,21,11,90,13,7,3,13,6,9,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,6,CZE,Czech_Liga
T. Petrášek,38qfw1p4b31ui1ag996vghqt,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,2,2,Defender,Centre,NaN,13,NaN,4,NaN,8,1,NaN,6,20,11,90,15,7,1,11,4,7,NaN,4,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,9,CZE,Czech_Liga
F. Čihák,bptjm5hzs0fiincv8xzwq4m0a,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,4,2,Defender,Centre/Right,NaN,22,2,8,1,13,3,2,11,28,16,90,15,6,7,15,6,8,1,2,1,4,3,NaN,3,NaN,5,2,NaN,NaN,NaN,1,NaN,NaN,NaN,,,532,1,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,9,CZE,Czech_Liga
D. Horák,3bh2udfj5run303fagtx1s8vd,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,7,3,Wing Back,Left,NaN,10,NaN,5,5,5,NaN,NaN,8,13,8,90,4,NaN,NaN,9,5,5,1,2,2,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,7,CZE,Czech_Liga
J. Klíma,56rghk02z5qvuwesnawoswfhm,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,3,NaN,Wing Back,Right,NaN,26,NaN,NaN,3,10,2,NaN,16,31,11,90,11,3,4,20,10,12,1,NaN,2,2,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,7,CZE,Czech_Liga
A. Vlkanova,67sn4t5twr0ludex2p8nowr11,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,6,2,Midfielder,Left/Centre,NaN,11,2,2,10,4,2,NaN,10,19,6,79,11,2,4,23,8,12,NaN,NaN,1,2,NaN,4,NaN,1,2,1,NaN,NaN,1,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,17,CZE,Czech_Liga
P. Kodeš,dt1jqc35t5c7eg0qxs3qbxm21,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,6,1,Midfielder,Centre,NaN,14,2,8,2,6,2,2,8,26,9,90,17,4,5,18,2,7,NaN,4,NaN,3,1,1,1,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,17,CZE,Czech_Liga
D. Samek,25hl8ncgtkgulnwd92zczbs44,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,4,NaN,Midfielder,Centre/Right,NaN,15,1,6,5,5,3,1,12,30,11,79,19,8,4,23,8,14,1,NaN,1,1,NaN,3,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,17,CZE,Czech_Liga
O. Mihálik,cg3fk0cm3r2edv5u9ng4ef4yd,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,2,2,Striker,Left/Centre,NaN,5,NaN,3,NaN,2,NaN,NaN,3,6,2,23,3,1,1,4,3,4,NaN,2,NaN,1,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,3,CZE,Czech_Liga
V. Pilař,2gfrz7llszxg2i8ij1jqm8dlh,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,4,1,Striker,Centre/Right,NaN,13,1,4,6,5,NaN,NaN,10,17,5,62,7,2,2,16,4,8,NaN,1,NaN,1,NaN,2,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,1,1,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,9,CZE,Czech_Liga
S. Dancák,xbp16o2bijkl84w1lklyua51,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,1,NaN,Substitute,NaN,Midfielder,5,NaN,NaN,NaN,2,1,NaN,3,5,2,11,1,1,2,3,1,1,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,1,CZE,Czech_Liga
A. Griger,8qblbd58f4db62ju72eq9bcpg,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,7,4,Substitute,NaN,Attacker,7,1,8,NaN,1,NaN,1,6,10,1,67,1,NaN,1,9,3,6,1,4,1,NaN,NaN,NaN,NaN,2,10,4,NaN,1,NaN,NaN,NaN,2,2,,,532,1,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,10,CZE,Czech_Liga
Š. Harazim,clv5qhdszqe6gjr4szuh4j0q2,Hradec Králové,1v75g4bk8vzrvu0jmaro6lila,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,532,NaN,Hradec Králové vs Slovácko,75lss5uxc4q1eb7ndzu1e0zkk,2024-09-21,NaN,CZE,Czech_Liga
