playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Alégué,Jablonec,Baník Ostrava vs Jablonec,0.3484541,0.1620771895
A. Alégué,Jablonec,Dukla Praha vs Jablonec,0.2682333,0.11862690000000001
A. Alégué,Jablonec,Jablonec vs Mladá Boleslav,0.2599196,-0.012303640500000004
A. Alégué,Jablonec,Jablonec vs Sparta Praha,0.25926710000000003,-0.022601099999999995
A. Alégué,Jablonec,Jablonec vs Viktoria Plzeň,0.610287,0.1245545505
A. Alégué,Jablonec,Slovácko vs Jablonec,0.084798,-0.0342908
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Baník Ostrava,0.2014288,0.1177536
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Mladá Boleslav,0.1255282,0.0539313
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Teplice,0.116239,0.0704479342
A. Dohnálek,Sigma Olomouc,Slavia Praha vs Sigma Olomouc,0.0692075,-0.031295100000000006
A. Dohnálek,Sigma Olomouc,Slovan Liberec vs Sigma Olomouc,0.1970331,-0.065282107
A. Dohnálek,Sigma Olomouc,České Budějovice vs Sigma Olomouc,0.0813475,0.0495769
A. Ghali,Slovan Liberec,Karviná vs Slovan Liberec,0.31271,0.1956794193
A. Ghali,Slovan Liberec,Slovan Liberec vs Pardubice,0.5188125,0.171068
A. Ghali,Slovan Liberec,Slovan Liberec vs Sigma Olomouc,0.6443981,0.4854005403
A. Ghali,Slovan Liberec,Slovan Liberec vs Slavia Praha,0.1964157,0.049284074600000005
A. Ghali,Slovan Liberec,Teplice vs Slovan Liberec,0.2185007,0.0359001
A. Gning,Teplice,Hradec Králové vs Teplice,0.3563218,0.2692387
A. Gning,Teplice,Sigma Olomouc vs Teplice,0.1679793,0.1458742
A. Gning,Teplice,Slavia Praha vs Teplice,0.1224162,-0.0467326
A. Gning,Teplice,Teplice vs Karviná,0.5446247,0.2019178
A. Gning,Teplice,Teplice vs Mladá Boleslav,0.4990969,0.2476775
A. Gning,Teplice,Teplice vs Slovan Liberec,0.1513915,-0.02864180000000001
A. Gning,Teplice,Teplice vs Sparta Praha,0.1208518,0.0802383
A. Jánoš,Bohemians 1905,Bohemians 1905 vs Baník Ostrava,0.0437562,0.0437562
A. Jánoš,Bohemians 1905,Bohemians 1905 vs Jablonec,0.4412936,0.2406318
A. Jánoš,Bohemians 1905,Bohemians 1905 vs Sparta Praha,0.1594062,0.0613684
A. Jánoš,Bohemians 1905,Dukla Praha vs Bohemians 1905,0.9606444000000001,0.5861715902
A. Jánoš,Bohemians 1905,Karviná vs Bohemians 1905,0.0244659,0.009094999999999999
A. Jánoš,Bohemians 1905,Slovácko vs Bohemians 1905,0.1890317,0.12640556260000002
A. Jánoš,Bohemians 1905,České Budějovice vs Bohemians 1905,0.4615708,-0.08900949999999999
A. Kadlec,Bohemians 1905,Bohemians 1905 vs Baník Ostrava,0.30132169999999997,0.0776108862
A. Kadlec,Bohemians 1905,Bohemians 1905 vs Jablonec,0.3940181,0.11597129999999999
A. Kadlec,Bohemians 1905,Bohemians 1905 vs Sparta Praha,0.2523696,-0.2722233
A. Kadlec,Bohemians 1905,Dukla Praha vs Bohemians 1905,0.6629521,0.1929066276
A. Kadlec,Bohemians 1905,Slovácko vs Bohemians 1905,0.1106569,0.04832911039999999
A. Kadlec,Mladá Boleslav,Mladá Boleslav vs České Budějovice,0.0,0.0
A. Kadlec,Mladá Boleslav,Teplice vs Mladá Boleslav,0.1700924,0.0472641
A. Kayondo,Slovan Liberec,Baník Ostrava vs Slovan Liberec,0.42381260000000004,0.1004548
