playerName,team_name,label,date,318.0
A. Alégué,Jablonec,Baník Ostrava vs Jablonec,2024-07-28,0.16086488
A. Alégué,Jablonec,Dukla Praha vs Jablonec,2024-08-10,0.04438965
A. Alégué,Jablonec,Jablonec vs Baník Ostrava,2024-11-23,0.18964643
A. Alégué,Jablonec,Jablonec vs Dukla Praha,2024-12-07,0.11259918000000001
A. Alégué,Jablonec,Jablonec vs Hradec Králové,2024-09-28,0.0006091899999999999
A. Alégué,Jablonec,Jablonec vs Mladá Boleslav,2024-07-20,0.06322725
A. Alégué,Jablonec,Jablonec vs Slavia Praha,2024-10-20,0.02488492
A. Alégué,Jablonec,Jablonec vs Sparta Praha,2024-08-17,0.07676004
A. Alégué,Jablonec,Jablonec vs Teplice,2024-11-02,0.04460876
A. Alégué,Jablonec,Jablonec vs Viktoria Plzeň,2024-08-03,0.20883921
A. Alégué,Jablonec,Jablonec vs České Budějovice,2024-12-04,0.1833465
A. Alégué,Jablonec,Karviná vs Jablonec,2024-09-21,0.0145912
A. Alégué,Jablonec,Pardubice vs Jablonec,2024-11-09,0.10900895000000001
A. Alégué,Jablonec,Sigma Olomouc vs Jablonec,2024-10-26,0.0811549
A. Alégué,Jablonec,Slovan Liberec vs Jablonec,2024-10-05,0.0041823400000000005
A. Alégué,Jablonec,Slovácko vs Jablonec,2024-08-31,0.00075252
A. Alégué,Jablonec,Sparta Praha vs Jablonec,2024-12-15,0.1354962
A. Alégué,Jablonec,Viktoria Plzeň vs Jablonec,2024-12-01,0.13310314
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Baník Ostrava,2024-09-01,0.03404737
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Dukla Praha,2024-09-22,0.0
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Jablonec,2024-10-26,0.00672093
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Mladá Boleslav,2024-08-18,0.0051627
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Slavia Praha,2024-12-08,0.00078237
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Slovan Liberec,2024-11-24,0.03087511
A. Dohnálek,Sigma Olomouc,Sigma Olomouc vs Teplice,2024-08-03,0.00342094
A. Dohnálek,Sigma Olomouc,Slavia Praha vs Sigma Olomouc,2024-08-10,0.00504985
A. Dohnálek,Sigma Olomouc,Slovan Liberec vs Sigma Olomouc,2024-07-28,0.007043939999999999
A. Dohnálek,Sigma Olomouc,Teplice vs Sigma Olomouc,2024-11-30,0.0
