id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,endDate,knownName,dateOfDeath
141wljrx5yyhytqwhkcl6dxhx,Julian,Günther-Schmidt,Julian,Günther-Schmidt,Male,J. Günther-Schmidt,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1994-09-13,Pforzheim,Germany,36min0qztu8eydwvpv8t1is0m,183.0,81.0,both,20.0,2021-01-05Z,active,yes,NaN,NaN,NaN,NaN,NaN
19fd6itoe4740y4fjyjskdm1h,Kasim,Rabihić,Kasim,Rabihic,Male,K. Rabihić,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1993-02-24,München,Germany,36min0qztu8eydwvpv8t1is0m,179.0,69.0,both,10.0,2022-07-01Z,active,yes,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,NaN
1falkoydwxoiazskcoalwll62,Fabio,Di Michele Sanchez,Fabio,Di Michele Sanchez,Male,F. Di Michele Sanchez,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2003-03-14,Hannover,Germany,36min0qztu8eydwvpv8t1is0m,180.0,83.0,left,21.0,2023-07-01Z,active,no,Italy,25f2cmb2r8mk5rj92tzer6kvv,2024-06-30Z,NaN,NaN
2kfzr8cffm9q96o0egeett8et,Sebastian,Jacob,Sebastian,Jacob,Male,S. Jacob,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1993-06-26,Saarbrücken,Germany,36min0qztu8eydwvpv8t1is0m,183.0,73.0,right,24.0,2018-01-30Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
31zzaiz40ouu4g7fo6pu8rc44,Léo,Sahin,Leo,Sahin,Male,L. Sahin,France,7gww28djs405rfga69smki84o,Attacker,player,2005-10-30,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,38.0,2023-08-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
42y28apj15eu4l35somvxq3qi,Tim,Civeja,Tim,Civeja,Male,T. Civeja,Albania,17zsm8shejejls2on1ffil3op,Midfielder,player,2002-01-04,Dachau,Germany,36min0qztu8eydwvpv8t1is0m,180.0,74.0,both,23.0,2023-07-04Z,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN
4tgp4irhdk6bsurgxgf38x9ii,Mohamed Amine,Naïfi,Amine,Naïfi,Male,A. Naïfi,France,7gww28djs405rfga69smki84o,Attacker,player,1999-12-19,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,25.0,2023-08-31Z,active,no,Morocco,2xdcc39z1k79pnjbtn9x31wdh,2024-06-30Z,NaN,NaN
4uv08x4o4thenk4w4ild45yad,Tim,Paterok,Tim,Paterok,Male,T. Paterok,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,1992-08-05,Paderborn,Germany,36min0qztu8eydwvpv8t1is0m,192.0,79.0,right,30.0,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
64wnodj7asygekqm3x8oa314a,Simon Fabio,Stehle,Simon,Stehle,Male,S. Stehle,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2001-09-17,Valladolid,Spain,49ih1pwv3ahshdf8uzrimi54c,182.0,80.0,right,22.0,2023-08-07Z,active,yes,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,NaN
6kuzg9vzxrw2whtscwrseep5h,Bernd,Heemsoth,Bernd,Heemsoth,Male,B. Heemsoth,Germany,36min0qztu8eydwvpv8t1is0m,NaN,assistant coach,1966-10-10,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,2021-12-17Z,active,yes,NaN,NaN,NaN,NaN,NaN
6m9kl83skeayju8ggr73zf4r9,Richard,Neudecker,Richard,Neudecker,Male,R. Neudecker,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1996-10-29,Altötting,Germany,36min0qztu8eydwvpv8t1is0m,174.0,72.0,left,31.0,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
6wpahdttyk7458xipbx7lk1lg,Luca,Kerber,Luca,Kerber,Male,L. Kerber,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2002-03-10,Dillingen,Germany,36min0qztu8eydwvpv8t1is0m,180.0,77.0,right,33.0,2021-01-08Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
73rer5r6g0ostcedrs5buvu8l,Manuel,Zeitz,Manuel,Zeitz,Male,M. Zeitz,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1990-08-01,Völklingen,Germany,36min0qztu8eydwvpv8t1is0m,181.0,79.0,right,8.0,2016-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
79g5hdxws9j425u2o4j22gmzu,Finn Gregor,Kotyrba,Finn,Kotyrba,Male,F. Kotyrba,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2004-02-13,NaN,Germany,36min0qztu8eydwvpv8t1is0m,186.0,73.0,right,35.0,2023-09-02Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
7o76n08qem7uo3kf5otznbidx,Boné,Uaferro,Boné,Uaferro,Male,B. Uaferro,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1992-01-04,Berlin,Germany,36min0qztu8eydwvpv8t1is0m,191.0,86.0,both,14.0,2019-07-01Z,active,yes,Mozambique,4l6me0leyvb0ysnsoepyvmh4g,NaN,NaN,NaN
