id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,secondNationality,secondNationalityId,knownName
141wljrx5yyhytqwhkcl6dxhx,Julian,Günther-Schmidt,Julian,Günther-Schmidt,Male,J. Günther-Schmidt,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1994-09-13,Pforzheim,Germany,36min0qztu8eydwvpv8t1is0m,183.0,81.0,both,20.0,active,yes,NaN,NaN,NaN
19fd6itoe4740y4fjyjskdm1h,Kasim,Rabihić,Kasim,Rabihic,Male,K. Rabihić,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1993-02-24,München,Germany,36min0qztu8eydwvpv8t1is0m,179.0,69.0,both,10.0,active,yes,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
289cb1uhv1y4210n662wzn33e,Philip,Fahrner,Philip,Fahrner,Male,P. Fahrner,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2003-01-02,NaN,Germany,36min0qztu8eydwvpv8t1is0m,175.0,73.0,NaN,2.0,active,yes,NaN,NaN,NaN
42y28apj15eu4l35somvxq3qi,Tim,Civeja,Tim,Civeja,Male,T. Civeja,Albania,17zsm8shejejls2on1ffil3op,Midfielder,player,2002-01-04,Dachau,Germany,36min0qztu8eydwvpv8t1is0m,180.0,74.0,both,23.0,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN
4tgp4irhdk6bsurgxgf38x9ii,Mohamed Amine,Naïfi,Amine,Naïfi,Male,A. Naïfi,France,7gww28djs405rfga69smki84o,Attacker,player,1999-12-19,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,25.0,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
4uv08x4o4thenk4w4ild45yad,Tim,Paterok,Tim,Paterok,Male,T. Paterok,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,1992-08-05,Paderborn,Germany,36min0qztu8eydwvpv8t1is0m,192.0,79.0,right,1.0,active,yes,NaN,NaN,NaN
64wnodj7asygekqm3x8oa314a,Simon Fabio,Stehle,Simon,Stehle,Male,S. Stehle,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2001-09-17,Valladolid,Spain,49ih1pwv3ahshdf8uzrimi54c,182.0,80.0,right,22.0,active,yes,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN
6kuzg9vzxrw2whtscwrseep5h,Bernd,Heemsoth,Bernd,Heemsoth,Male,B. Heemsoth,Germany,36min0qztu8eydwvpv8t1is0m,NaN,assistant coach,1966-10-10,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
6m9kl83skeayju8ggr73zf4r9,Richard,Neudecker,Richard,Neudecker,Male,R. Neudecker,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1996-10-29,Altötting,Germany,36min0qztu8eydwvpv8t1is0m,174.0,72.0,left,31.0,active,yes,NaN,NaN,NaN
73rer5r6g0ostcedrs5buvu8l,Manuel,Zeitz,Manuel,Zeitz,Male,M. Zeitz,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1990-08-01,Völklingen,Germany,36min0qztu8eydwvpv8t1is0m,181.0,79.0,right,8.0,active,yes,NaN,NaN,NaN
