playerName,team_name,label,date,318.0
A. Arslan,Rot-Weiss Essen,Hannover 96 II vs Rot-Weiss Essen,2024-08-11,0.09005746
A. Arslan,Rot-Weiss Essen,Rot-Weiss Essen vs Alemannia Aachen,2024-08-03,0.36553693000000004
A. Azhil,Borussia Dortmund II,Borussia Dortmund II vs Unterhaching,2024-08-03,0.06504185999999999
A. Barylla,Erzgebirge Aue,Erzgebirge Aue vs Hannover 96 II,2024-08-03,0.00347773
A. Barylla,Erzgebirge Aue,Osnabrück vs Erzgebirge Aue,2024-08-10,0.00892415
A. Becker,Arminia Bielefeld,Energie Cottbus vs Arminia Bielefeld,2024-08-04,0.00697098
A. Breuer,Unterhaching,Unterhaching vs Ingolstadt,2024-08-10,0.0
A. Casar,Dynamo Dresden,Dynamo Dresden vs Energie Cottbus,2024-08-09,0.023064929999999997
A. Casar,Dynamo Dresden,Viktoria Köln vs Dynamo Dresden,2024-08-04,0.01972002
A. Chase,Stuttgart II,Stuttgart II vs 1860 München,2024-08-11,0.01874907
A. Dervisevic,Alemannia Aachen,Alemannia Aachen vs Verl,2024-08-10,0.000284
A. Ercan,Osnabrück,Sandhausen vs Osnabrück,2024-08-03,0.04073476
A. Farouk,Wehen Wiesbaden,Verl vs Wehen Wiesbaden,2024-08-03,0.010169649999999999
A. Fein,Waldhof Mannheim,Ingolstadt vs Waldhof Mannheim,2024-08-04,0.06251240000000001
A. Fein,Waldhof Mannheim,Waldhof Mannheim vs Viktoria Köln,2024-08-10,0.31292727
A. Fuchs,Sandhausen,Saarbrücken vs Sandhausen,2024-08-11,3.8e-06
A. Fuchs,Sandhausen,Sandhausen vs Osnabrück,2024-08-03,0.0001359
A. Fóti,Borussia Dortmund II,Borussia Dortmund II vs Unterhaching,2024-08-03,0.49795469
A. Gürleyen,Hansa Rostock,Hansa Rostock vs Stuttgart II,2024-08-03,0.00417896
A. Gürleyen,Hansa Rostock,Wehen Wiesbaden vs Hansa Rostock,2024-08-10,0.00515982
A. Heinz,Alemannia Aachen,Alemannia Aachen vs Verl,2024-08-10,0.13796224
A. Heinz,Alemannia Aachen,Rot-Weiss Essen vs Alemannia Aachen,2024-08-03,0.045320559999999996
A. Kamara,Borussia Dortmund II,Borussia Dortmund II vs Unterhaching,2024-08-03,0.0
A. Lebeau,Hansa Rostock,Hansa Rostock vs Stuttgart II,2024-08-03,0.49386928
A. Lebeau,Hansa Rostock,Wehen Wiesbaden vs Hansa Rostock,2024-08-10,0.35480923999999997
A. Leuthard,Unterhaching,Borussia Dortmund II vs Unterhaching,2024-08-03,0.057664
A. Leuthard,Unterhaching,Unterhaching vs Ingolstadt,2024-08-10,0.0024670200000000003
A. Mühling,Sandhausen,Saarbrücken vs Sandhausen,2024-08-11,0.00372521
A. Mühling,Sandhausen,Sandhausen vs Osnabrück,2024-08-03,0.00773482
A. Naïfi,Saarbrücken,1860 München vs Saarbrücken,2024-08-02,0.00032558
A. Naïfi,Saarbrücken,Saarbrücken vs Sandhausen,2024-08-11,0.00819969
A. Rossipal,Hansa Rostock,Hansa Rostock vs Stuttgart II,2024-08-03,0.06325993
A. Rossipal,Hansa Rostock,Wehen Wiesbaden vs Hansa Rostock,2024-08-10,0.01342653
A. Vrenezi,Viktoria Köln,Viktoria Köln vs Dynamo Dresden,2024-08-04,0.03947859
A. Vrenezi,Viktoria Köln,Waldhof Mannheim vs Viktoria Köln,2024-08-10,0.06693035
B. Ajdini,Osnabrück,Osnabrück vs Erzgebirge Aue,2024-08-10,0.01075258
B. Ajdini,Osnabrück,Sandhausen vs Osnabrück,2024-08-03,0.06288217
B. Baxter,Alemannia Aachen,Alemannia Aachen vs Verl,2024-08-10,0.00519194
B. Baxter,Alemannia Aachen,Rot-Weiss Essen vs Alemannia Aachen,2024-08-03,0.0067207099999999995
B. Beyer,Osnabrück,Osnabrück vs Erzgebirge Aue,2024-08-10,0.0006270199999999999
B. Beyer,Osnabrück,Sandhausen vs Osnabrück,2024-08-03,0.0
B. Boakye,Stuttgart II,Hansa Rostock vs Stuttgart II,2024-08-03,0.00584231
B. Boakye,Stuttgart II,Stuttgart II vs 1860 München,2024-08-11,0.05244907
B. Conus,Osnabrück,Osnabrück vs Erzgebirge Aue,2024-08-10,0.01339183
B. Dietze,Hansa Rostock,Wehen Wiesbaden vs Hansa Rostock,2024-08-10,0.00118449
B. Drakas,Borussia Dortmund II,Borussia Dortmund II vs Unterhaching,2024-08-03,0.09853912000000001
B. Halimi,Sandhausen,Saarbrücken vs Sandhausen,2024-08-11,0.07015913
B. Halimi,Sandhausen,Sandhausen vs Osnabrück,2024-08-03,0.13059434
B. Henning,Viktoria Köln,Viktoria Köln vs Dynamo Dresden,2024-08-04,0.01171769
B. Henning,Viktoria Köln,Waldhof Mannheim vs Viktoria Köln,2024-08-10,0.00455353
B. Hüning,Borussia Dortmund II,Borussia Dortmund II vs Unterhaching,2024-08-03,0.00588508
B. Jacobsen,Wehen Wiesbaden,Verl vs Wehen Wiesbaden,2024-08-03,0.0069510200000000005
B. Kanurić,Ingolstadt,Ingolstadt vs Waldhof Mannheim,2024-08-04,0.06093836
B. Kanurić,Ingolstadt,Unterhaching vs Ingolstadt,2024-08-10,0.07060641
B. Kayo,Ingolstadt,Unterhaching vs Ingolstadt,2024-08-10,0.08077269000000001
B. Nink,Wehen Wiesbaden,Wehen Wiesbaden vs Hansa Rostock,2024-08-10,0.00125607
