playerName,playerId,contestantId,team_name,9,321,322,label,match_id,date
D. Kopacz,drrl6k05cmazqudm9hyjbsesp,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.036,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Costly,1jp5ure85qhx8kkzgivt86t3p,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0216,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
Y. Deichmann,aaj4633czmja2mf9edsm61fx1,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0488,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Plath,1bhi8i53911vvkfhlfa7vaf4k,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0379,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
S. Grønning,dn8qd3thtswisleeesyk0oxrd,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0802,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
A. Azhil,czpaltuhh1gskg7zh7k7qyqui,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.2447,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Lelle,209p5cmnr80zjfc1rqgl945m2,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0444,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Costly,1jp5ure85qhx8kkzgivt86t3p,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0899,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
R. Elongo-Yombo,72m3gq1m8jqc8l51voat25rvu,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0312,0.4198,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Eberwein,d9vkvthcb6knjivbru804smhh,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0646,0.1328,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
B. Drakas,7x2dynnjbqzxrflnz6yxt0sq2,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0415,0.1991,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Zeitler,1z0txhy6jfagmax2lp6u09qfo,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.2541,0.5272,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Zeitler,1z0txhy6jfagmax2lp6u09qfo,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0553,0.2328,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
S. Grønning,dn8qd3thtswisleeesyk0oxrd,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.5356,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Kopacz,drrl6k05cmazqudm9hyjbsesp,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0287,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
B. Drakas,7x2dynnjbqzxrflnz6yxt0sq2,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0313,0.1286,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
F. Keidel,7dcl84ahs5b2kjzaipai5ikno,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0239,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
Y. Deichmann,aaj4633czmja2mf9edsm61fx1,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0562,0.4576,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
Y. Deichmann,aaj4633czmja2mf9edsm61fx1,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0298,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
S. Grønning,dn8qd3thtswisleeesyk0oxrd,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0407,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
A. Fóti,7whbozlpn1r4l2djm2cmuirmy,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0229,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
S. Grønning,dn8qd3thtswisleeesyk0oxrd,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0584,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Lelle,209p5cmnr80zjfc1rqgl945m2,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0641,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
A. Fóti,7whbozlpn1r4l2djm2cmuirmy,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0765,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
S. Lorenz,c3v3fid9i11wvghayplmpn74l,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.3802,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
R. Elongo-Yombo,72m3gq1m8jqc8l51voat25rvu,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0309,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
F. Roggow,c4urlv223641wducbk00gdcve,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0291,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Zeitler,1z0txhy6jfagmax2lp6u09qfo,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0791,0.0449,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
F. Keidel,7dcl84ahs5b2kjzaipai5ikno,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0277,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Besuschkow,dnfm28ygp404p18guuvbiwfkl,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0263,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
F. Paschke,ep0dtqmkr5dj5wlct6s3d8qqy,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0356,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
A. Fóti,7whbozlpn1r4l2djm2cmuirmy,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0639,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Zeitler,1z0txhy6jfagmax2lp6u09qfo,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0426,0.1482,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
A. Fóti,7whbozlpn1r4l2djm2cmuirmy,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0642,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Eberwein,d9vkvthcb6knjivbru804smhh,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.2598,0.6448,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Eberwein,d9vkvthcb6knjivbru804smhh,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.0918,0.1972,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
Y. Deichmann,aaj4633czmja2mf9edsm61fx1,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.054,0.543,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
Ousmane Diallo,bpn7kblutmgxqetcnflb39iqc,25j61j3nddighxngqktjlmt8n,Borussia Dortmund II,,0.1001,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Kopacz,drrl6k05cmazqudm9hyjbsesp,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0662,0.0997,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Besuschkow,dnfm28ygp404p18guuvbiwfkl,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.4925,0.9466,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
M. Cvjetinović,5ah2j00kx0bb9ubv1fwydma96,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.0585,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
S. Lorenz,c3v3fid9i11wvghayplmpn74l,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.077,NaN,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
D. Kopacz,drrl6k05cmazqudm9hyjbsesp,auoply899efk4rs1a0ew6v9jq,Ingolstadt,,0.4661,0.9492,Ingolstadt vs Borussia Dortmund II,6iliube5r7fi8wr47c2rcksno,2024-10-25
L. Oppie,eg5haueyvosx3euq9e0ogdj6y,bdlavlqj0dshxnepyfanzwu47,Arminia Bielefeld,NaN,0.0231,NaN,Arminia Bielefeld vs Alemannia Aachen,6fwhuyikehm4lx6bzgfa37sb8,2024-10-26
J. Rumpf,4sytny702udc3eezqfx7i9roq,ec35ufnr4z8eagfw1aqb0m4bj,Alemannia Aachen,NaN,0.0775,NaN,Arminia Bielefeld vs Alemannia Aachen,6fwhuyikehm4lx6bzgfa37sb8,2024-10-26
M. Wörl,38e1vhlbuwztsud75adfexs0k,bdlavlqj0dshxnepyfanzwu47,Arminia Bielefeld,NaN,0.058,NaN,Arminia Bielefeld vs Alemannia Aachen,6fwhuyikehm4lx6bzgfa37sb8,2024-10-26
A. Becker,dqav2fws2zk1i80d6dr2xcj4l,bdlavlqj0dshxnepyfanzwu47,Arminia Bielefeld,NaN,0.0808,NaN,Arminia Bielefeld vs Alemannia Aachen,6fwhuyikehm4lx6bzgfa37sb8,2024-10-26
G. Gaudino,db4ogm7vcqbz3iyu0x77xuuvp,ec35ufnr4z8eagfw1aqb0m4bj,Alemannia Aachen,NaN,0.0452,NaN,Arminia Bielefeld vs Alemannia Aachen,6fwhuyikehm4lx6bzgfa37sb8,2024-10-26
A. Becker,dqav2fws2zk1i80d6dr2xcj4l,bdlavlqj0dshxnepyfanzwu47,Arminia Bielefeld,NaN,0.0485,NaN,Arminia Bielefeld vs Alemannia Aachen,6fwhuyikehm4lx6bzgfa37sb8,2024-10-26
