id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,endDate,knownName
19fd6itoe4740y4fjyjskdm1h,Kasim,Rabihić,Kasim,Rabihic,Male,K. Rabihić,Germany,36min0qztu8eydwvpv8t1is0m,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Attacker,player,1993-02-24,München,Germany,36min0qztu8eydwvpv8t1is0m,179.0,69.0,both,10.0,2022-07-01Z,active,yes,NaN,NaN
1y7iaxc5qmfjyqq9993jnztd6,Niko,Bretschneider,Niko,Bretschneider,Male,N. Bretschneider,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1999-08-10,Berlin,Germany,36min0qztu8eydwvpv8t1is0m,181.0,80.0,left,28.0,2025-07-01Z,active,yes,NaN,NaN
289cb1uhv1y4210n662wzn33e,Philip,Fahrner,Philip,Fahrner,Male,P. Fahrner,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2003-01-02,NaN,Germany,36min0qztu8eydwvpv8t1is0m,175.0,73.0,NaN,2.0,2024-07-01Z,active,yes,NaN,NaN
2wt5rzeldnz8qdechenaifrv9,Florian,Pick,Florian,Pick,Male,F. Pick,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1995-09-08,Wittlich,Germany,36min0qztu8eydwvpv8t1is0m,176.0,72.0,right,20.0,2025-07-03Z,active,yes,NaN,NaN
3xm0kgys57asmn6i8n4mo0zpx,Robin,Bormuth,Robin,Bormuth,Male,R. Bormuth,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1995-09-19,NaN,Germany,36min0qztu8eydwvpv8t1is0m,190.0,87.0,right,32.0,2025-07-01Z,active,yes,NaN,NaN
42y28apj15eu4l35somvxq3qi,Tim,Civeja,Tim,Civeja,Male,T. Civeja,Albania,17zsm8shejejls2on1ffil3op,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2002-01-04,Dachau,Germany,36min0qztu8eydwvpv8t1is0m,180.0,74.0,both,23.0,2023-07-04Z,active,yes,NaN,NaN
4gtzeni8zz3s20hjglo2dkglw,Finn,Rupp,Finn,Rupp,Male,F. Rupp,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2007-05-19,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,36.0,2025-08-01Z,active,yes,NaN,NaN
4ie2tjorfhrueft3zv0k7ewdm,Mohammed Amine,Groune,Mohammed,Groune,Male,M. Groune,France,7gww28djs405rfga69smki84o,NaN,NaN,Attacker,player,1997-09-05,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,NaN,2025-07-30Z,active,yes,NaN,NaN
4tgp4irhdk6bsurgxgf38x9ii,Mohamed Amine,Naïfi,Amine,Naïfi,Male,A. Naïfi,France,7gww28djs405rfga69smki84o,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,player,1999-12-19,NaN,France,7gww28djs405rfga69smki84o,183.0,NaN,both,25.0,2024-07-01Z,active,yes,NaN,NaN
4uv08x4o4thenk4w4ild45yad,Tim,Paterok,Tim,Paterok,Male,T. Paterok,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Goalkeeper,player,1992-08-05,Paderborn,Germany,36min0qztu8eydwvpv8t1is0m,192.0,79.0,right,1.0,2022-07-01Z,active,yes,NaN,NaN
5sbj1q3tlng1yb73hu3np0lm2,Joel,Bichsel,Joel,Bichsel,Male,J. Bichsel,Switzerland,3bh70jgvc5mn58x0byjkuda17,NaN,NaN,Defender,player,2002-03-04,Olten,Switzerland,3bh70jgvc5mn58x0byjkuda17,194.0,93.0,left,27.0,2024-08-27Z,active,yes,NaN,NaN
6bqx6mm3vesoc45r9mt5ygeay,Abdoulaye,Kamara,Abdoulaye,Kamara,Male,A. Kamara,Guinea,4i9sg55wigitrfx7290f59ceo,France,7gww28djs405rfga69smki84o,Midfielder,player,2004-11-06,Conakry,Guinea,4i9sg55wigitrfx7290f59ceo,182.0,77.0,right,NaN,2025-09-01Z,active,yes,NaN,NaN
6kuzg9vzxrw2whtscwrseep5h,Bernd,Heemsoth,Bernd,Heemsoth,Male,B. Heemsoth,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,assistant coach,1966-10-10,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,2021-12-17Z,active,yes,NaN,NaN
6m9kl83skeayju8ggr73zf4r9,Richard,Neudecker,Richard,Neudecker,Male,R. Neudecker,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1996-10-29,Altötting,Germany,36min0qztu8eydwvpv8t1is0m,174.0,72.0,left,31.0,2022-07-01Z,active,yes,NaN,NaN
72m3gq1m8jqc8l51voat25rvu,Rodney,Elongo-Yombo,Rodney,Elongo-Yombo,Male,R. Elongo-Yombo,Germany,36min0qztu8eydwvpv8t1is0m,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,2001-07-27,NaN,Germany,36min0qztu8eydwvpv8t1is0m,183.0,76.0,both,17.0,2025-07-30Z,active,yes,NaN,NaN
73rer5r6g0ostcedrs5buvu8l,Manuel,Zeitz,Manuel,Zeitz,Male,M. Zeitz,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1990-08-01,Völklingen,Germany,36min0qztu8eydwvpv8t1is0m,181.0,79.0,right,8.0,2016-07-01Z,active,yes,NaN,NaN
7bskvlj9sjmvlrvfn4036uq96,Luca,Wollschläger,Luca,Wollschläger,Male,L. Wollschläger,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,2003-02-08,Bergen auf Rügen,Germany,36min0qztu8eydwvpv8t1is0m,195.0,89.0,both,24.0,2025-07-01Z,active,yes,NaN,NaN
7ii29zk2vy0c7jho6bjcqfc2d,Phillip,Menzel,Phillip,Menzel,Male,P. Menzel,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Goalkeeper,player,1998-08-18,Kiel,Germany,36min0qztu8eydwvpv8t1is0m,192.0,84.0,right,13.0,2024-07-01Z,active,yes,NaN,NaN
7uibrotf77z4g8l8wu6lh3r3d,Patrick,Sontheimer,Patrick,Sontheimer,Male,P. Sontheimer,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1998-07-03,Marktoberdorf,Germany,36min0qztu8eydwvpv8t1is0m,168.0,65.0,right,6.0,2023-07-01Z,active,yes,NaN,NaN
