playerName,playerId,contestantId,typeId,team_name,9,321,322,label,match_id,date
A. Arslan,bv0ha83fclswgcr2cz6yt59lh,rqebmse0wxmnyrtifkz5nqb6,15,Rot-Weiss Essen,,0.0282,0.0542,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
T. Zobel,4h2p7mp4820xhor2oq430qtxw,m5tpogrj0txk7qjdbb57wba,13,Erzgebirge Aue,,0.0584,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
L. Brumme,c0i743mo4b157ywn9sxtlaulm,rqebmse0wxmnyrtifkz5nqb6,15,Rot-Weiss Essen,,0.0914,0.1158,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
J. Guttau,2qwsoftmnegu0pzpt68tyni09,m5tpogrj0txk7qjdbb57wba,16,Erzgebirge Aue,,0.0417,0.0393,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
M. Schmid,1pyg87b2dbhdf5dbv36j5o296,m5tpogrj0txk7qjdbb57wba,15,Erzgebirge Aue,,0.0456,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
M. Schmid,1pyg87b2dbhdf5dbv36j5o296,m5tpogrj0txk7qjdbb57wba,13,Erzgebirge Aue,,0.3581,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
M. Clausen,4phuoqqo0hjezzfzoz5gk6uxg,m5tpogrj0txk7qjdbb57wba,15,Erzgebirge Aue,,0.0508,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
E. Uhlmann,7wyc3iig60vtfrm7otkny1ca2,m5tpogrj0txk7qjdbb57wba,13,Erzgebirge Aue,,0.0309,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
R. Safi,d9g9k6zyb93sxi7wfykh5gu8k,rqebmse0wxmnyrtifkz5nqb6,15,Rot-Weiss Essen,,0.0263,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
K. Mizuta,blvsz17s5wjfnl2lg8xa60goa,rqebmse0wxmnyrtifkz5nqb6,13,Rot-Weiss Essen,,0.0315,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
M. Clausen,4phuoqqo0hjezzfzoz5gk6uxg,m5tpogrj0txk7qjdbb57wba,15,Erzgebirge Aue,,0.0364,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
J. Hofmann,618xblcm74p366x8yswn20tbe,rqebmse0wxmnyrtifkz5nqb6,13,Rot-Weiss Essen,,0.0275,NaN,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
T. Kraulich,btwjh42n7oh2ovbvoe347tjvt,rqebmse0wxmnyrtifkz5nqb6,16,Rot-Weiss Essen,,0.2955,0.8488,Erzgebirge Aue vs Rot-Weiss Essen,v7gzqrv956i9bb733ilfz4t0,2025-10-05
