player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll
M. Falkesgaard,b2gkyjq8emj9pywryc3rycogl,ajtb177oqwawkdwbqhldmq6mx,1,1,Goalkeeper,Centre,NaN,22,NaN,NaN,NaN,25,2,NaN,2,25,27,90,16,3,8,6,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,6
N. Mouritsen,eyvv6b94feknnp1uew6n0ytat,ajtb177oqwawkdwbqhldmq6mx,NaN,NaN,Defender,Left,NaN,61,NaN,5,15,35,2,NaN,29,78,41,90,27,22,6,50,14,22,1,2,2,4,NaN,8,NaN,1,1,1,,NaN,1,,,NaN,NaN,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,30
E. Christensen,8xe0fufxfgf5cuwgysz3r2j85,ajtb177oqwawkdwbqhldmq6mx,3,2,Defender,Left/Centre,NaN,67,NaN,2,1,30,1,NaN,38,81,35,90,31,11,1,47,6,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,15
J. Egeris,2uellcocrvapu7o70g5zdcmad,ajtb177oqwawkdwbqhldmq6mx,3,1,Defender,Centre/Right,NaN,103,1,2,NaN,57,2,NaN,54,117,61,90,26,17,5,64,13,18,NaN,1,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,15
L. Henriksen,6g671k5lvgoo2bgub2516q1w4,ajtb177oqwawkdwbqhldmq6mx,3,2,Defender,Right,NaN,45,1,6,5,23,2,NaN,22,57,26,90,21,15,4,32,8,14,2,4,2,2,NaN,1,NaN,NaN,1,NaN,,NaN,NaN,,,NaN,NaN,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,19
M. Mouritz,ezbixgm2km8iapnsl57bn4wkp,ajtb177oqwawkdwbqhldmq6mx,3,1,Midfielder,Left/Centre,NaN,35,1,2,5,16,NaN,1,21,41,16,89,11,12,2,29,10,15,1,NaN,1,2,1,3,1,NaN,1,NaN,,NaN,1,,,2,2,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,11
M. Wohlgemuth,e8vt8711wb40afht2v13omket,ajtb177oqwawkdwbqhldmq6mx,6,3,Midfielder,Centre,NaN,45,NaN,4,NaN,22,1,NaN,23,51,23,83,14,12,4,28,8,13,1,3,1,3,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,2,2,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,9
N. Morberg,5u9zrgsm6wycfcbk04m64wd1w,ajtb177oqwawkdwbqhldmq6mx,9,6,Midfielder,Centre/Right,NaN,10,1,2,3,7,NaN,NaN,5,14,7,72,5,3,3,9,3,7,2,1,2,3,NaN,1,NaN,NaN,NaN,NaN,,NaN,1,,,NaN,NaN,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,7
O. Addo,kqj7nh6pqmqbt0abyyu0fcpg,ajtb177oqwawkdwbqhldmq6mx,11,NaN,Striker,Left/Centre,NaN,30,6,9,NaN,6,3,3,24,36,8,83,4,1,5,28,9,13,NaN,NaN,NaN,1,NaN,NaN,NaN,1,2,NaN,,1,NaN,,,NaN,NaN,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,15
E. Nnamani,8i0o1b8rjsab9se3v6vteqmfo,ajtb177oqwawkdwbqhldmq6mx,8,3,Striker,Centre,NaN,10,3,6,2,2,NaN,1,9,15,2,90,2,NaN,1,14,7,11,1,1,1,1,NaN,NaN,NaN,2,6,1,,NaN,NaN,,,3,3,,,433,,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,17
