playerName,team_name,label,date,318.0
A. Ahmad,Vendsyssel,Esbjerg vs Vendsyssel,2024-08-17,0.009312840000000001
A. Ahmad,Vendsyssel,Fredericia vs Vendsyssel,2024-07-27,0.01380674
A. Ahmad,Vendsyssel,Horsens vs Vendsyssel,2024-08-24,0.00235837
A. Ahmad,Vendsyssel,Kolding vs Vendsyssel,2024-11-08,0.00097938
A. Ahmad,Vendsyssel,Vendsyssel vs HB Køge,2024-11-02,3.511e-05
A. Ahmad,Vendsyssel,Vendsyssel vs Hobro,2024-08-21,0.16429744000000002
A. Ahmad,Vendsyssel,Vendsyssel vs Kolding,2024-08-10,0.0080287
A. Ahmad,Vendsyssel,Vendsyssel vs Roskilde,2024-07-19,0.044317720000000005
A. Alicino,Hillerød,B 93 vs Hillerød,2024-08-23,0.03859702
A. Alicino,Hillerød,Hillerød vs HB Køge,2024-08-16,0.01494538
A. Alicino,Hillerød,Hillerød vs Hobro,2024-07-21,0.01839799
A. Alicino,Hillerød,Hillerød vs Horsens,2024-10-25,0.00890614
A. Alicino,Hillerød,Hillerød vs Hvidovre,2024-11-01,0.0006844900000000001
A. Alicino,Hillerød,Hillerød vs Kolding,2024-08-30,0.1075161
A. Alicino,Hillerød,Hillerød vs Roskilde,2024-08-02,0.02693488
A. Alicino,Hillerød,Horsens vs Hillerød,2024-07-26,0.0055033700000000005
A. Alicino,Hillerød,Hvidovre vs Hillerød,2024-08-20,0.0071845
A. Alicino,Hillerød,Kolding vs Hillerød,2024-10-18,1.295e-05
A. Alicino,Hillerød,OB vs Hillerød,2024-08-10,0.00455762
A. Alicino,Hillerød,Vendsyssel vs Hillerød,2024-09-14,0.00100824
A. Andersen,Fredericia,Esbjerg vs Fredericia,2024-10-19,0.00128144
A. Andersen,Fredericia,Fredericia vs B 93,2024-09-28,0.00735053
A. Andersen,Fredericia,Fredericia vs Hobro,2024-09-16,0.00024538
A. Andersen,Fredericia,Fredericia vs Horsens,2024-10-05,0.01211278
A. Andersen,Fredericia,Hillerød vs Fredericia,2024-09-23,0.00617443
A. Beck,Kolding,B 93 vs Kolding,2024-07-19,0.00400367
A. Beck,Kolding,HB Køge vs Kolding,2024-10-25,0.24449964999999999
A. Beck,Kolding,Hillerød vs Kolding,2024-08-30,0.00301031
A. Beck,Kolding,Hobro vs Kolding,2024-09-20,0.34695462
A. Beck,Kolding,Horsens vs Kolding,2024-08-16,0.05550634
A. Beck,Kolding,Hvidovre vs Kolding,2024-10-07,5.454e-05
A. Beck,Kolding,Kolding vs Esbjerg,2024-08-21,0.02351975
A. Beck,Kolding,Kolding vs Fredericia,2024-08-02,0.00382013
A. Beck,Kolding,Kolding vs HB Køge,2024-09-14,0.02572646
A. Beck,Kolding,Kolding vs Hillerød,2024-10-18,0.28562149000000003
A. Beck,Kolding,Kolding vs Hvidovre,2024-07-26,0.04405461
A. Beck,Kolding,Kolding vs OB,2024-09-27,0.21999018
A. Beck,Kolding,Kolding vs Vendsyssel,2024-11-08,0.05034785
A. Beck,Kolding,Vendsyssel vs Kolding,2024-08-10,0.014812249999999999
A. Bredahl,B 93,B 93 vs Esbjerg,2024-10-04,0.03027104
A. Bredahl,B 93,B 93 vs Fredericia,2024-11-08,0.05201294
A. Bredahl,B 93,B 93 vs Hillerød,2024-08-23,0.0019729500000000002
A. Bredahl,B 93,B 93 vs Horsens,2024-09-21,0.0165042
A. Bredahl,B 93,Esbjerg vs B 93,2024-09-15,0.02199266
A. Bredahl,B 93,Fredericia vs B 93,2024-09-28,0.00431366
A. Bredahl,B 93,Hobro vs B 93,2024-09-02,0.0
A. Bøndergaard,Fredericia,B 93 vs Fredericia,2024-11-08,0.01667927
A. Bøndergaard,Fredericia,Esbjerg vs Fredericia,2024-10-19,0.08029033000000001
A. Bøndergaard,Fredericia,Fredericia vs B 93,2024-09-28,0.00876596
A. Bøndergaard,Fredericia,Fredericia vs Esbjerg,2024-08-11,0.01679734
A. Bøndergaard,Fredericia,Fredericia vs Hobro,2024-09-16,0.06587501999999999
A. Bøndergaard,Fredericia,Fredericia vs Horsens,2024-10-05,0.2363152
A. Bøndergaard,Fredericia,Fredericia vs Hvidovre,2024-08-25,0.18095577
A. Bøndergaard,Fredericia,Fredericia vs OB,2024-11-03,0.00719148
A. Bøndergaard,Fredericia,Fredericia vs Roskilde,2024-08-16,0.30330914
A. Bøndergaard,Fredericia,Fredericia vs Vendsyssel,2024-07-27,0.18190516999999998
A. Bøndergaard,Fredericia,HB Køge vs Fredericia,2024-09-01,0.10268851
A. Bøndergaard,Fredericia,Hillerød vs Fredericia,2024-09-23,0.01535625
A. Bøndergaard,Fredericia,Hobro vs Fredericia,2024-10-27,0.025519430000000003
A. Bøndergaard,Fredericia,Horsens vs Fredericia,2024-07-21,0.01497937
A. Bøndergaard,Fredericia,Kolding vs Fredericia,2024-08-02,0.0120078
A. Bøndergaard,Fredericia,OB vs Fredericia,2024-08-21,0.00066935
A. Dahl,Fredericia,B 93 vs Fredericia,2024-11-08,0.26809871
A. Dahl,Fredericia,Esbjerg vs Fredericia,2024-10-19,0.08063583
A. Dahl,Fredericia,Fredericia vs B 93,2024-09-28,0.33900741
A. Dahl,Fredericia,Fredericia vs Esbjerg,2024-08-11,0.02302602
A. Dahl,Fredericia,Fredericia vs Hobro,2024-09-16,0.0460471
A. Dahl,Fredericia,Fredericia vs Horsens,2024-10-05,0.07456668999999999
A. Dahl,Fredericia,Fredericia vs Hvidovre,2024-08-25,0.75675999
A. Dahl,Fredericia,Fredericia vs OB,2024-11-03,0.06465429
A. Dahl,Fredericia,Fredericia vs Roskilde,2024-08-16,0.03834529
A. Dahl,Fredericia,Fredericia vs Vendsyssel,2024-07-27,0.22955492
A. Dahl,Fredericia,HB Køge vs Fredericia,2024-09-01,0.12731826999999998
