playerName,playerId,contestantId,typeId,team_name,9,321,322,label,match_id,date
A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,8gxd9ry2580pu1b1dd5ny9ymy,16,Hvidovre,,0.4686411023139953,0.9024075269699097,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
N. Jungvig,3pk6hii2s8tbv2zux8mvbapec,8gxd9ry2580pu1b1dd5ny9ymy,15,Hvidovre,,0.0734027549624443,0.0,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,6wwwud48qahpwrfxs20334qk5,15,Fredericia,,0.0300437733530998,0.0,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,6wwwud48qahpwrfxs20334qk5,15,Fredericia,,0.4264545440673828,0.21765905618667603,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
A. Bøndergaard,9jqox80arzpytv1b136jobhpm,6wwwud48qahpwrfxs20334qk5,15,Fredericia,,0.0463073439896106,0.017407868057489395,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
Z. Aliji,aajgld24isoem1ycoysyxxp1w,8gxd9ry2580pu1b1dd5ny9ymy,13,Hvidovre,,0.0360980331897735,0.0,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
S. Makienok,5e5fuj7mbkpvf0bug32ixxc5x,8gxd9ry2580pu1b1dd5ny9ymy,13,Hvidovre,,0.0373542867600917,0.0,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
A. Dahl,65g5cfsdr10378yvmkpm19444,6wwwud48qahpwrfxs20334qk5,15,Fredericia,,0.0230499785393476,0.019885731860995293,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
N. Clausen,6dzg820946z4848whaa6ny2nd,8gxd9ry2580pu1b1dd5ny9ymy,15,Hvidovre,,0.0152901858091354,0.048546887934207916,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
A. Bøndergaard,9jqox80arzpytv1b136jobhpm,6wwwud48qahpwrfxs20334qk5,13,Fredericia,,0.0326764360070228,0.0,Fredericia vs Hvidovre,5ugpsuyep8ehvbqmpw5ukj6z8,2025-05-09
