player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
V. Müller,a2l4ep71txn2edtjjcgewai5m,AaB,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Goalkeeper,Centre,NaN,24,NaN,NaN,NaN,26,3,NaN,1,28,28,90,13,3,8,4,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,5,DNK,1_Division,2025_2026
A. Andersson,8ynqwlysks0dvn46ja7zq5vit,AaB,36g6ifzjliec1jqnbtf7yesme,4,1,Defender,Left,NaN,35,1,3,14,19,2,1,22,42,21,90,14,2,3,35,13,15,2,1,5,1,NaN,4,NaN,NaN,2,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,18,DNK,1_Division,2025_2026
B. Hansen,9yb0exf35kl3avhdnlhv23glx,AaB,36g6ifzjliec1jqnbtf7yesme,2,2,Defender,Left/Centre,NaN,48,NaN,5,1,45,3,NaN,9,54,47,90,18,6,4,13,4,6,NaN,2,NaN,1,3,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,6,DNK,1_Division,2025_2026
E. Makolli,697f50qoetodmfe8ybcuey2ac,AaB,36g6ifzjliec1jqnbtf7yesme,6,NaN,Defender,Centre/Right,NaN,48,1,2,2,44,2,NaN,8,57,48,90,27,5,3,14,3,7,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,13,DNK,1_Division,2025_2026
M. Kallesøe,a6ymx4wkrn260rtpb360nsiqd,AaB,36g6ifzjliec1jqnbtf7yesme,1,NaN,Defender,Right,NaN,15,NaN,2,1,8,1,NaN,8,20,10,45,8,4,1,12,6,8,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,7,DNK,1_Division,2025_2026
M. Kaasa,e0j0uakuzduvis9wqsocngwrt,AaB,36g6ifzjliec1jqnbtf7yesme,4,NaN,Midfielder,Left/Centre,NaN,17,1,6,3,11,1,NaN,6,19,11,67,4,2,3,9,5,7,1,NaN,1,1,1,1,1,1,4,1,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,6,DNK,1_Division,2025_2026
A. Håpnes,5y2mfgruizah0ylcz7q1abw9g,AaB,36g6ifzjliec1jqnbtf7yesme,6,NaN,Midfielder,Centre,NaN,26,1,6,3,13,NaN,NaN,13,32,14,84,12,3,1,18,7,10,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,9,DNK,1_Division,2025_2026
M. Bomholt,ejixz16616b7krftxyzv9yiac,AaB,36g6ifzjliec1jqnbtf7yesme,1,NaN,Midfielder,Centre/Right,NaN,47,1,5,4,21,1,1,26,51,22,90,16,8,4,30,20,22,4,NaN,4,3,1,1,1,1,1,NaN,1,NaN,NaN,NaN,1,2,2,NaN,NaN,433,1,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,6,DNK,1_Division,2025_2026
K. Hansen,48sqqhgtmfmpqb3602iirspd6,AaB,36g6ifzjliec1jqnbtf7yesme,2,NaN,Striker,Left/Centre,NaN,27,1,NaN,5,6,2,NaN,21,34,9,90,9,2,4,29,16,20,3,NaN,3,2,NaN,4,NaN,4,5,2,NaN,NaN,NaN,NaN,NaN,4,3,1,1,433,1,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,12,DNK,1_Division,2025_2026
N. Helenius,rv6r0bwbl75er38wklyfpsr9,AaB,36g6ifzjliec1jqnbtf7yesme,4,2,Striker,Centre,NaN,7,1,5,NaN,2,NaN,1,6,10,4,67,3,NaN,NaN,7,2,3,NaN,3,NaN,NaN,NaN,NaN,NaN,2,7,3,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,6,DNK,1_Division,2025_2026
K. John,5vrsflxiv2dgfa8199a2qxsve,AaB,36g6ifzjliec1jqnbtf7yesme,2,NaN,Striker,Centre/Right,NaN,14,NaN,1,3,5,NaN,NaN,9,16,6,78,3,NaN,2,13,6,7,1,NaN,1,1,NaN,3,NaN,3,7,3,NaN,1,NaN,NaN,NaN,2,2,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,6,DNK,1_Division,2025_2026
N. Arnórsson,brinkgys7026490q3ixx6h9uc,AaB,36g6ifzjliec1jqnbtf7yesme,2,NaN,Substitute,NaN,Defender,16,NaN,2,1,3,1,NaN,13,20,6,45,9,3,4,15,10,10,NaN,NaN,NaN,2,NaN,1,NaN,2,4,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,1,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,6,DNK,1_Division,2025_2026
B. Pedersen,3tka46re2gsi9uw7pbxx5m0pg,AaB,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,NaN,DNK,1_Division,2025_2026
A. Jasson,8bi1tlz62rjwyak4pnnzgp562,AaB,36g6ifzjliec1jqnbtf7yesme,1,NaN,Substitute,NaN,Attacker,17,NaN,1,1,11,1,NaN,7,17,11,23,4,1,1,7,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,1,DNK,1_Division,2025_2026
F. Børsting,egwhlgopjtjkop7ozy7ltk1cl,AaB,36g6ifzjliec1jqnbtf7yesme,2,NaN,Substitute,NaN,Midfielder,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21,1,DNK,1_Division,2025_2026
