team_name,contestantId,match_id,periodId,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state,clock_sec,set_piece_index,set_piece_type,set_piece_team,event_time
Hobro,b2vft81kyjurzbmekvgrqwr64,brnzj43frth2y4gjyeex6n5lg,1,2827645145,81,13,18,13,1,85.0,63.6,O. Klitten,61.0,32.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.04188882187008858,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,true,NaN,,,NaN,NaN,NaN,NaN,7.0,0.04188882187008858,,,draw,1093,3,freekick,,1093
Hobro,b2vft81kyjurzbmekvgrqwr64,brnzj43frth2y4gjyeex6n5lg,1,2827645455,108,13,20,54,1,79.7,55.4,M. Nielsen,68.0,36.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.02213340997695923,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,true,NaN,,,NaN,NaN,NaN,NaN,0.0,0.02213340997695923,,,draw,1254,3,freekick,,1254
HB Køge,8cfkisxf1fkxdqtt6tx1tup48,brnzj43frth2y4gjyeex6n5lg,1,2827645781,155,13,25,32,1,80.8,45.4,M. Schütt,80.0,41.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.05413743853569031,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,0.0,0.05413743853569031,,,draw,1532,7,throw_in,,1532
HB Køge,8cfkisxf1fkxdqtt6tx1tup48,brnzj43frth2y4gjyeex6n5lg,1,2827651531,353,15,48,5,1,75.7,59.7,M. Schütt,139.0,79.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.010132391937077045,0.0,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,0.0,0.010132391937077045,,,HB Køge,2885,6,freekick,,2885
HB Køge,8cfkisxf1fkxdqtt6tx1tup48,brnzj43frth2y4gjyeex6n5lg,2,2827657135,418,15,49,21,1,80.5,35.8,C. Tue Jensen,155.0,91.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.020036770030856133,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,NaN,true,,,NaN,NaN,NaN,NaN,5.0,0.020036770030856133,,,HB Køge,2961,4,corner,,2961
Hobro,b2vft81kyjurzbmekvgrqwr64,brnzj43frth2y4gjyeex6n5lg,2,2827661867,718,13,68,28,1,94.2,50.7,M. Boye,198.0,112.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.23839838802814484,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,NaN,true,,,NaN,NaN,NaN,NaN,7.0,0.23839838802814484,,,HB Køge,4108,5,corner,,4108
Hobro,b2vft81kyjurzbmekvgrqwr64,brnzj43frth2y4gjyeex6n5lg,2,2827662425,777,15,73,24,1,95.4,50.3,M. Boye,210.0,120.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.5547385215759277,0.33785682916641235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,true,NaN,,,NaN,NaN,NaN,NaN,5.0,0.5547385215759277,,,HB Køge,4404,3,freekick,,4404
HB Køge,8cfkisxf1fkxdqtt6tx1tup48,brnzj43frth2y4gjyeex6n5lg,2,2827663949,666,13,82,25,1,94.0,49.7,S. Hald,236.0,135.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.31960636377334595,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,true,NaN,,,NaN,NaN,NaN,NaN,3.0,0.31960636377334595,,,HB Køge,4945,4,freekick,,4945
Hobro,b2vft81kyjurzbmekvgrqwr64,brnzj43frth2y4gjyeex6n5lg,2,2827665087,899,13,88,56,1,94.8,51.6,M. Boye,257.0,150.0,NaN,NaN,HB Køge vs Hobro,2025-07-18,NaN,NaN,NaN,0.1858915239572525,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,NaN,true,,,NaN,NaN,NaN,NaN,1.0,0.1858915239572525,,,HB Køge,5336,3,corner,,5336
B 93,ajtb177oqwawkdwbqhldmq6mx,bsnoje72zc76mcdjiutfqzthw,1,2827653735,268,16,26,29,1,77.8,57.0,M. Wohlgemuth,90.0,63.0,NaN,NaN,Hvidovre vs B 93,2025-07-18,NaN,NaN,NaN,0.06270795315504074,0.10715505480766296,NaN,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,none,,NaN,NaN,,,NaN,NaN,NaN,NaN,3.0,0.06270795315504074,,,draw,1589,3,throw_in,,1589
Hvidovre,8gxd9ry2580pu1b1dd5ny9ymy,bsnoje72zc76mcdjiutfqzthw,1,2827655059,261,16,30,50,1,98.3,50.3,A. Okosun,96.0,66.0,NaN,NaN,Hvidovre vs B 93,2025-07-18,NaN,NaN,NaN,0.9767463207244873,0.9902980923652649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,0.0,0.9767463207244873,,,B 93,1850,5,freekick,,1850
B 93,ajtb177oqwawkdwbqhldmq6mx,bsnoje72zc76mcdjiutfqzthw,2,2827662789,453,13,48,9,1,91.8,47.2,E. Christensen,159.0,114.0,NaN,NaN,Hvidovre vs B 93,2025-07-18,NaN,NaN,NaN,0.06650397181510925,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,6.0,0.06650397181510925,,,draw,2889,5,corner,,2889
Hvidovre,8gxd9ry2580pu1b1dd5ny9ymy,bsnoje72zc76mcdjiutfqzthw,2,2828710655,848,15,52,9,1,80.9,49.6,J. Singh,170.0,119.0,NaN,NaN,Hvidovre vs B 93,2025-07-18,NaN,NaN,NaN,0.05689822882413864,0.061089158058166504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,NaN,NaN,,,NaN,NaN,NaN,NaN,0.0,0.05689822882413864,,,draw,3129,6,throw_in,,3129
Hvidovre,8gxd9ry2580pu1b1dd5ny9ymy,bsnoje72zc76mcdjiutfqzthw,2,2827667703,696,15,81,1,1,77.2,36.0,A. Smed,252.0,171.0,NaN,NaN,Hvidovre vs B 93,2025-07-18,NaN,NaN,NaN,0.03019922785460949,0.06146598979830742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,NaN,NaN,,,NaN,NaN,NaN,NaN,0.0,0.03019922785460949,,,draw,4861,4,throw_in,,4861
Hvidovre,8gxd9ry2580pu1b1dd5ny9ymy,bsnoje72zc76mcdjiutfqzthw,2,2827668893,745,13,88,11,1,73.5,41.9,F. Krogstad,269.0,175.0,NaN,NaN,Hvidovre vs B 93,2025-07-18,NaN,NaN,NaN,0.012222574092447758,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,0.0,0.012222574092447758,,,draw,5291,6,freekick,,5291
