id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,startDate,status,active,shortFirstName,shortLastName,height,foot,shirtNumber,placeOfBirth,weight,secondNationality,secondNationalityId,endDate,knownName
2gsd0ocro9aqgqn4ql3rg8e8k,Mikkel,Kupijbida,Male,M. Kupijbida,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2008-02-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-08-10Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2h94np282g0qtzal1czznequi,Anders,Nørbo Hoff Nielsen,Male,A. Hoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2003-09-04,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-07-01Z,active,yes,Anders,Hoff,188.0,right,31.0,NaN,NaN,NaN,NaN,NaN,NaN
3epwf56ozg73hueacwmckk0r9,Sebastian,Pingel,Male,S. Pingel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1993-05-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-07-11Z,active,yes,Sebastian,Pingel,NaN,NaN,11.0,NaN,NaN,NaN,NaN,NaN,NaN
3xz0h3d6r2qgmv9egms8yaz56,Christian,Vestergaard,Male,C. Vestergaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2001-04-26,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-08-19Z,active,yes,Christian,Vestergaard,193.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3ylgelxr6ssp42hidfnchqp2i,Kristian,Kirkegaard,Male,K. Kirkegaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1997-10-02,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-01Z,active,yes,Kristian,Kirkegaard,174.0,right,10.0,Skibet,70.0,NaN,NaN,NaN,NaN
4braldrfw3y7g030lctguuuol,Guðlaugur Victor,Pálsson,Male,V. Pálsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1991-04-30,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,2025-08-25Z,active,yes,Victor,Pálsson,186.0,right,NaN,Reykjavík,77.0,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN
4i0jiisff5k1efcgf27skpqfo,Frederik,Roslyng Christiansen,Male,F. Roslyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-12-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2023-05-25Z,active,no,Frederik,Roslyng,NaN,NaN,34.0,NaN,NaN,NaN,NaN,2025-08-26Z,NaN
4lxxyqy78jkglhv2w6crzcnsa,Ole Martin,Lekven Kolskogen,Male,O. Kolskogen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2001-01-20,Norway,7f16iy4w8u8ogyn6pfooqwv5z,2024-07-08Z,active,yes,Ole,Kolskogen,187.0,right,24.0,Bergen,73.0,NaN,NaN,NaN,NaN
51ymbnikkta369rn3exb1g7bo,Abdul,Salam Moro,Male,A. Moro,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2006-05-05,Ghana,2q2sw72utw5gu9t5y4knckwba,2024-08-06Z,active,yes,NaN,NaN,NaN,NaN,16.0,NaN,NaN,NaN,NaN,NaN,NaN
5lu7bn7uec3zjqpoi1x81gbu1,Sebastian,Lund Hausner,Male,S. Hausner,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2000-04-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-07-17Z,active,yes,Sebastian,Hausner,188.0,right,4.0,Horsens,78.0,NaN,NaN,NaN,NaN
