playerName,playerId,contestantId,typeId,team_name,9,321,322,label,match_id,date
O. Brynhildsen,e6p5i2ujvk0t9mo0h2gvrlka1,59as3grjvj19voay31j3yfgni,14,Midtjylland,,0.0381515994668006,NaN,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
A. Rømer,2mawaijd9czgtd5jh9myk434l,59as3grjvj19voay31j3yfgni,16,Midtjylland,,0.0223928280174732,0.4356,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
A. Gabriel,bidudbkachfl6126lhlr254wk,59as3grjvj19voay31j3yfgni,16,Midtjylland,,0.0288731269538402,0.3446,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
O. Brynhildsen,e6p5i2ujvk0t9mo0h2gvrlka1,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0088535416871309,0.3373,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
S. Iheanacho,dhz1y5vtlo24r5s99p3tywu1g,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0070675117895007,0.0623,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
Marrony,3w0gibs44axjxmmu96552oaqy,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0061011291109025,0.0715,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
O. Brynhildsen,e6p5i2ujvk0t9mo0h2gvrlka1,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0450407713651657,NaN,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
V. Buchholdt,5y4g8bwgaldpcohfwlu2xrjtg,cepxyrodggugeopm1gyoi67u1,15,Aabenraa,,0.006462684366852,0.1007,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
O. Brynhildsen,e6p5i2ujvk0t9mo0h2gvrlka1,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0359597280621528,NaN,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
Marrony,3w0gibs44axjxmmu96552oaqy,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0314229093492031,NaN,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
Marrony,3w0gibs44axjxmmu96552oaqy,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0050494321621954,0.0814,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
R. Kragelund,8brn37bthhbp4hxxrnvafiluc,cepxyrodggugeopm1gyoi67u1,13,Aabenraa,,0.0858337506651878,NaN,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
I. Fossum,qer4hblafo04av0aajfecclx,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0313101224601268,NaN,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
S. Iheanacho,dhz1y5vtlo24r5s99p3tywu1g,59as3grjvj19voay31j3yfgni,15,Midtjylland,,0.0154167329892516,0.5063,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
S. Iheanacho,dhz1y5vtlo24r5s99p3tywu1g,59as3grjvj19voay31j3yfgni,16,Midtjylland,,0.4107511043548584,0.8449,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
O. Brynhildsen,e6p5i2ujvk0t9mo0h2gvrlka1,59as3grjvj19voay31j3yfgni,16,Midtjylland,,0.0459106378257274,0.9815,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
Marrony,3w0gibs44axjxmmu96552oaqy,59as3grjvj19voay31j3yfgni,13,Midtjylland,,0.0449942797422409,NaN,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
Marrony,3w0gibs44axjxmmu96552oaqy,59as3grjvj19voay31j3yfgni,16,Midtjylland,,0.0434127077460289,0.4634,Aabenraa vs Midtjylland,1h1w2hvgzdq3l77wu94j991qs,2023-09-06
