id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,status,active,shortFirstName,shortLastName,height,foot,placeOfBirth,weight,secondNationality,secondNationalityId,endDate,knownName
2gsd0ocro9aqgqn4ql3rg8e8k,Mikkel,Kupijbida,Male,M. Kupijbida,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2008-02-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,35.0,2025-08-10Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2h94np282g0qtzal1czznequi,Anders,Nørbo Hoff Nielsen,Male,A. Hoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2003-09-04,Denmark,5adf60vwiw2f2mibyq1k4ex7i,31.0,2024-07-01Z,active,yes,Anders,Hoff,188.0,right,NaN,NaN,NaN,NaN,NaN,NaN
3epwf56ozg73hueacwmckk0r9,Sebastian,Pingel,Male,S. Pingel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1993-05-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,11.0,2024-07-11Z,active,yes,Sebastian,Pingel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3xz0h3d6r2qgmv9egms8yaz56,Christian,Vestergaard,Male,C. Vestergaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2001-04-26,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-08-19Z,active,yes,Christian,Vestergaard,193.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3ylgelxr6ssp42hidfnchqp2i,Kristian,Kirkegaard,Male,K. Kirkegaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1997-10-02,Denmark,5adf60vwiw2f2mibyq1k4ex7i,10.0,2025-07-01Z,active,yes,Kristian,Kirkegaard,174.0,right,Skibet,70.0,NaN,NaN,NaN,NaN
4braldrfw3y7g030lctguuuol,Guðlaugur Victor,Pálsson,Male,V. Pálsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1991-04-30,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-08-25Z,active,yes,Victor,Pálsson,186.0,right,Reykjavík,77.0,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN
4i0jiisff5k1efcgf27skpqfo,Frederik,Roslyng Christiansen,Male,F. Roslyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-12-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,34.0,2023-05-25Z,active,no,Frederik,Roslyng,NaN,NaN,NaN,NaN,NaN,NaN,2025-08-26Z,NaN
4lxxyqy78jkglhv2w6crzcnsa,Ole Martin,Lekven Kolskogen,Male,O. Kolskogen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2001-01-20,Norway,7f16iy4w8u8ogyn6pfooqwv5z,24.0,2024-07-08Z,active,yes,Ole,Kolskogen,187.0,right,Bergen,73.0,NaN,NaN,NaN,NaN
51ymbnikkta369rn3exb1g7bo,Abdul,Salam Moro,Male,A. Moro,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2006-05-05,Ghana,2q2sw72utw5gu9t5y4knckwba,16.0,2024-08-06Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5lu7bn7uec3zjqpoi1x81gbu1,Sebastian,Lund Hausner,Male,S. Hausner,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2000-04-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,4.0,2024-07-17Z,active,yes,Sebastian,Hausner,188.0,right,Horsens,78.0,NaN,NaN,NaN,NaN
5w0giylttgiapseaw6qky0mxg,Frederik,Juul Christensen,Male,F. Christensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-01-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-06-15Z,active,no,Frederik,Christensen,176.0,NaN,NaN,70.0,NaN,NaN,2025-08-07Z,NaN
61vr9xr91fr4g6ayzga5vn9w5,Alexander,Ludwig,Male,A. Ludwig,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-06-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,33.0,2019-08-14Z,active,yes,Alexander,Ludwig,184.0,left,København,85.0,NaN,NaN,NaN,NaN
6qko3f8w2ap9ynbuq2g55i5n8,Seniko Romeo,Doua,Male,S. Doua,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2001-11-01,Côte d'Ivoire,tin6kf561ywonqan0mettr98,30.0,2024-07-01Z,active,yes,Seniko,Doua,178.0,right,NaN,NaN,NaN,NaN,NaN,NaN
6y4tlx3641fhlvuydu97qcmvp,David Jean,Nielsen,Male,D. Nielsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1976-12-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-03-01Z,active,yes,David,Nielsen,180.0,NaN,Skagen,NaN,NaN,NaN,NaN,NaN
7353ysa16qgg30b9z5qiagys4,Alagie,Saine,Male,A. Saine,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Defender,player,2003-01-20,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,28.0,2023-01-19Z,active,yes,Alagie,Saine,186.0,right,NaN,NaN,NaN,NaN,NaN,NaN
77zrjzfkfp7hozuj05ktwhtqt,Mads,Fenger Nielsen,Male,M. Fenger,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1990-09-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,13.0,2025-01-03Z,active,yes,Mads,Fenger,185.0,right,NaN,82.0,NaN,NaN,NaN,NaN
7hso2bszmf4qal560jhrg2904,Yamirou,Ouorou,Male,Y. Ouorou,Benin,3o5wco7tkqgfmys9exmt5fo2h,Attacker,player,2006-06-12,Benin,3o5wco7tkqgfmys9exmt5fo2h,27.0,2024-08-06Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7odg3dte6eh3uuv1cjnd3oefo,Andreas,Kampp Kiilerich Hermansen,Male,A. Hermansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2004-05-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2026-01-01Z,active,no,Andreas,Hermansen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8jotzm26md7pzdy2gn474chqt,Patrick Haakon,Olsen,Male,P. Olsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1994-04-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,32.0,2025-06-25Z,active,yes,Patrick,Olsen,178.0,right,Tarnby,77.0,NaN,NaN,NaN,NaN
8uhv14rin2znrr0wqgvcc2f2t,Matej,Delač,Male,M. Delač,Croatia,37hlakrwxyuzovaeoo4sezusp,Goalkeeper,player,1992-08-20,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,1.0,2018-07-01Z,active,yes,Matej,Delac,190.0,right,Gornji Vakuf,80.0,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN
99m764t8gs6jevrqwv0dp6zh0,Nyembo Aime,Azende,Male,A. Azende,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,2005-01-25,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,19.0,2025-02-03Z,active,yes,Nyembo,Azende,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9cg2dx19fx5be3zewtmx97e95,Ivan,Miličević,Male,I. Miličević,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Defender,player,1998-07-16,Croatia,37hlakrwxyuzovaeoo4sezusp,7.0,2025-07-01Z,active,yes,Ivan,Milicevic,NaN,NaN,Split,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN
9dh7cnu4uzbraeck0t5iqlj4k,Adam Herman Bengt,Herdonsson,Male,A. Herdonsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2004-04-07,Sweden,1z6l2c33w2kyz9rdefs1d68nb,17.0,2024-07-02Z,active,yes,Adam,Herdonsson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9ik2uhlguua62ftde1gbv1dlg,Oscar,Karimi Mandrup,Male,O. Mandrup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2008-02-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,38.0,2024-04-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,Iran,e53g9hr2d3kasm34uumbg8r4,NaN,NaN
a48bpdpt0siemxqtr3rubwbu,Muhamet,Hyseni,Male,M. Hyseni,Kosovo,86u6edbqifdjsn49mbp2anw7p,Attacker,player,2001-02-06,Kosovo,86u6edbqifdjsn49mbp2anw7p,9.0,2024-07-01Z,active,yes,Muhamet,Hyseni,NaN,NaN,NaN,NaN,Yugoslavia,4tbxaicghm9l9p07quja51vfu,NaN,NaN
b7bdz33h18dt9ugvs6fj6k7pw,Kalle,Rahbek,Male,K. Rahbek,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,2008-02-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,37.0,2025-08-10Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bdz03qovxerzrv12lgljae1p0,Christ,Tapé,Male,C. Tapé,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2006-03-02,Côte d'Ivoire,tin6kf561ywonqan0mettr98,12.0,2024-07-01Z,active,yes,Christ,Tapé,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bmbqxxppt49l7d7glv3eg9k44,Oluwaseyi,Thomas Ogunniyi,Male,O. Ogunniyi,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Defender,player,2007-03-11,Nigeria,63pvdwrsiq5b07mzi8igqei9p,36.0,2025-08-10Z,active,yes,NaN,NaN,170.0,NaN,NaN,60.0,NaN,NaN,NaN,NaN
c2x3pewqx6d9q3c5dup0udxw,Ásgeir Galdur,Guðmundsson,Male,G. Guðmundsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2006-04-14,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-01-11Z,active,no,Galdur,Gudmundsson,NaN,NaN,NaN,NaN,NaN,NaN,2025-08-11Z,NaN
ca1b5707pdpx0ucug40ggnahh,Frederik,Brandhof,Male,F. Brandhof,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1996-07-05,Denmark,5adf60vwiw2f2mibyq1k4ex7i,29.0,2025-06-16Z,active,yes,Frederik,Brandhof,182.0,right,Skive,72.0,NaN,NaN,NaN,NaN
cqsc3mj8klukkgutdrpegybdg,Kwaku,Karikari,Male,K. Karikari,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2002-03-25,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,2024-07-14Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2025-08-05Z,NaN
dfxs5u8rdcxhzp33aks3acdn8,Karlo,Lusavec,Male,K. Lusavec,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,2003-10-30,Croatia,37hlakrwxyuzovaeoo4sezusp,20.0,2024-08-26Z,active,yes,NaN,NaN,NaN,NaN,Varaždin,NaN,NaN,NaN,NaN,NaN
emi8qy4aaxle4m9n9e32d7wno,Lasse,Risager Kristensen,Male,L. Kristensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2007-08-09,Denmark,5adf60vwiw2f2mibyq1k4ex7i,39.0,2024-03-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
