playerName,team_name,label,date,318.0
A. Andersson,AaB,AaB vs Midtjylland,2025-09-17,0.00491866
A. Bergholt,Brønshøj,Brønshøj vs OB,2025-10-22,0.00034251999999999997
A. Gabriel,Midtjylland,AaB vs Midtjylland,2025-09-17,0.23333097
A. Heimer,B 93,B 93 vs Brøndby,2025-09-24,0.00260567
A. Håpnes,AaB,AaB vs Midtjylland,2025-09-17,0.00106265
A. Jasson,AaB,AaB vs Midtjylland,2025-09-17,0.11242726
A. Sørensen,OB,Brønshøj vs OB,2025-10-22,0.45028885
Abdul Arshad,Brønshøj,Brønshøj vs OB,2025-10-22,0.01706417
B. Blume,Lyngby,Lyngby vs København,2025-09-24,0.11436658
B. Hansen,AaB,AaB vs Midtjylland,2025-09-17,0.18449606999999998
B. Meling,København,Lyngby vs København,2025-09-24,0.10702494
B. Tahirović,Brøndby,B 93 vs Brøndby,2025-09-24,0.14456993999999998
C. Björk,B 93,B 93 vs Brøndby,2025-09-24,0.0007762299999999999
C. Winther,Lyngby,Lyngby vs København,2025-09-24,0.01232772
Cho Gue-Sung,Midtjylland,AaB vs Midtjylland,2025-09-17,0.00100838
D. Castillo,Midtjylland,AaB vs Midtjylland,2025-09-17,0.00019984
D. Kotarski,København,Lyngby vs København,2025-09-24,0.00286389
D. Warmerdam,Lyngby,Lyngby vs København,2025-09-24,0.01312613
D. Wass,Brøndby,B 93 vs Brøndby,2025-09-24,0.49108096
Dani Silva,Midtjylland,AaB vs Midtjylland,2025-09-17,0.05120463
E. Chilufya,Midtjylland,AaB vs Midtjylland,2025-09-17,0.62978637
E. Christensen,B 93,B 93 vs Brøndby,2025-09-24,0.00231001
E. Hansborg-Sørensen,OB,Brønshøj vs OB,2025-10-22,0.04878631
E. Makolli,AaB,AaB vs Midtjylland,2025-09-17,0.00525104
F. Alves,Brøndby,B 93 vs Brøndby,2025-09-24,0.02161929
F. Arp,OB,Brønshøj vs OB,2025-10-22,0.03315779
F. Bundgaard,Brøndby,B 93 vs Brøndby,2025-09-24,0.0146792
F. Børsting,AaB,AaB vs Midtjylland,2025-09-17,0.00436278
F. Ibsen,B 93,B 93 vs Brøndby,2025-09-24,7.528999999999999e-05
F. Isaki,B 93,B 93 vs Brøndby,2025-09-24,0.02218724
Franculino Djú,Midtjylland,AaB vs Midtjylland,2025-09-17,0.02189529
G. Fraulo,Lyngby,Lyngby vs København,2025-09-24,0.19863631
G. Grubbe,OB,Brønshøj vs OB,2025-10-22,0.01193824
G. Mortensen,Lyngby,Lyngby vs København,2025-09-24,0.00909654
Gabriel Pereira,København,Lyngby vs København,2025-09-24,0.10038712999999999
I. Mehanovic,Brønshøj,Brønshøj vs OB,2025-10-22,0.21460263000000002
J. Ambæk,Brøndby,B 93 vs Brøndby,2025-09-24,0.0064471
J. Berthel Askou,OB,Brønshøj vs OB,2025-10-22,0.00034789
J. Cornelius,Lyngby,Lyngby vs København,2025-09-24,0.0054080199999999995
J. Gomez,OB,Brønshøj vs OB,2025-10-22,0.02207108
J. Johansson,Brønshøj,Brønshøj vs OB,2025-10-22,0.6730151799999999
J. Larsson,København,Lyngby vs København,2025-09-24,0.02142301
J. Lössl,Midtjylland,AaB vs Midtjylland,2025-09-17,0.00269815
J. Meyer,Lyngby,Lyngby vs København,2025-09-24,0.044786049999999994
J. Niemiec,OB,Brønshøj vs OB,2025-10-22,0.03652275
J. Suzuki,København,Lyngby vs København,2025-09-24,0.02504314
J. Ægidius,Lyngby,Lyngby vs København,2025-09-24,0.013600280000000001
Júnior Brumado,Midtjylland,AaB vs Midtjylland,2025-09-17,0.00703803
K. Grabovskis,B 93,B 93 vs Brøndby,2025-09-24,0.18506331
K. Hansen,AaB,AaB vs Midtjylland,2025-09-17,0.00924207
K. Heerfordt,Brønshøj,Brønshøj vs OB,2025-10-22,0.00887488
K. John,AaB,AaB vs Midtjylland,2025-09-17,0.24420599
K. Uchino,Brøndby,B 93 vs Brøndby,2025-09-24,0.00078527
L. Binks,Brøndby,B 93 vs Brøndby,2025-09-24,0.03773818
L. Chang-Andersen,Brønshøj,Brønshøj vs OB,2025-10-22,0.00013334
L. Henriksen,B 93,B 93 vs Brøndby,2025-09-24,0.01900934
L. Kiilerich,Brønshøj,Brønshøj vs OB,2025-10-22,0.0040238
L. Koch,Brønshøj,Brønshøj vs OB,2025-10-22,0.00985803
L. Lerager,København,Lyngby vs København,2025-09-24,0.00212599
L. Owusu,OB,Brønshøj vs OB,2025-10-22,0.00184128
L. Sandgrav,Lyngby,Lyngby vs København,2025-09-24,0.10244138000000001
Lee Han-Beom,Midtjylland,AaB vs Midtjylland,2025-09-17,0.01067474
M. Bech,Midtjylland,AaB vs Midtjylland,2025-09-17,0.13142166
M. Bomholt,AaB,AaB vs Midtjylland,2025-09-17,0.00447659
M. Divković,Brøndby,B 93 vs Brøndby,2025-09-24,0.5420059600000001
M. Ejdum,OB,Brønshøj vs OB,2025-10-22,0.00461682
M. Elyounoussi,København,Lyngby vs København,2025-09-24,0.09578048
M. Jensen,Brøndby,B 93 vs Brøndby,2025-09-24,0.0061292000000000004
M. Kaarsbo,Lyngby,Lyngby vs København,2025-09-24,0.006448209999999999
M. Kaasa,AaB,AaB vs Midtjylland,2025-09-17,0.07228105
M. Kallesøe,AaB,AaB vs Midtjylland,2025-09-17,0.00285883
M. Larsen,Brønshøj,Brønshøj vs OB,2025-10-22,0.00116828
M. Lynge,Brønshøj,Brønshøj vs OB,2025-10-22,0.01005895
M. López,København,Lyngby vs København,2025-09-24,0.00040968
M. Madsen,København,Lyngby vs København,2025-09-24,0.04665251
M. McCoy,OB,Brønshøj vs OB,2025-10-22,0.0380484
M. Porsgrunn,Brønshøj,Brønshøj vs OB,2025-10-22,0.01178699
M. Winther,Brønshøj,Brønshøj vs OB,2025-10-22,0.000792
M. Wohlgemuth,B 93,B 93 vs Brøndby,2025-09-24,0.06609774
M. Younis,Brøndby,B 93 vs Brøndby,2025-09-24,0.00200463
Muhammad Huzaifa,B 93,B 93 vs Brøndby,2025-09-24,0.00233711
N. Arnórsson,AaB,AaB vs Midtjylland,2025-09-17,0.01057586
N. Bürgy,OB,Brønshøj vs OB,2025-10-22,0.03117586
N. Ganaus,OB,Brønshøj vs OB,2025-10-22,0.02806847
N. Helenius,AaB,AaB vs Midtjylland,2025-09-17,0.00247149
N. Mouritsen,B 93,B 93 vs Brøndby,2025-09-24,0.02779257
N. Nartey,Brøndby,B 93 vs Brøndby,2025-09-24,0.17191313
N. Stojanovic,Brønshøj,Brønshøj vs OB,2025-10-22,0.00299583
N. Vallys,Brøndby,B 93 vs Brøndby,2025-09-24,0.13473538999999998
NaN,AaB,AaB vs Midtjylland,2025-09-17,0.0
NaN,B 93,B 93 vs Brøndby,2025-09-24,0.0
NaN,Brøndby,B 93 vs Brøndby,2025-09-24,0.0
NaN,Brønshøj,Brønshøj vs OB,2025-10-22,0.0
NaN,København,Lyngby vs København,2025-09-24,0.0
NaN,Lyngby,Lyngby vs København,2025-09-24,0.0
NaN,Midtjylland,AaB vs Midtjylland,2025-09-17,0.0
NaN,OB,Brønshøj vs OB,2025-10-22,0.0
O. Addo,B 93,B 93 vs Brøndby,2025-09-24,0.0712152
O. Buur,Lyngby,Lyngby vs København,2025-09-24,0.36850939000000005
O. Diao,Midtjylland,AaB vs Midtjylland,2025-09-17,0.04201553
O. Ross,AaB,AaB vs Midtjylland,2025-09-17,0.0
O. Søe,B 93,B 93 vs Brøndby,2025-09-24,0.0025827800000000002
O. Villadsen,Brøndby,B 93 vs Brøndby,2025-09-24,0.5997941299999999
P. Billing,Midtjylland,AaB vs Midtjylland,2025-09-17,0.04749971
P. Bravo,Midtjylland,AaB vs Midtjylland,2025-09-17,0.04966735
P. Hatzidiakos,København,Lyngby vs København,2025-09-24,0.045136670000000004
P. Langhoff,Lyngby,Lyngby vs København,2025-09-24,0.02759226
P. Larsen,Brønshøj,Brønshøj vs OB,2025-10-22,0.39684629
P. Pentz,Brøndby,B 93 vs Brøndby,2025-09-24,0.00159856
Paulinho,Midtjylland,AaB vs Midtjylland,2025-09-17,0.31412737
R. Arabaci,B 93,B 93 vs Brøndby,2025-09-24,0.07021899000000001
R. Falk,OB,Brønshøj vs OB,2025-10-22,0.21248389
R. Huescas,København,Lyngby vs København,2025-09-24,0.00439507
Robert Silva,København,Lyngby vs København,2025-09-24,0.10120276
S. Colyn,Lyngby,Lyngby vs København,2025-09-24,0.00236898
S. Fukuda,Brøndby,B 93 vs Brøndby,2025-09-24,0.23441701999999998
S. Leschly,B 93,B 93 vs Brøndby,2025-09-24,0.00790053
S. Spierings,Brøndby,B 93 vs Brøndby,2025-09-24,2.928e-05
T. Noer,Brønshøj,Brønshøj vs OB,2025-10-22,0.0074747400000000006
T. Sander,OB,Brønshøj vs OB,2025-10-22,0.00024457
T. Storm,Lyngby,Lyngby vs København,2025-09-24,0.0123465
V. Bak Jensen,Midtjylland,AaB vs Midtjylland,2025-09-17,0.06916359
V. Byskov,Midtjylland,AaB vs Midtjylland,2025-09-17,0.1989549
V. Christensen,Brønshøj,Brønshøj vs OB,2025-10-22,9.851e-05
V. Claesson,København,Lyngby vs København,2025-09-24,0.1366537
V. Hammershøy-Mistrati,B 93,B 93 vs Brøndby,2025-09-24,0.00457464
V. Møller,AaB,AaB vs Midtjylland,2025-09-17,0.00421243
V. Müller,AaB,AaB vs Midtjylland,2025-09-17,0.00045377000000000004
W. Clem,København,Lyngby vs København,2025-09-24,0.05759196
W. Martin,OB,Brønshøj vs OB,2025-10-22,0.10594614999999999
W. Steindorsson,Lyngby,Lyngby vs København,2025-09-24,0.04080662
Y. Belhadj,B 93,B 93 vs Brøndby,2025-09-24,0.02042342
Y. Bojang,OB,Brønshøj vs OB,2025-10-22,0.03504722
Y. Moukoko,København,Lyngby vs København,2025-09-24,0.10531006
Y. Zague,København,Lyngby vs København,2025-09-24,0.05747029
Í. Þorvaldsson,Lyngby,Lyngby vs København,2025-09-24,0.0390808
