team_name,contestantId,match_id,periodId,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state,clock_sec,set_piece_index,set_piece_type,set_piece_team,event_time
Midtjylland,59as3grjvj19voay31j3yfgni,c1phoxb4riw0yaj09yuqt6bro,1,2701835291,51,13,6,55,1,96.7,43.0,A. Buksa,23.0,12.0,NaN,NaN,AGF vs Midtjylland,2024-07-19,NaN,NaN,NaN,0.14136971533298492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,3.0,0.14136971533298492,,,draw,415,4,corner,,415
AGF,5rz9enoyknpg8ji78za5b82p0,c1phoxb4riw0yaj09yuqt6bro,1,2701838111,204,15,24,0,1,87.2,32.7,M. Madsen,72.0,45.0,NaN,NaN,AGF vs Midtjylland,2024-07-19,NaN,NaN,NaN,0.018823863938450813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.018823863938450813,,,AGF,1440,3,throw_in,,1440
AGF,5rz9enoyknpg8ji78za5b82p0,c1phoxb4riw0yaj09yuqt6bro,1,2701839079,250,15,31,1,1,96.1,47.0,P. Mortensen,88.0,55.0,NaN,NaN,AGF vs Midtjylland,2024-07-19,NaN,NaN,NaN,0.3294219970703125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.3294219970703125,,,AGF,1861,3,corner,,1861
AGF,5rz9enoyknpg8ji78za5b82p0,c1phoxb4riw0yaj09yuqt6bro,1,2701841393,367,15,34,54,1,95.9,45.8,T. Bech,96.0,61.0,NaN,NaN,AGF vs Midtjylland,2024-07-19,NaN,NaN,NaN,0.18072423338890076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,1.0,0.18072423338890076,,,AGF,2094,5,corner,,2094
AGF,5rz9enoyknpg8ji78za5b82p0,c1phoxb4riw0yaj09yuqt6bro,1,2701840307,312,15,41,27,1,88.7,58.9,M. Anderson,108.0,69.0,NaN,NaN,AGF vs Midtjylland,2024-07-19,NaN,NaN,NaN,0.1501801759004593,0.2867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,NaN,NaN,,NaN,NaN,NaN,NaN,1.0,0.1501801759004593,,,AGF,2487,4,throw_in,,2487
AGF,5rz9enoyknpg8ji78za5b82p0,c1phoxb4riw0yaj09yuqt6bro,2,2701845479,408,13,50,24,1,76.9,29.5,T. Bech,153.0,93.0,NaN,NaN,AGF vs Midtjylland,2024-07-19,NaN,NaN,NaN,0.04510888084769249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.04510888084769249,,,draw,3024,1,freekick_shot,5rz9enoyknpg8ji78za5b82p0,3024
AGF,5rz9enoyknpg8ji78za5b82p0,c1phoxb4riw0yaj09yuqt6bro,2,2701846077,419,15,52,32,1,85.3,38.0,M. Anderson,155.0,95.0,NaN,NaN,AGF vs Midtjylland,2024-07-19,NaN,NaN,NaN,0.036534640938043594,0.2565,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,,,NaN,NaN,,NaN,NaN,NaN,NaN,9.0,0.036534640938043594,,,draw,3152,7,freekick,,3152
Midtjylland,59as3grjvj19voay31j3yfgni,c1phoxb4riw0yaj09yuqt6bro,2,2701858561,753,13,92,52,1,94.2,56.6,A. Buksa,267.0,176.0,NaN,NaN,AGF vs Midtjylland,2024-07-19,NaN,NaN,NaN,0.10509829968214035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,NaN,NaN,,NaN,NaN,NaN,NaN,4.0,0.10509829968214035,,,draw,5572,5,throw_in,,5572
AaB,36g6ifzjliec1jqnbtf7yesme,c291lwjpufcycftv6oel0wxlg,2,2701894373,787,15,77,11,1,79.0,72.6,O. Ross,210.0,136.0,NaN,NaN,Nordsjælland vs AaB,2024-07-19,NaN,NaN,NaN,0.044844258576631546,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,NaN,,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.044844258576631546,,,Nordsjælland,4631,1,freekick_shot,36g6ifzjliec1jqnbtf7yesme,4631
AaB,36g6ifzjliec1jqnbtf7yesme,c291lwjpufcycftv6oel0wxlg,2,2701894493,791,15,77,35,1,90.5,67.9,M. Widell,212.0,136.0,NaN,NaN,Nordsjælland vs AaB,2024-07-19,NaN,NaN,NaN,0.029358340427279472,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,NaN,,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.029358340427279472,,,Nordsjælland,4655,5,corner,,4655
SønderjyskE,aljua8crr0vkwit0j3m59jw9j,c2pjfxrthmd3qsll2kh24qkgk,1,2702428003,140,13,17,25,1,69.2,54.3,S. Emini,42.0,24.0,NaN,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.00903234537690878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.00903234537690878,,,draw,1045,8,corner,,1045
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702431611,291,13,25,49,1,86.7,49.9,A. Lind,71.0,43.0,NaN,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.04266390576958656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,1.0,0.04266390576958656,,,draw,1549,2,freekick,,1549
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702436135,437,15,37,26,1,78.5,39.3,A. Poulsen,98.0,57.0,NaN,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.03084336593747139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,4.0,0.03084336593747139,,,draw,2246,4,freekick,,2246
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702436159,438,14,37,28,1,77.8,28.9,T. Adamsen,99.0,57.0,NaN,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.022630581632256508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.022630581632256508,,,draw,2248,5,freekick,,2248
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702438893,472,15,43,7,1,89.8,34.4,T. Adamsen,113.0,65.0,1.0,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.055405206978321075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.055405206978321075,,,draw,2587,3,freekick,,2587
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702442027,520,13,43,9,1,94.6,48.7,A. Lind,114.0,65.0,NaN,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.24754205346107483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.24754205346107483,,,draw,2589,5,freekick,,2589
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,2,2702450117,556,15,48,6,1,76.9,34.3,M. Brink,136.0,78.0,NaN,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.009236162528395653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.009236162528395653,,,draw,2886,9,corner,,2886
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,2,2702460447,760,13,68,18,1,72.2,41.1,T. Adamsen,199.0,122.0,NaN,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.041317492723464966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.041317492723464966,,,draw,4098,1,freekick_shot,ahnt9ejgwj58ul8auzdvi3czf,4098
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,2,2702463655,823,16,76,19,1,96.2,46.2,P. Mattsson,219.0,132.0,NaN,NaN,Silkeborg vs SønderjyskE,2024-07-21,NaN,NaN,NaN,0.20469844341278076,0.045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,3.0,0.20469844341278076,,,draw,4579,2,corner,,4579
Sønderjyske,aljua8crr0vkwit0j3m59jw9j,c2pjfxrthmd3qsll2kh24qkgk,1,2702428003,140,13,17,25,1,69.2,54.3,S. Emini,42.0,24.0,NaN,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.00903234537690878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.00903234537690878,,,draw,1045,8,corner,,1045
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702431611,291,13,25,49,1,86.7,49.9,A. Lind,71.0,43.0,NaN,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.04266390576958656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,1.0,0.04266390576958656,,,draw,1549,2,freekick,,1549
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702436135,437,15,37,26,1,78.5,39.3,A. Poulsen,98.0,57.0,NaN,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.03084336593747139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,4.0,0.03084336593747139,,,draw,2246,4,freekick,,2246
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702436159,438,14,37,28,1,77.8,28.9,T. Adamsen,99.0,57.0,NaN,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.022630581632256508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.022630581632256508,,,draw,2248,5,freekick,,2248
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702438893,472,15,43,7,1,89.8,34.4,T. Adamsen,113.0,65.0,1.0,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.055405206978321075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.055405206978321075,,,draw,2587,3,freekick,,2587
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,1,2702442027,520,13,43,9,1,94.6,48.7,A. Lind,114.0,65.0,NaN,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.24754205346107483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.24754205346107483,,,draw,2589,5,freekick,,2589
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,2,2702450117,556,15,48,6,1,76.9,34.3,M. Brink,136.0,78.0,NaN,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.009236162528395653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.009236162528395653,,,draw,2886,9,corner,,2886
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,2,2702460447,760,13,68,18,1,72.2,41.1,T. Adamsen,199.0,122.0,NaN,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.041317492723464966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.041317492723464966,,,draw,4098,1,freekick_shot,ahnt9ejgwj58ul8auzdvi3czf,4098
Silkeborg,ahnt9ejgwj58ul8auzdvi3czf,c2pjfxrthmd3qsll2kh24qkgk,2,2702463655,823,16,76,19,1,96.2,46.2,P. Mattsson,219.0,132.0,NaN,NaN,Silkeborg vs Sønderjyske,2024-07-21,NaN,NaN,NaN,0.20469844341278076,0.045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,3.0,0.20469844341278076,,,draw,4579,2,corner,,4579
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,1,2702486219,329,13,40,20,1,89.9,47.9,F. Danho,113.0,70.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.036977894604206085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,3.0,0.036977894604206085,,,Vejle,2420,4,corner,,2420
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,1,2702488433,374,14,44,50,1,97.2,56.1,S. Odey,128.0,80.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.2800550162792206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,1.0,0.2800550162792206,,,Vejle,2690,2,corner,,2690
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,1,2702488445,375,15,44,52,1,90.1,46.4,F. Danho,129.0,80.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.05838601291179657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.05838601291179657,,,Vejle,2692,4,corner,,2692
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,1,2702488867,384,15,45,37,1,88.7,27.2,S. Nordli,131.0,80.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.029142161831259727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,,,NaN,NaN,,NaN,NaN,NaN,NaN,10.0,0.029142161831259727,,,Vejle,2737,13,throw_in,,2737
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,2,2702499559,478,16,52,6,1,74.4,74.4,M. Enggård,162.0,101.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.03646150603890419,0.3162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.03646150603890419,,,Vejle,3126,1,freekick_shot,9w3sjm5ml4sjr2v81oxzdrt8v,3126
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,2,2702509039,654,13,79,36,1,76.7,44.3,F. Lauenborg,231.0,141.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.012335664592683315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,3.0,0.012335664592683315,,,Randers,4776,9,corner,,4776
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,2,2702514269,733,13,90,25,1,95.8,48.7,Mohamed Touré,265.0,161.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.20836810767650604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,4.0,0.20836810767650604,,,draw,5425,3,corner,,5425
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,2,2702514293,735,13,90,28,1,80.6,65.0,Tammer Bany,266.0,161.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.02037166990339756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.02037166990339756,,,draw,5428,5,corner,,5428
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,2,2702514309,736,15,90,31,1,80.5,42.1,M. Themsen,267.0,161.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.042280759662389755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.042280759662389755,,,draw,5431,7,corner,,5431
Randers,9w3sjm5ml4sjr2v81oxzdrt8v,c363n49fpce3zykvi2rnkfu38,2,2702514909,747,16,91,52,1,91.1,35.0,Tammer Bany,272.0,165.0,NaN,NaN,Vejle vs Randers,2024-07-21,NaN,NaN,NaN,0.10896001756191254,0.0962,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,,,NaN,NaN,,NaN,NaN,NaN,NaN,1.0,0.10896001756191254,,,draw,5512,7,throw_in,,5512
Viborg,cftj6g399tknheudaxsdpfdgb,c3mopizt3lqve54nyxpgln6l0,2,2702544847,638,15,55,1,1,94.2,60.3,Ž. Zaletel,150.0,94.0,NaN,NaN,Viborg vs Brøndby,2024-07-21,NaN,NaN,NaN,0.034500960260629654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,2.0,0.034500960260629654,,,Viborg,3301,4,corner,,3301
Viborg,cftj6g399tknheudaxsdpfdgb,c3mopizt3lqve54nyxpgln6l0,2,2702539135,495,15,55,5,1,90.8,50.7,M. Westergaard,151.0,94.0,NaN,NaN,Viborg vs Brøndby,2024-07-21,NaN,NaN,NaN,0.06811240315437317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,0.0,0.06811240315437317,,,Viborg,3305,7,corner,,3305
Brøndby,9qsmopgutr7ut5g6workk8w4i,c3mopizt3lqve54nyxpgln6l0,2,2702549329,1009,13,89,25,1,93.2,41.1,K. Tshiembe,233.0,143.0,NaN,NaN,Viborg vs Brøndby,2024-07-21,NaN,NaN,NaN,0.03538740798830986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,1.0,0.03538740798830986,,,Viborg,5365,3,corner,,5365
Brøndby,9qsmopgutr7ut5g6workk8w4i,c3mopizt3lqve54nyxpgln6l0,2,2702549321,1008,13,89,31,1,95.9,49.0,E. Yeboah,234.0,143.0,NaN,NaN,Viborg vs Brøndby,2024-07-21,NaN,NaN,NaN,0.2630932629108429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,0.0,0.2630932629108429,,,Viborg,5371,8,corner,,5371
Viborg,cftj6g399tknheudaxsdpfdgb,c3mopizt3lqve54nyxpgln6l0,2,2702550733,762,16,95,7,1,91.5,56.5,I. Jensen,246.0,152.0,NaN,NaN,Viborg vs Brøndby,2024-07-21,NaN,NaN,NaN,0.42131561040878296,0.8706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,NaN,,,NaN,NaN,NaN,NaN,9.0,0.42131561040878296,,,draw,5707,6,throw_in,,5707
København,b3r6d8ydtmtjckam6pku9y400,c438qgt0p6shu087q1ivxw07o,1,2702828473,128,13,10,33,1,91.9,51.2,M. Garan'anga,31.0,17.0,NaN,NaN,Lyngby vs København,2024-07-22,NaN,NaN,NaN,0.06771993637084961,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,3.0,0.06771993637084961,,,København,633,4,corner,,633
Lyngby,anga7587r1zv4ey71ge9zxol3,c438qgt0p6shu087q1ivxw07o,2,2702846291,393,13,49,52,1,90.3,44.2,L. Sandgrav,133.0,84.0,NaN,NaN,Lyngby vs København,2024-07-22,NaN,NaN,NaN,0.037809818983078,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,2.0,0.037809818983078,,,København,2992,4,freekick,,2992
København,b3r6d8ydtmtjckam6pku9y400,c438qgt0p6shu087q1ivxw07o,2,2702846859,534,13,51,18,1,78.3,32.8,R. Huescas,138.0,85.0,NaN,NaN,Lyngby vs København,2024-07-22,NaN,NaN,NaN,0.01789894513785839,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,0.0,0.01789894513785839,,,København,3078,3,corner,,3078
København,b3r6d8ydtmtjckam6pku9y400,c438qgt0p6shu087q1ivxw07o,2,2702850001,609,13,60,40,1,77.8,44.0,R. Huescas,162.0,99.0,NaN,NaN,Lyngby vs København,2024-07-22,NaN,NaN,NaN,0.020383020862936974,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,0.0,0.020383020862936974,,,København,3640,3,corner,,3640
