id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,shirtNumber,status,active,secondNationality,secondNationalityId,placeOfBirth,weight,foot,knownName
14lm8eil6ns7r5grg62kr4fhm,Yann Emmanuel,Affi,Yann,Affi,Male,Y. Affi,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,1995-11-11,Côte d'Ivoire,tin6kf561ywonqan0mettr98,185.0,5.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
18mp8pudfnqhi7n6vix038rmx,Magnus,Breitenmoser,Magnus,Breitenmoser,Male,M. Breitenmoser,Switzerland,3bh70jgvc5mn58x0byjkuda17,Midfielder,player,1998-08-06,Switzerland,3bh70jgvc5mn58x0byjkuda17,183.0,44.0,active,no,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,Wil,68.0,right,NaN
1s5o68av3fr18by5wv21hx3pw,Eemil,Merikanto,Eemil,Merikanto,Male,E. Merikanto,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-08-03,Finland,2u07e54v5dprsugdvddpq5ync,176.0,38.0,active,yes,NaN,NaN,NaN,NaN,right,NaN
2e1d6ujeubsrssw7163cxysb9,Rony,Huhtala,Rony,Huhtala,Male,R. Huhtala,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,1998-06-08,Finland,2u07e54v5dprsugdvddpq5ync,NaN,24.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
2gs163iibbpx1tsayfd626w6i,Nuutti,Kaikkonen,Nuutti,Kaikkonen,Male,N. Kaikkonen,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2003-04-10,Finland,2u07e54v5dprsugdvddpq5ync,NaN,27.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
3ct874dkjkvjo3pf399gm9dgq,Ashley Mark,Coffey,Ashley,Coffey,Male,A. Coffey,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,1993-12-01,England,1fk5l4hkqk12i7zske6mcqju6,191.0,9.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
3f8e83iojsiw1lfve95cr3aei,Hamed Karamoko,Dramé,Hamed,Dramé,Male,H. Dramé,France,7gww28djs405rfga69smki84o,Defender,player,2001-06-13,France,7gww28djs405rfga69smki84o,193.0,4.0,active,no,Mali,d0v29nncgikdswlxpdq553zz,NaN,NaN,NaN,NaN
3wzdbzmo0lifo3xsz7zxicvvu,Eemeli,Raittinen,Eemeli,Raittinen,Male,E. Raittinen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2000-02-03,Finland,2u07e54v5dprsugdvddpq5ync,NaN,47.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
4147llewjlwzb4os4mhdz3qzu,Lasse,Ikonen,Lasse,Ikonen,Male,L. Ikonen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2003-01-19,USA,7hr2f89v44y65dyu9k92vprwn,NaN,26.0,active,no,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,NaN
48gi7n02q9rxj7u3ki0cp17o4,Otso Urho,Eemil Liimatta,Otso,Liimatta,Male,O. Liimatta,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2004-07-10,Finland,2u07e54v5dprsugdvddpq5ync,169.0,20.0,active,no,NaN,NaN,NaN,63.0,right,NaN
4aoegh7yokqb5ix45ruvqjalm,Jere,Kallinen,Jere,Kallinen,Male,J. Kallinen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2002-01-10,Finland,2u07e54v5dprsugdvddpq5ync,NaN,8.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
4mhtjihst9rhmz08jam74ry8k,Santtu,Seppänen,Santtu,Seppänen,Male,S. Seppänen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2003-06-02,Finland,2u07e54v5dprsugdvddpq5ync,183.0,41.0,active,no,NaN,NaN,NaN,80.0,NaN,NaN
4votdnyh0srvboatz6a20d5p0,Julius,Paananen,Julius,Paananen,Male,J. Paananen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2006-11-26,Finland,2u07e54v5dprsugdvddpq5ync,185.0,71.0,active,yes,NaN,NaN,NaN,75.0,NaN,Julius Paananen
5zhkuwxgl4jj4lwqevpngsqqy,Onni,Suutari,Onni,Suutari,Male,O. Suutari,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2003-04-29,Finland,2u07e54v5dprsugdvddpq5ync,NaN,19.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
