playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Akinyemi,Ilves,HJK vs Ilves,2024-09-28,0.2832032,0.2209025
A. Akinyemi,Ilves,Ilves vs Haka,2024-09-14,0.4080786,0.1753686
A. Akinyemi,Ilves,Ilves vs KuPS,2024-09-24,0.3308664,0.0415338
A. Akinyemi,Ilves,Ilves vs SJK,2024-10-19,0.0849212,-0.1766294
A. Akinyemi,Ilves,VPS vs Ilves,2024-10-04,0.1514923,0.0394905
A. Albanese,HJK,HJK vs Ilves,2024-09-28,0.2279592,-0.1154682
A. Albanese,HJK,VPS vs HJK,2024-09-20,0.0776489,-0.0440976
A. Almén,VPS,Haka vs VPS,2024-10-19,0.2317256,0.1117219
A. Almén,VPS,KuPS vs VPS,2024-09-14,0.0922293,0.005360299999999998
A. Almén,VPS,SJK vs VPS,2024-09-28,0.0378985,-0.015443499999999999
A. Almén,VPS,VPS vs Ilves,2024-10-04,0.1810446,-0.1180548
A. Babiker,Lahti,Gnistan vs Lahti,2024-10-05,0.072847,-0.043313000000000004
A. Babiker,Lahti,Lahti vs EIF,2024-10-19,0.0286602,-0.003018100000000001
A. Cicale,VPS,KuPS vs VPS,2024-09-14,0.8570221,0.3963295
A. Cicale,VPS,SJK vs VPS,2024-09-28,0.24630749999999998,-0.05645939999999999
A. Cicale,VPS,VPS vs Gnistan,2024-10-23,0.30032179999999997,0.052263699999999996
A. Cicale,VPS,VPS vs HJK,2024-09-20,0.4807106,0.0996233
A. Cicale,VPS,VPS vs Ilves,2024-10-04,0.33111,-0.031894099999999995
A. Coffey,Oulu,EIF vs Oulu,2024-10-05,0.1576314,-0.025735900000000006
A. Coffey,Oulu,Gnistan vs Oulu,2024-09-27,0.2599443,0.03676750000000001
A. Coffey,Oulu,Oulu vs Inter Turku,2024-09-24,0.2665427,-0.05199719999999999
A. Coffey,Oulu,Oulu vs Lahti,2024-09-14,0.4200098,0.1393387
A. Coffey,Oulu,Oulu vs Mariehamn,2024-10-19,0.19160560000000001,-0.082209
A. Granlund,Inter Turku,Haka vs Inter Turku,2024-10-23,0.7019871,0.2421603
A. Granlund,Inter Turku,Inter Turku vs Gnistan,2024-10-19,0.1984687,0.08484130000000001
A. Granlund,Inter Turku,Inter Turku vs Lahti,2024-09-30,0.3209311,0.0704196
A. Granlund,Inter Turku,Mariehamn vs Inter Turku,2024-10-06,0.0951844,0.0209903
A. Halme,HJK,HJK vs Ilves,2024-09-28,0.1801287,0.008680199999999999
A. Halme,HJK,HJK vs SJK,2024-09-14,0.0,0.0
A. Heinonen,KuPS,Ilves vs KuPS,2024-09-24,0.164283,0.017675999999999997
A. Heinonen,KuPS,KuPS vs HJK,2024-10-19,0.0075563,-0.0081904
A. Heinonen,KuPS,KuPS vs Haka,2024-09-29,0.0646776,-0.070512
A. Heinonen,KuPS,KuPS vs VPS,2024-09-14,0.0494865,-0.026180400000000003
A. Heinonen,KuPS,SJK vs KuPS,2024-10-05,0.24642930000000002,0.004869799999999994
A. Kabashi,Gnistan,EIF vs Gnistan,2024-09-22,0.1156525,0.050518499999999994
A. Kabashi,Gnistan,Gnistan vs Mariehamn,2024-09-15,0.2702144,0.046095899999999995
A. Kabashi,Gnistan,Gnistan vs Oulu,2024-09-27,0.0087696,0.0049701
A. Kabashi,Gnistan,Haka vs Gnistan,2024-10-26,0.0,0.0
A. Kabashi,Gnistan,Inter Turku vs Gnistan,2024-10-19,0.1756792,0.07759680000000001
A. Kabashi,Gnistan,VPS vs Gnistan,2024-10-23,0.5319226,0.3385442
A. Kanté,Ilves,Ilves vs KuPS,2024-09-24,0.0255405,-0.0054182
A. Kouame,Inter Turku,Haka vs Inter Turku,2024-10-23,0.6727736,0.10035169999999999
A. Kouame,Inter Turku,Inter Turku vs EIF,2024-09-13,0.6795732,0.3372509
A. Kouame,Inter Turku,Inter Turku vs Gnistan,2024-10-19,0.7936862,0.19000120000000004
A. Kouame,Inter Turku,Inter Turku vs Lahti,2024-09-30,1.0329397,0.3321555
A. Kouame,Inter Turku,Mariehamn vs Inter Turku,2024-10-06,0.6390057,0.3045674
A. Kouame,Inter Turku,Oulu vs Inter Turku,2024-09-24,0.5330493000000001,0.05364959999999999
A. Kuek,VPS,KuPS vs VPS,2024-09-14,0.1393844,0.052094299999999996
A. Larsson,Mariehamn,Gnistan vs Mariehamn,2024-09-15,0.2211241,-0.007724000000000005
A. Larsson,Mariehamn,Lahti vs Mariehamn,2024-09-19,0.18212889999999998,0.13047659999999997
A. Larsson,Mariehamn,Mariehamn vs EIF,2024-09-28,0.1980162,0.0258934
A. Larsson,Mariehamn,Mariehamn vs Inter Turku,2024-10-06,0.2188162,-0.0017588999999999955
A. Larsson,Mariehamn,Oulu vs Mariehamn,2024-10-19,0.1397527,-0.0139938
A. Lehtomäki,Haka,Haka vs VPS,2024-10-19,0.0,0.0
A. Lepola,Haka,HJK vs Haka,2024-10-06,0.0293876,0.0024016
A. Lepola,Haka,Haka vs Gnistan,2024-10-26,0.0,0.0
A. Lepola,Haka,Haka vs Inter Turku,2024-10-23,1.4855742,-0.15173679999999998
A. Lepola,Haka,Haka vs SJK,2024-09-20,0.0673531,0.029181500000000003
A. Lepola,Haka,Haka vs SJK,2024-10-30,0.0846326,-0.0296977
A. Lepola,Haka,Haka vs VPS,2024-10-19,0.0399549,-0.0005759999999999997
A. Lepola,Haka,Ilves vs Haka,2024-09-14,0.054291599999999995,0.0036119000000000004
A. Lepola,Haka,KuPS vs Haka,2024-09-29,0.0115005,0.0003281
A. Lepola,Haka,SJK vs Haka,2024-11-02,0.0167408,0.00034960000000000004
A. Marcucci,Gnistan,EIF vs Gnistan,2024-09-22,0.0762574,-0.002070500000000001
A. Marcucci,Gnistan,Gnistan vs Lahti,2024-10-05,0.030446599999999997,0.006488600000000001
A. Marcucci,Gnistan,Gnistan vs Mariehamn,2024-09-15,0.0925479,0.0402088
A. Marcucci,Gnistan,Gnistan vs Oulu,2024-09-27,0.0674916,-0.0012993000000000002
A. Marcucci,Gnistan,Haka vs Gnistan,2024-10-26,0.0,0.0
A. Marcucci,Gnistan,Inter Turku vs Gnistan,2024-10-19,0.0519342,0.0055778
A. Marcucci,Gnistan,VPS vs Gnistan,2024-10-23,0.0190137,-0.0014652
A. Mäenpää,Ilves,HJK vs Ilves,2024-09-28,0.26041380000000003,-0.03658330000000001
A. Mäenpää,Ilves,Ilves vs Haka,2024-09-14,0.3854,0.18825240000000001
A. Mäenpää,Ilves,Ilves vs KuPS,2024-09-24,0.3770559,0.1543422
A. Mäenpää,Ilves,Ilves vs SJK,2024-10-19,0.3486394,-0.03162440000000001
A. Mäenpää,Ilves,VPS vs Ilves,2024-10-04,0.2706403,-0.013183400000000001
A. Olusanya,Haka,Haka vs Gnistan,2024-10-26,0.0,0.0
A. Olusanya,Haka,Haka vs Inter Turku,2024-10-23,0.11589819999999999,0.018819999999999996
A. Olusanya,Haka,Haka vs SJK,2024-09-20,0.2467405,0.0685868
A. Olusanya,Haka,Haka vs SJK,2024-10-30,0.17301249999999999,0.059014399999999995
A. Olusanya,Haka,Haka vs VPS,2024-10-19,0.09899709999999999,-0.07838700000000001
