playerName,team_name,label,date,318.0
A. Akinyemi,Ilves,Gnistan vs Ilves,2024-09-01,0.0028208
A. Akinyemi,Ilves,HJK vs Ilves,2024-09-28,0.042692459999999995
A. Akinyemi,Ilves,Ilves vs Haka,2024-09-14,0.47112519
A. Akinyemi,Ilves,Ilves vs KuPS,2024-09-24,0.03214119
A. Akinyemi,Ilves,Ilves vs SJK,2024-10-19,0.02355443
A. Akinyemi,Ilves,VPS vs Ilves,2024-10-04,0.02399905
A. Albanese,HJK,EIF vs HJK,2024-08-18,0.85157751
A. Albanese,HJK,HJK vs Haka,2024-07-20,3.97e-05
A. Albanese,HJK,HJK vs Ilves,2024-09-28,0.14247686
A. Albanese,HJK,HJK vs Inter Turku,2024-08-25,0.5566836000000001
A. Albanese,HJK,HJK vs Oulu,2024-07-27,0.00383808
A. Albanese,HJK,Lahti vs HJK,2024-08-03,0.08231358999999999
A. Albanese,HJK,VPS vs HJK,2024-09-01,0.44244023
A. Albanese,HJK,VPS vs HJK,2024-09-20,0.00469116
A. Almén,VPS,HJK vs VPS,2024-05-17,0.0
A. Almén,VPS,Haka vs VPS,2024-10-19,0.25046763
A. Almén,VPS,Ilves vs VPS,2024-07-21,0.00011065
A. Almén,VPS,KuPS vs VPS,2024-09-14,0.00585948
A. Almén,VPS,SJK vs VPS,2024-09-28,0.00065417
A. Almén,VPS,VPS vs Gnistan,2024-04-20,0.0
A. Almén,VPS,VPS vs HJK,2024-09-01,0.0011476400000000001
A. Almén,VPS,VPS vs Haka,2024-08-18,0.0
A. Almén,VPS,VPS vs Ilves,2024-06-07,2.285e-05
A. Almén,VPS,VPS vs Ilves,2024-10-04,0.28267663
A. Almén,VPS,VPS vs KuPS,2024-05-22,0.0045077699999999995
A. Almén,VPS,VPS vs Lahti,2024-05-03,0.05374545
A. Almén,VPS,VPS vs Oulu,2024-06-19,0.00195223
A. Babiker,Lahti,EIF vs Lahti,2024-05-19,0.09318968999999999
A. Babiker,Lahti,Gnistan vs Lahti,2024-06-02,0.00014172
A. Babiker,Lahti,Gnistan vs Lahti,2024-10-05,0.01803438
A. Babiker,Lahti,HJK vs Lahti,2024-04-11,6.675000000000001e-05
A. Babiker,Lahti,Ilves vs Lahti,2024-04-06,0.00074839
A. Babiker,Lahti,Inter Turku vs Lahti,2024-07-08,0.00138634
A. Babiker,Lahti,Lahti vs EIF,2024-10-19,0.0
A. Babiker,Lahti,Lahti vs Gnistan,2024-06-19,2.03e-05
A. Babiker,Lahti,Lahti vs HJK,2024-08-03,0.10112617
A. Babiker,Lahti,Lahti vs Inter Turku,2024-06-07,0.00027999000000000003
A. Babiker,Lahti,Lahti vs KuPS,2024-04-27,0.00015198
A. Babiker,Lahti,Lahti vs Mariehamn,2024-05-12,0.00411181
A. Babiker,Lahti,Lahti vs SJK,2024-05-27,0.01556428
A. Babiker,Lahti,Mariehamn vs Lahti,2024-08-18,0.0
A. Babiker,Lahti,Oulu vs Lahti,2024-06-12,8.840000000000001e-05
A. Babiker,Lahti,SJK vs Lahti,2024-07-27,2.603e-05
A. Babiker,Lahti,VPS vs Lahti,2024-05-03,0.07647627
A. Björklund,EIF,EIF vs Oulu,2024-04-21,0.0
A. Björklund,EIF,Gnistan vs EIF,2024-06-30,0.00021354
A. Björklund,EIF,HJK vs EIF,2024-05-04,0.00172199
A. Björklund,EIF,KuPS vs EIF,2024-05-26,0.01474656
A. Björklund,EIF,VPS vs EIF,2024-07-06,0.00341435
A. Cicale,VPS,Gnistan vs VPS,2024-08-04,0.35285308000000004
A. Cicale,VPS,Haka vs VPS,2024-04-06,0.30380176999999997
A. Cicale,VPS,Ilves vs VPS,2024-07-21,0.14541105
A. Cicale,VPS,KuPS vs VPS,2024-05-10,6.82e-06
A. Cicale,VPS,KuPS vs VPS,2024-09-14,0.04592746
A. Cicale,VPS,Lahti vs VPS,2024-08-25,0.02068471
A. Cicale,VPS,Oulu vs VPS,2024-04-27,1.21500713
A. Cicale,VPS,SJK vs VPS,2024-08-12,0.06750787999999999
A. Cicale,VPS,SJK vs VPS,2024-09-28,0.05585437
A. Cicale,VPS,VPS vs EIF,2024-07-06,0.12308203
A. Cicale,VPS,VPS vs Gnistan,2024-04-20,0.24177474999999998
A. Cicale,VPS,VPS vs Gnistan,2024-10-23,0.037822959999999996
A. Cicale,VPS,VPS vs HJK,2024-09-01,0.22065686999999998
A. Cicale,VPS,VPS vs HJK,2024-09-20,0.07816171
A. Cicale,VPS,VPS vs Haka,2024-08-18,0.0133106
A. Cicale,VPS,VPS vs Ilves,2024-10-04,0.12348219999999999
A. Cicale,VPS,VPS vs Lahti,2024-05-03,0.17837593000000002
A. Cicale,VPS,VPS vs Mariehamn,2024-07-28,0.13021132
A. Cicale,VPS,VPS vs SJK,2024-04-12,0.34686975999999997
A. Coffey,Oulu,EIF vs Oulu,2024-04-21,0.07945476
A. Coffey,Oulu,EIF vs Oulu,2024-10-05,0.02869505
A. Coffey,Oulu,Gnistan vs Oulu,2024-09-27,0.01087115
A. Coffey,Oulu,HJK vs Oulu,2024-07-27,0.0029715500000000003
A. Coffey,Oulu,Haka vs Oulu,2024-05-24,0.04434862
A. Coffey,Oulu,Ilves vs Oulu,2024-05-04,0.013926739999999998
A. Coffey,Oulu,Inter Turku vs Oulu,2024-04-12,0.17891917999999998
A. Coffey,Oulu,KuPS vs Oulu,2024-06-08,0.036183669999999994
A. Coffey,Oulu,Lahti vs Oulu,2024-07-14,0.0008604
A. Coffey,Oulu,Mariehamn vs Oulu,2024-09-01,0.05721734
A. Coffey,Oulu,Oulu vs EIF,2024-07-20,0.0094802
A. Coffey,Oulu,Oulu vs Gnistan,2024-05-11,0.029966930000000003
A. Coffey,Oulu,Oulu vs HJK,2024-05-31,0.00537165
A. Coffey,Oulu,Oulu vs Haka,2024-08-24,0.02205684
