playerName,playerId,contestantId,team_name,9,321,322,label,match_id,date
Guilherme Morais,cwkiz30zfogxxviwmfplviv3d,5qxgilg61hlwxzfpdn2nhcayd,Haka,NaN,0.0571485199034214,0.0,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
A. Akinyemi,dprt62xpys5habrdk1kg6sbu1,2rdnn9p03qrmmv34tyx1nahpa,Ilves,NaN,0.053438689559698105,0.0,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
A. Akinyemi,dprt62xpys5habrdk1kg6sbu1,2rdnn9p03qrmmv34tyx1nahpa,Ilves,NaN,0.262218177318573,0.0,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
Guilherme Morais,cwkiz30zfogxxviwmfplviv3d,5qxgilg61hlwxzfpdn2nhcayd,Haka,NaN,0.04344252496957779,0.6008415818214417,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
Guilherme Morais,cwkiz30zfogxxviwmfplviv3d,5qxgilg61hlwxzfpdn2nhcayd,Haka,NaN,0.011980713345110416,0.0,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
M. Söderbäck,7hr8mxix88otsvgitsv184g0k,2rdnn9p03qrmmv34tyx1nahpa,Ilves,NaN,0.5535664558410645,0.0,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
A. Popovitch,74od0bd25ox7cv2sfmebf72s5,2rdnn9p03qrmmv34tyx1nahpa,Ilves,NaN,0.1330394446849823,0.0,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
M. Söderbäck,7hr8mxix88otsvgitsv184g0k,2rdnn9p03qrmmv34tyx1nahpa,Ilves,NaN,0.05219600722193718,0.0,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
A. Olusanya,4sncb83ujgfmrcbi87ue333s9,5qxgilg61hlwxzfpdn2nhcayd,Haka,true,0.7884,0.7905530333518982,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
E. Patoulidis,8g5ms6uacdkgfcbxt4crlr4ve,5qxgilg61hlwxzfpdn2nhcayd,Haka,NaN,0.029308851808309555,0.019410479813814163,Ilves vs Haka,1809e7pksgabwhizqtq1o795g,2024-09-14
