player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,totalLongBalls,goals,label,match_id,date,possLostAll,country,league_name,season
E. Huuhtanen,7oxxp38dxp40lby1kwg4xpn56,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,NaN,NaN,Goalkeeper,Centre,NaN,27,NaN,NaN,NaN,29,5,NaN,3,32,31,90,20,3,15,7,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,10,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,6,FIN,Veikkausliiga,2025
J. Niska,arxu3yjspsjmmobkj92c79ze2,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,7,5,Defender,Left,NaN,33,3,6,4,20,5,3,15,37,22,90,9,4,6,18,8,10,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,3,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,9,FIN,Veikkausliiga,2025
B. Straalman,98u2encce9933qd4y2kukej85,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,4,3,Defender,Left/Centre,NaN,55,NaN,3,NaN,42,3,NaN,13,62,44,90,29,3,5,18,2,4,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,2,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,7,FIN,Veikkausliiga,2025
I. Kangasniemi,d3ctxii8mgrmzgn3qrlp8arkk,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,7,6,Defender,Centre/Right,NaN,43,NaN,4,1,32,2,NaN,12,49,34,82,18,5,4,16,4,7,NaN,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,433,7,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,6,FIN,Veikkausliiga,2025
A. Granlund,a9234jafv17dcvbu54expih91,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,1,1,Defender,Right,NaN,24,NaN,1,1,13,1,NaN,12,28,15,70,11,1,3,15,3,5,NaN,NaN,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,5,FIN,Veikkausliiga,2025
B. Ampofo,c90jak72lerrxc3kpo73cupsk,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,5,NaN,Midfielder,Left/Centre,NaN,54,6,5,NaN,23,2,2,32,58,23,90,12,8,6,36,21,24,3,NaN,3,3,2,NaN,2,1,2,1,1,1,NaN,1,1,3,3,NaN,NaN,433,3,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,10,FIN,Veikkausliiga,2025
F. Krebs,d39zrjj1sao1lkkzief35sctl,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,4,1,Midfielder,Centre,NaN,48,NaN,2,8,26,1,NaN,35,58,28,90,22,7,2,47,22,29,NaN,2,3,1,1,1,1,2,3,1,NaN,NaN,1,NaN,NaN,2,2,NaN,NaN,433,7,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,16,FIN,Veikkausliiga,2025
I. Järvinen,bav07h3g8ygnek9u9jhedplh,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,3,1,Midfielder,Centre/Right,NaN,26,1,3,2,9,2,1,17,33,12,70,7,2,4,21,11,15,1,NaN,1,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,433,NaN,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,9,FIN,Veikkausliiga,2025
D. Legbo,524qf48twiwfk14oxmwsxj2tw,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,1,NaN,Striker,Left/Centre,NaN,17,4,7,5,3,NaN,3,14,22,3,85,8,3,NaN,20,9,12,1,NaN,1,NaN,1,1,1,NaN,5,1,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,433,1,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,10,FIN,Veikkausliiga,2025
J. Botué,5fvzbq3mstt7eatkjpodbvpm2,Inter Turku,8eab5wbcnttsiosd1o8c71gmk,10,2,Striker,Centre,NaN,15,6,3,2,5,NaN,1,10,20,5,90,6,1,1,16,8,11,1,1,1,1,NaN,1,NaN,4,12,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,NaN,Inter Turku vs KuPS,6757oy1b1290kunitdyo2kus,2025-10-05,16,FIN,Veikkausliiga,2025
