id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,knownName
1lbgavu1rxlrfg14062suwyj9,Riad,Nouri,Riad,Nouri,Male,R. Nouri,France,7gww28djs405rfga69smki84o,Algeria,1ayprcriqhb8iv10ch70clppu,Midfielder,player,1985-06-07,Marseille,France,7gww28djs405rfga69smki84o,178.0,73.0,right,7.0,2020-09-07Z,2024-06-30Z,active,no,NaN
1uj41i55v9fd3j9eaw5b5a7mc,Anthony,Khelifa,Anthony,Khelifa,Male,A. Khelifa,Algeria,1ayprcriqhb8iv10ch70clppu,France,7gww28djs405rfga69smki84o,Defender,player,2005-09-20,Marseille,France,7gww28djs405rfga69smki84o,193.0,77.0,right,35.0,2022-12-27Z,2025-06-30Z,active,no,NaN
2fa3vmp34mwrthdiehnaxnnqh,Mounaïm,El Idrissy,Mounaïm,El Idrissy,Male,M. El Idrissy,France,7gww28djs405rfga69smki84o,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,player,1999-02-10,NaN,France,7gww28djs405rfga69smki84o,181.0,72.0,right,NaN,2018-10-01Z,2023-09-06Z,active,no,NaN
2fxi6ojn7f16g6c8o53l8q73e,Tim,Jabol-Folcarelli,Tim,Jabol-Folcarelli,Male,T. Jabol-Folcarelli,France,7gww28djs405rfga69smki84o,Martinique,1eb70pvuqssbbg3yamdba5ie5,Midfielder,player,1999-12-06,Vitry-sur-Seine,France,7gww28djs405rfga69smki84o,187.0,78.0,right,26.0,2023-07-01Z,2025-02-11Z,active,no,NaN
2hujd2bwvb0wtxdna6c0xb2z9,Mickaël David,Alphonse,Mickaël,Alphonse,Male,M. Alphonse,Guadeloupe,4u7nk4lz0pms78k7jjbjwvgce,France,7gww28djs405rfga69smki84o,Defender,player,1989-07-12,Louhans-Cuiseaux,France,7gww28djs405rfga69smki84o,182.0,75.0,right,NaN,2022-07-01Z,2023-09-02Z,active,no,NaN
2txkzuaeejz7zqb2bs6rbh444,Ben Hamed,Touré,Ben,Touré,Male,B. Touré,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Attacker,player,2003-08-21,Lopou,Côte d'Ivoire,tin6kf561ywonqan0mettr98,185.0,79.0,right,11.0,2023-05-06Z,2025-08-18Z,active,no,NaN
40lk020a1p1cvmj86ids7k05x,Maxime Paul Jackie,Chanot,Maxime,Chanot,Male,M. Chanot,Luxembourg,f2r46apchse9eg3n9c9pupfs,France,7gww28djs405rfga69smki84o,Defender,player,1989-11-21,Nancy,France,7gww28djs405rfga69smki84o,185.0,78.0,right,2.0,2023-08-29Z,2024-03-27Z,retired,no,NaN
4ported2opjp4xbp87bpqb6z8,Moussa,Soumano,Moussa,Soumano,Male,M. Soumano,France,7gww28djs405rfga69smki84o,Mali,d0v29nncgikdswlxpdq553zz,Attacker,player,2005-07-09,Saint-Denis,France,7gww28djs405rfga69smki84o,185.0,73.0,right,22.0,2023-01-07Z,2025-07-07Z,active,no,NaN
4r6mx2l3ks1w0psdr88f8gc9g,Salomon,Abergel,Salomon,Abergel,Male,S. Abergel,France,7gww28djs405rfga69smki84o,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,Defender,player,2004-07-04,NaN,France,7gww28djs405rfga69smki84o,170.0,NaN,right,39.0,2023-08-25Z,2024-06-30Z,active,no,NaN
529k1s89fjg133s8ycjwvgg5x,Mickaël Jose,Barreto,Mickaël,Barreto,Male,M. Barreto,France,7gww28djs405rfga69smki84o,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,1991-01-18,Paris,France,7gww28djs405rfga69smki84o,175.0,67.0,right,4.0,2020-07-01Z,2025-06-30Z,active,no,NaN
52tki99mrkktrl4w09tophpuc,Ryan,Contena,Ryan,Contena,Male,R. Contena,France,7gww28djs405rfga69smki84o,NaN,NaN,Attacker,player,2004-06-03,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,NaN,2023-11-15Z,2024-06-30Z,active,no,NaN
5c2zuz7f53hvqn5be1k2nddsk,Kan Guy Arsène,Kouassi,Arsène,Kouassi,Male,A. Kouassi,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2004-09-11,Cocody,Côte d'Ivoire,tin6kf561ywonqan0mettr98,188.0,NaN,left,43.0,2023-11-15Z,2025-07-24Z,active,no,NaN
5fvzbq3mstt7eatkjpodbvpm2,Jean Fiacre,Kouamé Botué,Jean,Botué,Male,J. Botué,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,2002-08-07,Abidjan,Côte d'Ivoire,tin6kf561ywonqan0mettr98,184.0,70.0,NaN,NaN,2021-04-02Z,2024-02-10Z,active,no,NaN
5xh6xm6vaqxy8ijni3g8gcetw,Ricardo,Coutinho da Silva,Ricardo,Coutinho da Silva,Male,R. Coutinho da Silva,France,7gww28djs405rfga69smki84o,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,2006-02-28,NaN,France,7gww28djs405rfga69smki84o,178.0,63.0,NaN,34.0,2024-01-12Z,2025-06-30Z,active,no,Ricardo Coutinho
67q7ve9vse4m2nb82j2z1clhx,Cédric Mickael,Avinel,Cédric,Avinel,Male,C. Avinel,Guadeloupe,4u7nk4lz0pms78k7jjbjwvgce,France,7gww28djs405rfga69smki84o,Defender,player,1986-09-11,Paris,France,7gww28djs405rfga69smki84o,187.0,85.0,right,21.0,2017-06-09Z,2024-06-30Z,active,no,NaN
6ek7sie12foswm465llow53hl,Thibault,Campanini,Thibault,Campanini,Male,T. Campanini,France,7gww28djs405rfga69smki84o,NaN,NaN,Defender,player,1998-07-27,Marseille,France,7gww28djs405rfga69smki84o,179.0,79.0,right,27.0,2023-07-05Z,NaN,active,yes,NaN
70ukveu4kwheeizg6x694krmx,Oumar,Gonzalez,Oumar,Gonzalez,Male,O. Gonzalez,Cameroon,4eb9feio6u267dd1jcwaf38mt,France,7gww28djs405rfga69smki84o,Defender,player,1998-02-25,Douala,Cameroon,4eb9feio6u267dd1jcwaf38mt,186.0,84.0,right,NaN,2021-07-01Z,2023-08-17Z,active,no,NaN
7gobwqldq505kgnat24xyor11,Yacine,Bammou,Yacine,Bammou,Male,Y. Bammou,Morocco,2xdcc39z1k79pnjbtn9x31wdh,France,7gww28djs405rfga69smki84o,Attacker,player,1991-09-11,Paris,France,7gww28djs405rfga69smki84o,189.0,78.0,right,NaN,2023-07-04Z,2023-12-31Z,active,no,NaN
7k7ov98sovbpoxhq2cv8yoic5,Christopher,Ibayi,Christopher,Ibayi,Male,C. Ibayi,Congo,1s2y6o0lwj69dj5ib5pid8f6r,France,7gww28djs405rfga69smki84o,Attacker,player,1995-07-18,Porto-Vecchio,France,7gww28djs405rfga69smki84o,187.0,85.0,right,18.0,2024-01-19Z,2025-01-25Z,active,no,NaN
7wcsnaj8tmpfvs0r5tmyx0v10,Everson Junior,Pereira da Silva,Everson Junior,Pereira da Silva,Male,Everson,France,7gww28djs405rfga69smki84o,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,2003-11-07,Nice,France,7gww28djs405rfga69smki84o,178.0,70.0,right,17.0,2023-08-08Z,2025-08-15Z,active,no,Everson
84ikqi9s3lng1mo4lxwq210wl,Thomas Mathieu Romain,Mangani,Thomas,Mangani,Male,T. Mangani,France,7gww28djs405rfga69smki84o,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,1987-04-29,Carpentras,France,7gww28djs405rfga69smki84o,183.0,79.0,left,6.0,2022-07-01Z,2025-06-30Z,retired,no,NaN
8mcqblu8bhvag11hcb05burkk,Everson Junior,Pereira da Silva,NaN,NaN,Male,E. Junior,France,7gww28djs405rfga69smki84o,NaN,NaN,Attacker,player,2003-10-07,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,NaN,2023-07-01Z,2025-06-30Z,active,no,NaN
8wz2w0267i1845k87hxsgandh,François-Joseph,Sollacaro,François-Joseph,Sollacaro,Male,F. Sollacaro,France,7gww28djs405rfga69smki84o,NaN,NaN,Goalkeeper,player,1994-03-21,Ajaccio,France,7gww28djs405rfga69smki84o,182.0,76.0,right,16.0,2014-05-01Z,NaN,active,yes,NaN
8xjbikjp0eac2i3xspmen5dxx,Mathieu,Michel,Mathieu,Michel,Male,M. Michel,France,7gww28djs405rfga69smki84o,NaN,NaN,Goalkeeper,player,1991-09-04,Nîmes,France,7gww28djs405rfga69smki84o,189.0,85.0,right,1.0,2023-07-01Z,2024-10-14Z,active,no,NaN
98b93vy4tqb14i1muxnucy5uc,Mamadu,Silla,Mamadu,Silla,Male,Mamadu Silla,Portugal,1nbm5i9a0403zzvltn17lxinc,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Attacker,player,2006-11-30,Sonaco,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,175.0,NaN,right,45.0,2023-01-07Z,2024-06-30Z,active,no,Mamadu Silla
9bkmr1gybyw8iuliqkxew3e5m,Ghjuvanni,Quilichini,Ghjuvanni,Quilichini,Male,G. Quilichini,France,7gww28djs405rfga69smki84o,NaN,NaN,Goalkeeper,player,2002-09-01,Ajaccio,France,7gww28djs405rfga69smki84o,182.0,70.0,right,30.0,2021-07-01Z,2024-03-11Z,active,no,NaN
9br3ebcuzl5b755kwuxgey3md,Hamza,Sakhi,Hamza,Sakhi,Male,H. Sakhi,Morocco,2xdcc39z1k79pnjbtn9x31wdh,France,7gww28djs405rfga69smki84o,Midfielder,player,1996-06-07,Rabat,Morocco,2xdcc39z1k79pnjbtn9x31wdh,176.0,69.0,right,29.0,2024-01-25Z,2024-07-27Z,active,no,NaN
9higgl848a37qflh0sts05tjp,Cyrille,Barros Bayala,Cyrille,Bayala,Male,C. Bayala,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,NaN,NaN,Attacker,player,1996-05-24,Ouagadougou,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,181.0,68.0,right,14.0,2021-01-15Z,2024-06-30Z,active,no,NaN
9k1i5yvn7trxkzqcqiy4who7p,Julien,Benhaim Casanova,Julien,Benhaim,Male,J. Benhaim,France,7gww28djs405rfga69smki84o,NaN,NaN,Midfielder,player,1996-10-25,Bastia,France,7gww28djs405rfga69smki84o,188.0,73.0,left,25.0,2023-08-03Z,2024-06-30Z,active,no,NaN
9leqizk7l7dissuavtdm1uvx0,Owen,Martinez-Jullien,Owen,Martinez-Jullien,Male,O. Martinez-Jullien,France,7gww28djs405rfga69smki84o,NaN,NaN,Midfielder,player,2005-04-13,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,36.0,2024-03-30Z,2025-06-30Z,active,no,NaN
