playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Abdallah,Rodez,Dunkerque vs Rodez,0.3480118,-0.1079058
A. Abdallah,Rodez,Rodez vs Guingamp,0.4199035,0.2437916
A. Abdallah,Rodez,Rodez vs Metz,0.3161235,0.0934007
A. Abdi,Caen,Caen vs Paris FC,0.3946961,0.047841400000000006
A. Abdi,Caen,Pau vs Caen,0.8621057,-0.17168620000000004
A. Ackra,Clermont,Clermont vs Paris FC,0.0879702,-0.041095200000000005
A. Ackra,Clermont,Clermont vs Pau,0.1131766,0.0176831
A. Ackra,Clermont,Troyes vs Clermont,0.2600794,0.03206150000000001
A. Ahoussou,Pau,Clermont vs Pau,0.0834147,0.0495704
A. Ahoussou,Pau,Grenoble Foot 38 vs Pau,0.1785224,0.1134853
A. Ahoussou,Pau,Pau vs Caen,0.0385451,0.0135818
A. Ahoussou,Pau,Pau vs Martigues,0.1858083,0.1007238
A. Amraoui,Martigues,Annecy vs Martigues,0.3592808,0.06212480000000001
A. Amraoui,Martigues,Martigues vs Bastia,0.3914617,0.010040699999999996
A. Amraoui,Martigues,Martigues vs Lorient,0.3692976,0.1800008
A. Amraoui,Martigues,Pau vs Martigues,0.5137905,0.1902232
A. Anani,Red Star,Amiens SC vs Red Star,0.0735275,-0.020044600000000003
A. Atta,Metz,Metz vs Bastia,0.1284281,0.043606
A. Atta,Metz,Rodez vs Metz,0.055145,0.0205584
A. Avom,Lorient,Amiens SC vs Lorient,0.1995883,0.020277300000000005
A. Avom,Lorient,Lorient vs Grenoble Foot 38,0.2281452,-0.010463799999999997
A. Avom,Lorient,Martigues vs Lorient,0.3879002,0.1264021
A. Badji,Red Star,Amiens SC vs Red Star,0.2515488,-0.05600839999999999
A. Badji,Red Star,Guingamp vs Red Star,0.3367444,0.0754707
A. Badji,Red Star,Lorient vs Red Star,0.0,0.0
A. Badji,Red Star,Red Star vs Ajaccio,0.0502089,0.014908600000000001
A. Bamba,Ajaccio,Ajaccio vs Troyes,0.053080999999999996,0.0143046
A. Bamba,Ajaccio,Laval vs Ajaccio,0.0969742,0.0494299
A. Bamba,Ajaccio,Red Star vs Ajaccio,0.20269589999999998,0.0233203
A. Bermont,Annecy,Annecy vs Amiens SC,0.1068148,0.020165299999999997
A. Bermont,Annecy,Annecy vs Martigues,0.29803969999999996,0.18221299999999999
A. Bermont,Annecy,Caen vs Annecy,0.2604666,0.11828699999999999
A. Bobichon,Pau,Clermont vs Pau,0.7516879,0.29460990000000004
