team_name,contestantId,match_id,periodId,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state,clock_sec,set_piece_index,set_piece_type,set_piece_team,event_time
Dunkerque,15ip1h6m0b4e8xfi597y5uo5u,6tzzjuh4apxy6ukdv20gqj7dg,1,2833207693,27,13,2,39,1,91.9,49.1,Diogo Queirós,12.0,6.0,NaN,NaN,Dunkerque vs Clermont,2025-08-09,NaN,NaN,NaN,0.09991274029016495,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,NaN,NaN,true,NaN,,NaN,NaN,NaN,NaN,6.0,0.09991274029016495,,,draw,159,2,corner,,159
Clermont,17o35s8assv3kamxowzz77k4r,6tzzjuh4apxy6ukdv20gqj7dg,2,2833273593,447,13,53,36,1,47.7,85.9,K. Bamba,168.0,94.0,NaN,NaN,Dunkerque vs Clermont,2025-08-09,NaN,NaN,NaN,0.04138980805873871,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,NaN,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.04138980805873871,,,Clermont,3216,1,freekick_shot,17o35s8assv3kamxowzz77k4r,3216
Dunkerque,15ip1h6m0b4e8xfi597y5uo5u,6tzzjuh4apxy6ukdv20gqj7dg,2,2833279065,566,13,58,34,1,90.1,47.0,Diogo Queirós,183.0,103.0,NaN,NaN,Dunkerque vs Clermont,2025-08-09,NaN,NaN,NaN,0.041806261986494064,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,NaN,NaN,true,NaN,,NaN,NaN,NaN,NaN,4.0,0.041806261986494064,,,Clermont,3514,4,corner,,3514
Dunkerque,15ip1h6m0b4e8xfi597y5uo5u,6tzzjuh4apxy6ukdv20gqj7dg,2,2833282649,594,15,61,46,1,87.4,53.0,Diogo Queirós,191.0,105.0,NaN,NaN,Dunkerque vs Clermont,2025-08-09,NaN,NaN,NaN,0.036729875952005386,0.08646760880947113,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,NaN,true,NaN,NaN,,NaN,NaN,NaN,NaN,4.0,0.036729875952005386,,,Clermont,3706,5,freekick,,3706
Clermont,17o35s8assv3kamxowzz77k4r,6tzzjuh4apxy6ukdv20gqj7dg,2,2833288805,540,15,67,36,1,75.6,35.2,H. Keïta,206.0,114.0,NaN,NaN,Dunkerque vs Clermont,2025-08-09,NaN,NaN,NaN,0.051988355815410614,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,NaN,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.051988355815410614,,,draw,4056,1,freekick_shot,17o35s8assv3kamxowzz77k4r,4056
Clermont,17o35s8assv3kamxowzz77k4r,6tzzjuh4apxy6ukdv20gqj7dg,2,2833296619,589,13,76,21,1,66.9,69.9,F. Diédhiou,227.0,126.0,NaN,NaN,Dunkerque vs Clermont,2025-08-09,NaN,NaN,NaN,0.011411208659410477,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,true,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4.0,0.011411208659410477,,,draw,4581,2,throw_in,,4581
Dunkerque,15ip1h6m0b4e8xfi597y5uo5u,6tzzjuh4apxy6ukdv20gqj7dg,2,2833299927,709,13,79,46,1,89.9,43.9,K. Tejan,240.0,133.0,NaN,NaN,Dunkerque vs Clermont,2025-08-09,NaN,NaN,NaN,0.02420065551996231,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,NaN,NaN,true,NaN,,NaN,NaN,NaN,NaN,3.0,0.02420065551996231,,,draw,4786,4,corner,,4786
Guingamp,e9mmk1w7cem6r4wysgassacef,6rlyt989yctv1sjsrxkrgdxck,1,2832885867,165,13,21,16,1,93.0,55.0,K. Sidibé,51.0,26.0,NaN,NaN,Guingamp vs Le Mans,2025-08-09,NaN,NaN,NaN,0.0915788933634758,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,2.0,0.0915788933634758,,,Le Mans,1276,4,corner,,1276
Le Mans,bj8hrmj01r3zit0x8r6qm2eu2,6rlyt989yctv1sjsrxkrgdxck,1,2832888871,207,13,27,6,1,89.5,49.9,S. Yohou,65.0,35.0,NaN,NaN,Guingamp vs Le Mans,2025-08-09,NaN,NaN,NaN,0.03226412087678909,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,4.0,0.03226412087678909,,,Le Mans,1626,4,corner,,1626
Guingamp,e9mmk1w7cem6r4wysgassacef,6rlyt989yctv1sjsrxkrgdxck,1,2832899121,361,15,43,9,1,92.1,54.8,K. Sidibé,110.0,62.0,NaN,NaN,Guingamp vs Le Mans,2025-08-09,NaN,NaN,NaN,0.07040737569332123,0.25234323740005493,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,2.0,0.07040737569332123,,,Le Mans,2589,5,corner,,2589
