playerName,team_name,label,date,318.0
A. Abdallah,Guingamp,Bastia vs Guingamp,2025-08-30,0.00816339
A. Abdallah,Guingamp,Guingamp vs Le Mans,2025-08-09,0.01010249
A. Abdallah,Guingamp,Guingamp vs Red Star,2025-08-23,0.00875881
A. Abdallah,Guingamp,Reims vs Guingamp,2025-08-16,0.24015479
A. Aiki,Bastia,Bastia vs Guingamp,2025-08-30,0.00407226
A. Aiki,Bastia,Le Mans vs Bastia,2025-08-22,0.0
A. Appiah,Amiens SC,Amiens SC vs Annecy,2025-08-22,0.01015476
A. Appiah,Amiens SC,Amiens SC vs Reims,2025-08-11,0.004008
A. Appiah,Amiens SC,Montpellier vs Amiens SC,2025-08-29,0.00535232
A. Appiah,Amiens SC,Red Star vs Amiens SC,2025-08-15,0.04161009
A. Boakye,Saint-Étienne,Boulogne vs Saint-Étienne,2025-08-23,0.06527472000000001
A. Boakye,Saint-Étienne,Laval vs Saint-Étienne,2025-08-09,0.20761105
A. Boakye,Saint-Étienne,Saint-Étienne vs Grenoble,2025-08-30,0.01678221
A. Boakye,Saint-Étienne,Saint-Étienne vs Rodez,2025-08-16,0.13259379999999998
A. Bobichon,Pau,Bastia vs Pau,2025-08-15,0.01241322
A. Bobichon,Pau,Nancy vs Pau,2025-08-29,0.05285384
A. Bobichon,Pau,Pau vs Annecy,2025-08-09,0.01083522
A. Bobichon,Pau,Pau vs Reims,2025-08-25,0.32661133000000003
A. Bojang,Reims,Amiens SC vs Reims,2025-08-11,0.30876765
A. Bojang,Reims,Pau vs Reims,2025-08-25,0.00236678
A. Bojang,Reims,Reims vs Guingamp,2025-08-16,0.21310758999999999
A. Bojang,Reims,Reims vs Le Mans,2025-08-30,0.14033934999999997
A. Boutrah,Bastia,Bastia vs Guingamp,2025-08-30,0.04766841
A. Boutrah,Bastia,Bastia vs Pau,2025-08-15,0.18896554
A. Boutrah,Bastia,Le Mans vs Bastia,2025-08-22,0.015022349999999999
A. Briançon,Pau,Bastia vs Pau,2025-08-15,0.01284341
A. Briançon,Pau,Nancy vs Pau,2025-08-29,0.009065130000000001
A. Briançon,Pau,Pau vs Annecy,2025-08-09,0.00694637
A. Briançon,Pau,Pau vs Reims,2025-08-25,0.00495288
A. Chabane,Amiens SC,Amiens SC vs Annecy,2025-08-22,0.01971788
A. Chabane,Amiens SC,Amiens SC vs Reims,2025-08-11,0.00274777
A. Chabane,Amiens SC,Montpellier vs Amiens SC,2025-08-29,0.23451192
A. Chabane,Amiens SC,Red Star vs Amiens SC,2025-08-15,0.02046609
A. Chibozo,Amiens SC,Amiens SC vs Reims,2025-08-11,0.0
A. Dabasse,Nancy,Rodez vs Nancy,2025-08-09,1.531e-05
A. Daho,Dunkerque,Annecy vs Dunkerque,2025-08-16,0.00132091
A. Daho,Dunkerque,Dunkerque vs Nancy,2025-08-22,0.0077693499999999995
A. Daho,Dunkerque,Dunkerque vs Troyes,2025-08-29,0.0
A. Demouchy,Guingamp,Bastia vs Guingamp,2025-08-30,0.00482243
A. Demouchy,Guingamp,Guingamp vs Le Mans,2025-08-09,0.012423710000000001
