id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,startDate,endDate,status,active,position,shirtNumber,secondNationality,secondNationalityId,height,weight,foot,knownName,dateOfDeath
11203u9usp5y7fpbqmvhno0r9,Sergej,Jakirović,Sergej,Jakirovic,Male,S. Jakirović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,coach,1976-12-23,Mostar,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2023-08-21Z,2024-09-19Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12qlz44l7n0ma03abxxjxltlg,Branko,Pavić,Branko,Pavic,Male,B. Pavić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-11-07,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-05-17Z,2025-08-21Z,active,no,Midfielder,66.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1j99x774oc7dpglwcyy6l1fc9,Arbër,Hoxha,Arbër,Hoxha,Male,A. Hoxha,Albania,17zsm8shejejls2on1ffil3op,player,1998-10-06,Pejë,Germany,36min0qztu8eydwvpv8t1is0m,2024-01-09Z,NaN,active,yes,Attacker,20.0,Kosovo,86u6edbqifdjsn49mbp2anw7p,185.0,77.0,right,NaN,NaN
1wse4b1hxu37e7t5ty5ykn7c9,Josip,Šutalo,Josip,Sutalo,Male,J. Šutalo,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2000-02-28,Čapljina,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2021-07-01Z,2023-08-20Z,active,no,Defender,37.0,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,185.0,82.0,right,NaN,NaN
2e50rmuo2tdgksugzudbjankl,Dominik,Livaković,Dominik,Livakovic,Male,D. Livaković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1995-01-09,Zadar,Croatia,37hlakrwxyuzovaeoo4sezusp,2016-07-01Z,2023-08-25Z,active,no,Goalkeeper,40.0,NaN,NaN,188.0,79.0,right,NaN,NaN
2ennswybg2gmzcmvy61q4s5ck,Antonio,Rajić,Antonio,Rajic,Male,A. Rajić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2007-03-04,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-08-30Z,2023-12-31Z,active,no,Goalkeeper,NaN,NaN,NaN,196.0,NaN,left,NaN,NaN
2wbvg562g7b0n0qs0olc1mk89,Dario,Špikić,Dario,Spikic,Male,D. Špikić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1999-03-22,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2021-07-01Z,2025-01-31Z,active,no,Attacker,77.0,NaN,NaN,183.0,79.0,NaN,NaN,NaN
2yuntws503qs5o9er31diwmp5,Sandro,Kulenović,Sandro,Kulenovic,Male,S. Kulenović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1999-12-04,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-09-04Z,NaN,active,yes,Attacker,17.0,NaN,NaN,188.0,76.0,right,NaN,NaN
2zbhh5sasfhsez0bfa1suk8ic,Lukas,Kačavenda,Lukas,Kacavenda,Male,L. Kačavenda,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-03-02,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-02-01Z,2024-06-19Z,active,no,Midfielder,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32d9uqfhzw9k6np9qswdmsy6s,Toni,Majić,Toni,Majic,Male,T. Majić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-05-03,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-03-31Z,2024-06-25Z,active,no,Attacker,41.0,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,right,NaN,NaN
37clayp8chnysq4ebf7ir09ud,Petar,Bočkaj,Petar,Bockaj,Male,P. Bočkaj,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1996-07-23,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2021-12-24Z,2023-07-27Z,active,no,Defender,12.0,NaN,NaN,179.0,NaN,left,NaN,NaN
3wor84rvp0w4iehykluyj8b9w,Anes,Krdžalić,Anes,Krdzalic,Male,A. Krdžalić,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,player,2004-08-28,Doboj,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2024-01-10Z,2024-01-11Z,active,no,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4212luiyivgvje1vm1ojieicq,Gabriel,Vidović,Gabriel,Vidovic,Male,G. Vidović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-12-01,Augsburg,Germany,36min0qztu8eydwvpv8t1is0m,2023-08-30Z,2024-06-30Z,active,no,Midfielder,72.0,Germany,36min0qztu8eydwvpv8t1is0m,180.0,75.0,right,NaN,NaN
43f74sam1smyx05y7ydg4xec,Tin,Miljak,Tin,Miljak,Male,T. Miljak,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-09-17,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-05-17Z,2025-01-09Z,active,no,Attacker,70.0,NaN,NaN,190.0,NaN,left,NaN,NaN
4c6iau4xq4a06d086sox5jd62,Daniel,Štefulj,Daniel,Stefulj,Male,D. Štefulj,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1999-11-08,Langenhagen,Germany,36min0qztu8eydwvpv8t1is0m,2023-07-01Z,2023-08-01Z,active,no,Defender,NaN,Germany,36min0qztu8eydwvpv8t1is0m,186.0,NaN,left,NaN,NaN
4holfazbimbtysqxmhzxtdpbe,Bartol,Barišić,Bartol,Barisic,Male,B. Barišić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-01-01,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-07-01Z,2023-09-06Z,active,no,Attacker,66.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4jnxys8qlg4busx87d2ssgnbo,Leon,Jakirović,Leon,Jakirovic,Male,L. Jakirović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2008-01-16,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-05-17Z,NaN,active,yes,Defender,86.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52tu1l6c1b7v8ofwbhiurvcnp,Stefan,Ristovski,Stefan,Ristovski,Male,S. Ristovski,North Macedonia,1lesyxylc5eza0a4z87t9azcc,player,1992-02-12,Skopje,North Macedonia,1lesyxylc5eza0a4z87t9azcc,2021-02-02Z,2025-06-13Z,active,no,Defender,13.0,NaN,NaN,181.0,73.0,right,NaN,NaN
5t3gy4g25ny7lrrvfxp7nmhp0,Fran,Topić,Fran,Topic,Male,F. Topić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2004-03-20,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-04-01Z,2023-08-30Z,active,no,Attacker,17.0,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,NaN,NaN,NaN
5tt1b9whd0yy6syvb3nspfcic,Zlatan,Košćević,Zlatan,Koscevic,Male,Z. Košćević,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-02-12,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-05-17Z,2024-06-25Z,active,no,Attacker,43.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6bv3aso9wybjffk2md4gr026s,Moreno,Živković,Moreno,Zivkovic,Male,M. Živković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2004-05-22,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-01-18Z,2024-07-09Z,active,no,Defender,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6c5251jr7yxrzp9uex48eiqs4,Dorian,Klarin,Dorian,Klarin,Male,D. Klarin,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-01-02,Šibenik,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-02-13Z,2024-06-25Z,active,no,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6u7iuum6kqfwb4pbw5lsoff56,Petar,Sučić,Petar,Sucic,Male,P. Sučić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-10-25,Livno,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2023-07-01Z,2025-06-04Z,active,no,Midfielder,25.0,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,183.0,76.0,right,NaN,NaN
6uki813svkohcpwlmzk9jff1l,Deni,Jurić,Deni,Juric,Male,D. Jurić,Australia,u5ieemi69z72c3bgczyy68lo,player,1997-09-03,Kogarah,Australia,u5ieemi69z72c3bgczyy68lo,2023-07-01Z,2024-01-24Z,active,no,Attacker,97.0,Croatia,37hlakrwxyuzovaeoo4sezusp,188.0,75.0,right,Deni Juric,NaN
6xt6fnmwrs7btha4d2t7wkktm,Enzo Joaquín,Sosa Romañuk,Joaquín,Sosa,Male,J. Sosa,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,player,2002-01-10,Fray Bentos,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,2023-09-04Z,2023-12-31Z,active,no,Defender,3.0,Italy,25f2cmb2r8mk5rj92tzer6kvv,189.0,82.0,left,NaN,NaN
6zz0iymg7pbldlxn7exj8z0fd,Antonio,Marin,Antonio,Marin,Male,A. Marin,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2001-01-09,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-07-01Z,2023-12-31Z,active,no,Midfielder,20.0,NaN,NaN,182.0,78.0,NaN,NaN,NaN
7de6u27l0rm2y8aigjr2i0ru,Takuro,Kaneko,Takuro,Kaneko,Male,T. Kaneko,Japan,lxyibh89lpdc0bfian1nx0xq,player,1997-07-30,Saitama,Japan,lxyibh89lpdc0bfian1nx0xq,2023-07-26Z,2024-07-08Z,active,no,Midfielder,30.0,NaN,NaN,178.0,68.0,left,NaN,NaN
