playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Ademi,Dinamo Zagreb,Dinamo Zagreb vs Hajduk Split,0.2898821,-0.21011269999999999
A. Ademi,Dinamo Zagreb,Dinamo Zagreb vs Lokomotiva Zagreb,0.083047,-0.0297113
A. Ademi,Dinamo Zagreb,Dinamo Zagreb vs Šibenik,0.30426390000000003,0.0330854
A. Ademi,Dinamo Zagreb,Osijek vs Dinamo Zagreb,0.0815342,0.0249887
A. Ademi,Dinamo Zagreb,Rijeka vs Dinamo Zagreb,0.0,0.0
A. Ademi,Dinamo Zagreb,Varaždin vs Dinamo Zagreb,0.0154276,-0.0303281
A. Baždarić,Lokomotiva Zagreb,Dinamo Zagreb vs Lokomotiva Zagreb,0.0033629,-0.008744
A. Baždarić,Lokomotiva Zagreb,Lokomotiva Zagreb vs Hajduk Split,0.0008646,0.0
A. Baždarić,Lokomotiva Zagreb,Lokomotiva Zagreb vs Varaždin,0.0024795,0.0
A. Baždarić,Lokomotiva Zagreb,Lokomotiva Zagreb vs Šibenik,0.4113924,0.1963421
A. Baždarić,Lokomotiva Zagreb,Rijeka vs Lokomotiva Zagreb,0.2044009,0.0502269
A. Baždarić,Lokomotiva Zagreb,Slaven Koprivnica vs Lokomotiva Zagreb,0.1158163,0.0627497
A. Boršić,Varaždin,HNK Gorica vs Varaždin,0.3069793,0.0641809
A. Boršić,Varaždin,Lokomotiva Zagreb vs Varaždin,0.2191275,0.0469193
A. Boršić,Varaždin,Osijek vs Varaždin,0.5489967,0.2569627
A. Boršić,Varaždin,Varaždin vs Dinamo Zagreb,0.3734558,-0.03091410000000001
A. Boršić,Varaždin,Varaždin vs Istra 1961,0.2040997,0.07937620000000001
A. Boršić,Varaždin,Varaždin vs Rijeka,0.2946305,0.1229796
A. Boršić,Varaždin,Varaždin vs Slaven Koprivnica,0.2575774,-0.044595300000000004
A. Boršić,Varaždin,Šibenik vs Varaždin,0.525549,0.213536
A. Bosec,Slaven Koprivnica,HNK Gorica vs Slaven Koprivnica,0.2015671,0.0028719
A. Bosec,Slaven Koprivnica,Hajduk Split vs Slaven Koprivnica,0.0709161,0.0260396
A. Bosec,Slaven Koprivnica,Slaven Koprivnica vs Dinamo Zagreb,0.1457083,0.008957999999999994
A. Bosec,Slaven Koprivnica,Slaven Koprivnica vs Istra 1961,0.0869877,0.018442500000000004
A. Bosec,Slaven Koprivnica,Slaven Koprivnica vs Lokomotiva Zagreb,0.2515413,0.1708397
A. Bosec,Slaven Koprivnica,Slaven Koprivnica vs Rijeka,0.572526,0.4179603
A. Bosec,Slaven Koprivnica,Varaždin vs Slaven Koprivnica,0.2780009,0.05690340000000001
A. Bosec,Slaven Koprivnica,Šibenik vs Slaven Koprivnica,0.5648957,0.3594087
A. Ferro,Istra 1961,Rijeka vs Istra 1961,0.0632241,0.008432900000000004
A. Ferro,Istra 1961,Šibenik vs Istra 1961,0.0,0.0
A. Gojak,Rijeka,HNK Gorica vs Rijeka,0.0957492,0.019184800000000002
A. Gojak,Rijeka,Rijeka vs Hajduk Split,0.1304874,0.10240669999999999
A. Gojak,Rijeka,Rijeka vs Šibenik,0.17291610000000002,0.022617400000000003
A. Gojak,Rijeka,Slaven Koprivnica vs Rijeka,0.018294400000000002,-0.0007615999999999999
A. Grgić,Slaven Koprivnica,HNK Gorica vs Slaven Koprivnica,0.5347615,0.2166043
A. Grgić,Slaven Koprivnica,Osijek vs Slaven Koprivnica,0.3050782,0.0734562
A. Grgić,Slaven Koprivnica,Slaven Koprivnica vs Dinamo Zagreb,0.7618676,0.2331213
A. Grgić,Slaven Koprivnica,Slaven Koprivnica vs Istra 1961,0.4764194,-0.019329200000000008
A. Grgić,Slaven Koprivnica,Slaven Koprivnica vs Rijeka,0.2712313,0.1190093
A. Grgić,Slaven Koprivnica,Varaždin vs Slaven Koprivnica,0.328674,0.1096586
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs HNK Gorica,0.2927575,0.115912
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Hajduk Split,0.0508435,-0.0061451
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Istra 1961,0.3384652,0.021745600000000018
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Lokomotiva Zagreb,0.3131,-0.0336193
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Šibenik,0.1407403,-0.0851478
A. Hoxha,Dinamo Zagreb,Osijek vs Dinamo Zagreb,0.224552,-0.009013799999999995
A. Hoxha,Dinamo Zagreb,Rijeka vs Dinamo Zagreb,0.111291,-0.0170724
A. Hoxha,Dinamo Zagreb,Slaven Koprivnica vs Dinamo Zagreb,0.2245,-0.1122861
A. Hoxha,Dinamo Zagreb,Varaždin vs Dinamo Zagreb,0.3382612,0.22032359999999998
A. Jagušić,Slaven Koprivnica,Osijek vs Slaven Koprivnica,0.2293981,0.043736300000000006
A. Jagušić,Slaven Koprivnica,Slaven Koprivnica vs Dinamo Zagreb,0.0707268,0.022288299999999997
A. Jagušić,Slaven Koprivnica,Slaven Koprivnica vs Istra 1961,0.1030039,0.0216299
A. Jagušić,Slaven Koprivnica,Slaven Koprivnica vs Lokomotiva Zagreb,0.2089856,-0.0662577
A. Jagušić,Slaven Koprivnica,Slaven Koprivnica vs Rijeka,0.0216131,0.0070691
A. Jagušić,Slaven Koprivnica,Varaždin vs Slaven Koprivnica,0.1637431,-0.0171514
A. Jagušić,Slaven Koprivnica,Šibenik vs Slaven Koprivnica,0.2363991,-0.005817300000000003
A. Jakupovic,Osijek,Hajduk Split vs Osijek,0.0651752,-0.0279431
A. Jakupovic,Osijek,Istra 1961 vs Osijek,0.1182665,0.004429600000000002
A. Jakupovic,Osijek,Lokomotiva Zagreb vs Osijek,0.2551497,0.0341024
A. Jakupovic,Osijek,Osijek vs Slaven Koprivnica,0.0500464,-0.1384801
A. Jakupovic,Osijek,Osijek vs Varaždin,0.35588410000000004,0.048317700000000005
A. Jurič,HNK Gorica,HNK Gorica vs Varaždin,0.1619377,-0.0432638
A. Kadušić,Istra 1961,Dinamo Zagreb vs Istra 1961,0.1241129,0.060512500000000004
A. Kadušić,Istra 1961,Istra 1961 vs HNK Gorica,0.7242267,0.0769061
A. Kadušić,Istra 1961,Istra 1961 vs Hajduk Split,0.3893026,0.10951
A. Kadušić,Istra 1961,Istra 1961 vs Lokomotiva Zagreb,0.32409730000000003,0.1782492
A. Kadušić,Istra 1961,Istra 1961 vs Osijek,0.322525,0.2134885
A. Kadušić,Istra 1961,Rijeka vs Istra 1961,0.4436906,-0.016323500000000005
A. Kadušić,Istra 1961,Slaven Koprivnica vs Istra 1961,0.48674149999999994,0.2126321
A. Kadušić,Istra 1961,Varaždin vs Istra 1961,0.1062996,0.0442408
