team_name,contestantId,match_id,periodId,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state,clock_sec,set_piece_index,set_piece_type,set_piece_team,event_time
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,ai7ai1p37qtblqc5vvt0l8fmc,1,2705252155,228,16,18,16,1,93.0,42.7,K. Théophile-Catherine,78.0,46.0,NaN,NaN,Dinamo Zagreb vs Istra 1961,2024-08-02,NaN,NaN,NaN,0.06479723751544952,0.6389622092247009,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,1.0,0.06479723751544952,,,Dinamo Zagreb,1096,2,corner,,1096
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,ai7ai1p37qtblqc5vvt0l8fmc,2,2705276769,602,15,51,40,1,91.2,47.2,S. Kulenović,178.0,115.0,NaN,NaN,Dinamo Zagreb vs Istra 1961,2024-08-02,NaN,NaN,NaN,0.13663524389266968,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,4.0,0.13663524389266968,,,Dinamo Zagreb,3100,3,corner,,3100
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,ai7ai1p37qtblqc5vvt0l8fmc,2,2705278241,640,15,54,38,1,88.4,49.9,M. Pjaca,187.0,119.0,NaN,NaN,Dinamo Zagreb vs Istra 1961,2024-08-02,NaN,NaN,NaN,0.12429815530776978,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,4.0,0.12429815530776978,,,Dinamo Zagreb,3278,4,corner,,3278
HNK Gorica,2lxdu85eno8hnzkzinx44wvjt,ainh23c0g1d95mmgyjd2df3tg,1,2705604243,20,13,1,35,1,87.8,45.2,M. Maloča,6.0,5.0,NaN,,HNK Gorica vs Varaždin,2024-08-03,NaN,NaN,NaN,0.023462820798158646,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,3.0,0.023462820798158646,,,draw,95,4,freekick,,95
Varaždin,auws85cw488audeo1rdgbvs2z,ainh23c0g1d95mmgyjd2df3tg,1,2705608071,64,15,6,15,1,88.4,37.0,D. Mitrovski,17.0,12.0,NaN,,HNK Gorica vs Varaždin,2024-08-03,NaN,NaN,NaN,0.08863683044910431,0.0,NaN,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,none,,NaN,NaN,,,NaN,NaN,NaN,NaN,0.0,0.08863683044910431,,,draw,375,6,freekick,,375
HNK Gorica,2lxdu85eno8hnzkzinx44wvjt,ainh23c0g1d95mmgyjd2df3tg,1,2705613891,100,13,12,39,1,76.5,34.6,M. Šlogar,32.0,21.0,NaN,,HNK Gorica vs Varaždin,2024-08-03,NaN,NaN,NaN,0.032995909452438354,0.0,NaN,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,none,,NaN,NaN,,,NaN,NaN,NaN,NaN,1.0,0.032995909452438354,,,draw,759,7,throw_in,,759
HNK Gorica,2lxdu85eno8hnzkzinx44wvjt,ainh23c0g1d95mmgyjd2df3tg,1,2705616167,123,13,15,37,1,91.9,57.6,M. Kolar,41.0,25.0,NaN,,HNK Gorica vs Varaždin,2024-08-03,NaN,NaN,NaN,0.03395722061395645,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,1.0,0.03395722061395645,,,draw,937,9,corner,,937
Varaždin,auws85cw488audeo1rdgbvs2z,ainh23c0g1d95mmgyjd2df3tg,2,2705653115,567,15,59,10,1,89.8,59.7,T. Nevers,166.0,102.0,NaN,,HNK Gorica vs Varaždin,2024-08-03,NaN,NaN,NaN,0.04930104687809944,0.13740792870521545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,0.0,0.04930104687809944,,,draw,3550,7,corner,,3550
Varaždin,auws85cw488audeo1rdgbvs2z,ainh23c0g1d95mmgyjd2df3tg,2,2705656961,625,15,65,2,1,90.1,58.7,I. Nekić,186.0,118.0,NaN,,HNK Gorica vs Varaždin,2024-08-03,NaN,NaN,NaN,0.015023968182504177,0.019949419423937798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,5.0,0.015023968182504177,,,draw,3902,5,corner,,3902
Varaždin,auws85cw488audeo1rdgbvs2z,ainh23c0g1d95mmgyjd2df3tg,2,2705669775,815,13,91,24,1,85.8,51.2,A. Boršić,260.0,166.0,NaN,,HNK Gorica vs Varaždin,2024-08-03,NaN,NaN,NaN,0.08327830582857132,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,3.0,0.08327830582857132,,,draw,5484,2,freekick,,5484
