playerName,team_name,label,date,318.0
A. Ademi,Dinamo Zagreb,Dinamo Zagreb vs Hajduk Split,2024-09-13,0.03041732
A. Ademi,Dinamo Zagreb,Dinamo Zagreb vs Lokomotiva Zagreb,2024-09-28,0.00967719
A. Ademi,Dinamo Zagreb,Dinamo Zagreb vs Šibenik,2024-08-16,0.04302706
A. Ademi,Dinamo Zagreb,Osijek vs Dinamo Zagreb,2024-08-11,0.01009494
A. Ademi,Dinamo Zagreb,Rijeka vs Dinamo Zagreb,2024-09-01,0.0
A. Baždarić,Lokomotiva Zagreb,Dinamo Zagreb vs Lokomotiva Zagreb,2024-09-28,0.0
A. Baždarić,Lokomotiva Zagreb,Lokomotiva Zagreb vs Hajduk Split,2024-08-11,0.00430249
A. Baždarić,Lokomotiva Zagreb,Lokomotiva Zagreb vs Varaždin,2024-09-01,0.0
A. Baždarić,Lokomotiva Zagreb,Lokomotiva Zagreb vs Šibenik,2024-08-23,0.02505712
A. Baždarić,Lokomotiva Zagreb,Rijeka vs Lokomotiva Zagreb,2024-08-04,0.03658942
A. Baždarić,Lokomotiva Zagreb,Slaven Koprivnica vs Lokomotiva Zagreb,2024-08-17,0.02851648
A. Boršić,Varaždin,HNK Gorica vs Varaždin,2024-08-03,0.11585992
A. Boršić,Varaždin,Hajduk Split vs Varaždin,2024-08-18,0.06875328
A. Boršić,Varaždin,Lokomotiva Zagreb vs Varaždin,2024-09-01,0.00852626
A. Boršić,Varaždin,Osijek vs Varaždin,2024-09-29,0.17777097
A. Boršić,Varaždin,Varaždin vs Istra 1961,2024-09-20,0.00817797
A. Boršić,Varaždin,Varaždin vs Rijeka,2024-08-11,0.03949498
A. Boršić,Varaždin,Varaždin vs Slaven Koprivnica,2024-08-24,0.01087075
A. Boršić,Varaždin,Šibenik vs Varaždin,2024-09-15,0.20450548000000002
A. Bosec,Slaven Koprivnica,HNK Gorica vs Slaven Koprivnica,2024-09-30,0.01900839
A. Bosec,Slaven Koprivnica,Hajduk Split vs Slaven Koprivnica,2024-08-04,0.00933726
A. Bosec,Slaven Koprivnica,Slaven Koprivnica vs Dinamo Zagreb,2024-09-21,0.011146399999999999
A. Bosec,Slaven Koprivnica,Slaven Koprivnica vs Istra 1961,2024-08-31,0.00275126
A. Bosec,Slaven Koprivnica,Slaven Koprivnica vs Lokomotiva Zagreb,2024-08-17,0.18183151999999997
A. Bosec,Slaven Koprivnica,Varaždin vs Slaven Koprivnica,2024-08-24,0.014218970000000001
A. Bosec,Slaven Koprivnica,Šibenik vs Slaven Koprivnica,2024-08-09,0.08923528
A. Ferro,Istra 1961,Rijeka vs Istra 1961,2024-08-18,0.00319556
A. Ferro,Istra 1961,Šibenik vs Istra 1961,2024-09-27,0.0
A. Gojak,Rijeka,HNK Gorica vs Rijeka,2024-09-14,0.01218867
A. Gojak,Rijeka,Rijeka vs Hajduk Split,2024-09-29,0.01421908
A. Gojak,Rijeka,Rijeka vs Šibenik,2024-09-22,0.018877460000000002
A. Grgić,Slaven Koprivnica,HNK Gorica vs Slaven Koprivnica,2024-09-30,0.3436344
A. Grgić,Slaven Koprivnica,Osijek vs Slaven Koprivnica,2024-09-15,0.03448505
A. Grgić,Slaven Koprivnica,Slaven Koprivnica vs Dinamo Zagreb,2024-09-21,0.21324628
A. Grgić,Slaven Koprivnica,Slaven Koprivnica vs Istra 1961,2024-08-31,0.4875459
A. Grgić,Slaven Koprivnica,Varaždin vs Slaven Koprivnica,2024-08-24,0.02268801
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs HNK Gorica,2024-08-24,0.02602399
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Hajduk Split,2024-09-13,0.00243984
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Istra 1961,2024-08-02,0.02296819
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Lokomotiva Zagreb,2024-09-28,0.07946048
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Šibenik,2024-08-16,0.0070704
A. Hoxha,Dinamo Zagreb,Osijek vs Dinamo Zagreb,2024-08-11,0.01320088
A. Hoxha,Dinamo Zagreb,Rijeka vs Dinamo Zagreb,2024-09-01,0.00408377
A. Hoxha,Dinamo Zagreb,Slaven Koprivnica vs Dinamo Zagreb,2024-09-21,0.07382493
A. Jagušić,Slaven Koprivnica,Osijek vs Slaven Koprivnica,2024-09-15,0.024719829999999998
A. Jagušić,Slaven Koprivnica,Slaven Koprivnica vs Dinamo Zagreb,2024-09-21,0.03768482000000001
A. Jagušić,Slaven Koprivnica,Slaven Koprivnica vs Istra 1961,2024-08-31,0.00345173
A. Jagušić,Slaven Koprivnica,Slaven Koprivnica vs Lokomotiva Zagreb,2024-08-17,0.01647437
A. Jagušić,Slaven Koprivnica,Varaždin vs Slaven Koprivnica,2024-08-24,0.012757870000000001
A. Jagušić,Slaven Koprivnica,Šibenik vs Slaven Koprivnica,2024-08-09,0.020368670000000002
A. Jakupovic,Osijek,Hajduk Split vs Osijek,2024-08-31,0.00086207
A. Jakupovic,Osijek,Lokomotiva Zagreb vs Osijek,2024-09-22,0.013909890000000001
A. Jakupovic,Osijek,Osijek vs Slaven Koprivnica,2024-09-15,0.15279584999999998
A. Jakupovic,Osijek,Osijek vs Varaždin,2024-09-29,0.06185148
A. Jurič,HNK Gorica,HNK Gorica vs Varaždin,2024-08-03,0.0037719800000000003
A. Kadušić,Istra 1961,Dinamo Zagreb vs Istra 1961,2024-08-02,0.00404513
A. Kadušić,Istra 1961,Istra 1961 vs HNK Gorica,2024-08-10,0.6185234999999999
A. Kadušić,Istra 1961,Istra 1961 vs Hajduk Split,2024-08-25,0.01770783
A. Kadušić,Istra 1961,Istra 1961 vs Lokomotiva Zagreb,2024-09-14,0.02615069
