playerName,playerId,contestantId,team_name,label,match_id,date,321
A. Ademi,c9vkaaxhkmmkce4ah7wkfmqd,7vyubxg6fnmwwyo2nnyhp6j5d,Dinamo Zagreb,Dinamo Zagreb vs Hajduk Split,aspijtccmgg2p3tejuok14oic,2024-09-13,0.0777582675218582
A. Ademi,c9vkaaxhkmmkce4ah7wkfmqd,7vyubxg6fnmwwyo2nnyhp6j5d,Dinamo Zagreb,Osijek vs Dinamo Zagreb,alkfcof0jpm8iqguld28sez9w,2024-08-11,0.0337993130087852
A. Baždarić,6x92etecq26qwuk9cmptvndas,7nk3gfpmnuay3xe6v58zsvp0y,Lokomotiva Zagreb,Lokomotiva Zagreb vs Hajduk Split,akary5qob1v8lln5sr4sgnk7o,2024-08-11,0.0329570285975933
A. Baždarić,6x92etecq26qwuk9cmptvndas,7nk3gfpmnuay3xe6v58zsvp0y,Lokomotiva Zagreb,Lokomotiva Zagreb vs Šibenik,b4ny4dyh7jhwq6aeeyqh6nuvo,2024-08-23,0.0
A. Baždarić,6x92etecq26qwuk9cmptvndas,7nk3gfpmnuay3xe6v58zsvp0y,Lokomotiva Zagreb,Rijeka vs Lokomotiva Zagreb,aj3q7ax8vcu2lh2rvr4qdb5lg,2024-08-04,0.0
A. Boršić,ess0wq08u7zj6d1hk70btrlyh,auws85cw488audeo1rdgbvs2z,Varaždin,HNK Gorica vs Varaždin,ainh23c0g1d95mmgyjd2df3tg,2024-08-03,0.0832783058285713
A. Boršić,ess0wq08u7zj6d1hk70btrlyh,auws85cw488audeo1rdgbvs2z,Varaždin,Varaždin vs Istra 1961,auwy3ukj4o690ra2mxywj2ql0,2024-09-20,0.0
A. Boršić,ess0wq08u7zj6d1hk70btrlyh,auws85cw488audeo1rdgbvs2z,Varaždin,Varaždin vs Slaven Koprivnica,ao6tj7l35yq1ybre8l5g4eo7o,2024-08-24,0.020281421020627
A. Bosec,3cib29fyaavdzkkuu7a9472ll,ahpwadw516qqa39whahl0o939,Slaven Koprivnica,Slaven Koprivnica vs Istra 1961,aqusvigqpj9urtxsxz47crqc4,2024-08-31,0.0583967119455337
A. Bosec,3cib29fyaavdzkkuu7a9472ll,ahpwadw516qqa39whahl0o939,Slaven Koprivnica,Šibenik vs Slaven Koprivnica,ajxekhe8dchmc0xcrvp5d2xas,2024-08-09,0.0152254179120063
A. Gojak,e2vhgeqrw3uy0tstydc5nldxx,1ej3fkeq5d7359enihddsxzae,Rijeka,HNK Gorica vs Rijeka,at321e4a6f678wu1c2vdh62ac,2024-09-14,0.0720582082867622
A. Grgić,1lmmj72kbw2j2fwqy1n4ifwlx,ahpwadw516qqa39whahl0o939,Slaven Koprivnica,Osijek vs Slaven Koprivnica,asc8sasvjk1rvphx4hdmhusr8,2024-09-15,0.0103245172649621
A. Grgić,1lmmj72kbw2j2fwqy1n4ifwlx,ahpwadw516qqa39whahl0o939,Slaven Koprivnica,Slaven Koprivnica vs Istra 1961,aqusvigqpj9urtxsxz47crqc4,2024-08-31,0.0081067448481917
A. Hoxha,1j99x774oc7dpglwcyy6l1fc9,7vyubxg6fnmwwyo2nnyhp6j5d,Dinamo Zagreb,Dinamo Zagreb vs HNK Gorica,apbqbm3cnfulqz9ax1peo8aac,2024-08-24,0.0338418036699295
A. Hoxha,1j99x774oc7dpglwcyy6l1fc9,7vyubxg6fnmwwyo2nnyhp6j5d,Dinamo Zagreb,Dinamo Zagreb vs Istra 1961,ai7ai1p37qtblqc5vvt0l8fmc,2024-08-02,0.0
A. Hoxha,1j99x774oc7dpglwcyy6l1fc9,7vyubxg6fnmwwyo2nnyhp6j5d,Dinamo Zagreb,Dinamo Zagreb vs Šibenik,aly29vng0a6uu3zm6xnjqkges,2024-08-16,0.0
A. Hoxha,1j99x774oc7dpglwcyy6l1fc9,7vyubxg6fnmwwyo2nnyhp6j5d,Dinamo Zagreb,Osijek vs Dinamo Zagreb,alkfcof0jpm8iqguld28sez9w,2024-08-11,0.0
A. Jagušić,8e0f4d0nke8zpryrnvlo93rbo,ahpwadw516qqa39whahl0o939,Slaven Koprivnica,Slaven Koprivnica vs Lokomotiva Zagreb,anfwksiwf0lsulj7visufnp5g,2024-08-17,0.0521786548197269
A. Jagušić,8e0f4d0nke8zpryrnvlo93rbo,ahpwadw516qqa39whahl0o939,Slaven Koprivnica,Varaždin vs Slaven Koprivnica,ao6tj7l35yq1ybre8l5g4eo7o,2024-08-24,0.0169872213155031
A. Kadušić,9wq1v55gctxpe1gb89fs5udhx,4l55eml592p3mmkgaa92v0xbe,Istra 1961,Istra 1961 vs HNK Gorica,al3ryqgfud9f01nlo1l3e6as4,2024-08-10,0.0420508868992328
A. Kadušić,9wq1v55gctxpe1gb89fs5udhx,4l55eml592p3mmkgaa92v0xbe,Istra 1961,Slaven Koprivnica vs Istra 1961,aqusvigqpj9urtxsxz47crqc4,2024-08-31,0.0952587649226188
A. Kalik,124myttw2y8hq8rf1t971mfh1,6ouaoxrghzeqpzqk02xn3t4r9,Hajduk Split,Dinamo Zagreb vs Hajduk Split,aspijtccmgg2p3tejuok14oic,2024-09-13,0.0626245588064193
A. Kalik,124myttw2y8hq8rf1t971mfh1,6ouaoxrghzeqpzqk02xn3t4r9,Hajduk Split,Hajduk Split vs Osijek,aqhddbir2svez2m3dg52krj84,2024-08-31,0.1375568807125091
A. Kalik,124myttw2y8hq8rf1t971mfh1,6ouaoxrghzeqpzqk02xn3t4r9,Hajduk Split,Hajduk Split vs Slaven Koprivnica,ajjy8jz6aaq1s16a0ggrdbnro,2024-08-04,0.0858296230435371
A. Kalik,124myttw2y8hq8rf1t971mfh1,6ouaoxrghzeqpzqk02xn3t4r9,Hajduk Split,Hajduk Split vs Varaždin,an2kmy3egyns6fagay21r9638,2024-08-18,0.0
A. Kalik,124myttw2y8hq8rf1t971mfh1,6ouaoxrghzeqpzqk02xn3t4r9,Hajduk Split,Istra 1961 vs Hajduk Split,aol037bw40cqswgiweo93h0yc,2024-08-25,0.0
A. Latković,5jg7vbd98ggggt2c9st5muicq,auws85cw488audeo1rdgbvs2z,Varaždin,Varaždin vs Istra 1961,auwy3ukj4o690ra2mxywj2ql0,2024-09-20,0.1486587226390838
A. Latković,5jg7vbd98ggggt2c9st5muicq,auws85cw488audeo1rdgbvs2z,Varaždin,Šibenik vs Varaždin,arllu5m0rt9mz6tfe7ylxvvh0,2024-09-15,0.0
A. Liber,71eiaf3c37jpcqmcds6kbg4q,ahpwadw516qqa39whahl0o939,Slaven Koprivnica,Varaždin vs Slaven Koprivnica,ao6tj7l35yq1ybre8l5g4eo7o,2024-08-24,0.0
A. Majstorović,9hq2uyvs644x2343owzuhxfbp,1ej3fkeq5d7359enihddsxzae,Rijeka,Varaždin vs Rijeka,akoecm35td2vekcwps1807uhg,2024-08-11,0.061724454164505
A. Matković,2brqv5u308bnnevhaqhxjfmdw,c2it9800m1rcfbyhmwtxnp0vu,Osijek,HNK Gorica vs Osijek,amb7zeh7f0xl8ywn354ppsufo,2024-08-18,0.0
A. Matković,2brqv5u308bnnevhaqhxjfmdw,c2it9800m1rcfbyhmwtxnp0vu,Osijek,Hajduk Split vs Osijek,aqhddbir2svez2m3dg52krj84,2024-08-31,0.0791166648268699
A. Matković,2brqv5u308bnnevhaqhxjfmdw,c2it9800m1rcfbyhmwtxnp0vu,Osijek,Osijek vs Dinamo Zagreb,alkfcof0jpm8iqguld28sez9w,2024-08-11,0.0299295596778392
A. Matković,2brqv5u308bnnevhaqhxjfmdw,c2it9800m1rcfbyhmwtxnp0vu,Osijek,Osijek vs Rijeka,aoygjgiaoqbr1ylbzhdmz2978,2024-08-25,0.0
A. Matković,2brqv5u308bnnevhaqhxjfmdw,c2it9800m1rcfbyhmwtxnp0vu,Osijek,Osijek vs Slaven Koprivnica,asc8sasvjk1rvphx4hdmhusr8,2024-09-15,0.0
A. Matković,2brqv5u308bnnevhaqhxjfmdw,c2it9800m1rcfbyhmwtxnp0vu,Osijek,Osijek vs Šibenik,ahnw6i12k0o8atx7o8difxpg4,2024-08-04,0.0
