playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Boršić,Varaždin,Slaven Koprivnica vs Varaždin,2025-08-10,0.0132188,0.0037273999999999996
A. Boršić,Varaždin,Varaždin vs HNK Gorica,2025-08-04,0.6400059,0.26027730000000004
A. Gojak,Rijeka,Rijeka vs Slaven Koprivnica,2025-08-03,0.0413294,0.0008451000000000004
A. Hoxha,Dinamo Zagreb,Dinamo Zagreb vs Vukovar,2025-08-08,0.39531360000000004,-0.06481359999999997
A. Hoxha,Dinamo Zagreb,Osijek vs Dinamo Zagreb,2025-08-02,0.2139339,0.0779715
A. Husic,Rijeka,Osijek vs Rijeka,2025-08-09,0.0419084,0.019651500000000002
A. Huskić,Lokomotiva Zagreb,Istra 1961 vs Lokomotiva Zagreb,2025-08-09,0.0390986,0.025536500000000004
A. Jagušić,Slaven Koprivnica,Rijeka vs Slaven Koprivnica,2025-08-03,0.4816462,0.1528442
A. Jagušić,Slaven Koprivnica,Slaven Koprivnica vs Varaždin,2025-08-10,1.3181544,0.8255523
A. Jakir,Slaven Koprivnica,Rijeka vs Slaven Koprivnica,2025-08-03,0.3522082,0.020965399999999995
A. Jakir,Slaven Koprivnica,Slaven Koprivnica vs Varaždin,2025-08-10,0.4649768,0.0911479
A. Jurič,Rijeka,Osijek vs Rijeka,2025-08-09,0.2114297,0.1384553
A. Jurič,Rijeka,Rijeka vs Slaven Koprivnica,2025-08-03,0.1161428,0.022876599999999997
A. Kadušić,Istra 1961,Hajduk Split vs Istra 1961,2025-08-03,0.17134649999999998,0.0435744
A. Kadušić,Istra 1961,Istra 1961 vs Lokomotiva Zagreb,2025-08-09,0.6074094,0.3158817
A. Kalik,Hajduk Split,Hajduk Split vs HNK Gorica,2025-08-10,0.001297,0.0
A. Kalik,Hajduk Split,Hajduk Split vs Istra 1961,2025-08-03,0.20326460000000002,0.03342869999999999
A. Kavelj,HNK Gorica,Hajduk Split vs HNK Gorica,2025-08-10,0.1275866,-0.008729500000000001
A. Kavelj,HNK Gorica,Varaždin vs HNK Gorica,2025-08-04,0.484936,0.22237089999999998
A. Latković,Varaždin,Slaven Koprivnica vs Varaždin,2025-08-10,0.6564852999999999,0.3016029
A. Latković,Varaždin,Varaždin vs HNK Gorica,2025-08-04,0.3017226,0.0636138
A. Liber,Slaven Koprivnica,Rijeka vs Slaven Koprivnica,2025-08-03,0.0259742,-0.038793999999999995
A. Liber,Slaven Koprivnica,Slaven Koprivnica vs Varaždin,2025-08-10,0.1510504,0.0665378
A. Majstorović,Rijeka,Rijeka vs Slaven Koprivnica,2025-08-03,0.3786629,0.2851838
A. Maurić,Istra 1961,Hajduk Split vs Istra 1961,2025-08-03,0.094468,0.025745200000000003
A. Maurić,Istra 1961,Istra 1961 vs Lokomotiva Zagreb,2025-08-09,0.1372187,0.0192357
A. Maurić,Istra 1961,Vukovar vs Istra 1961,2025-08-15,0.1489147,0.044878499999999995
A. Oreč,Rijeka,Osijek vs Rijeka,2025-08-09,0.4514675,0.2269264
A. Oreč,Rijeka,Rijeka vs Slaven Koprivnica,2025-08-03,0.3789144,0.22455809999999998
A. Pajaziti,Hajduk Split,Hajduk Split vs HNK Gorica,2025-08-10,0.2948083,0.0670609
A. Pajaziti,Hajduk Split,Hajduk Split vs Istra 1961,2025-08-03,0.2791882,-0.050107800000000015
A. Sanyang,Hajduk Split,Hajduk Split vs HNK Gorica,2025-08-10,0.5074926,0.3463112
A. Sanyang,Hajduk Split,Hajduk Split vs Istra 1961,2025-08-03,0.6245394,0.5538238000000001
A. Stojaković,Lokomotiva Zagreb,Istra 1961 vs Lokomotiva Zagreb,2025-08-09,0.1346381,0.0776679
A. Stojaković,Lokomotiva Zagreb,Lokomotiva Zagreb vs Vukovar,2025-08-01,0.3405152,0.2110951
