id,firstName,lastName,shortFirstName,shortLastName,gender,knownName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,status,active,foot,height,weight,placeOfBirth,endDate,secondNationality,secondNationalityId
1wlddp2l9xr7xmc42vzck0ine,Arnór Gauti,Jónsson,Arnór,Jónsson,Male,Arnór Jónsson,A. Jónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2002-05-31,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,6.0,2024-02-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26v4xhdntbbnwnzsitjmp4nsa,Valgeir,Valgeirsson,Valgeir,Valgeirsson,Male,NaN,V. Valgeirsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2002-09-22,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,17.0,2025-02-06Z,active,yes,right,NaN,NaN,NaN,NaN,NaN,NaN
27a8ay3weff9zyxw7usa54cet,Aron,Bjarnason,Aron,Bjarnason,Male,NaN,A. Bjarnason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1995-10-14,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,11.0,2024-02-01Z,active,yes,both,173.0,70.0,NaN,NaN,NaN,NaN
2ctkm3ssl539vgyslmxbidjl6,Þorleifur,Úlfarsson,Thorleifur,Úlfarsson,Male,NaN,Þ. Úlfarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2000-12-27,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-05-05Z,active,yes,NaN,NaN,NaN,Kópavogur,NaN,NaN,NaN
2hkicgp8zeqz4fif67rdhg2c5,Kristinn,Jónsson,Kristinn,Jónsson,Male,Kristinn Jónsson,K. Jónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1990-08-04,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,19.0,2024-02-01Z,active,yes,left,174.0,74.0,NaN,NaN,NaN,NaN
2hoyzk0qw79v7ta8urx924amt,Kristinn,Steindórsson,Kristinn,Steindórsson,Male,NaN,K. Steindórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,1990-04-29,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,10.0,2020-02-22Z,active,yes,right,178.0,70.0,Reykjavík,NaN,NaN,NaN
3featesbek7turflxsp5fzn1m,Óli Valur,Ómarsson,Óli,Ómarsson,Male,NaN,Ó. Ómarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2003-01-09,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,9.0,2025-02-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3kupkpsbf2lshspyj0s4k89hw,Maríus,Warén,Maríus,Warén,Male,NaN,M. Warén,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2008-02-11,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,38.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3mxm5lv9n3wmirnzwb5mgzw9g,Birkir,Þorsteinsson,Birkir,Thorsteinsson,Male,NaN,B. Þorsteinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2009-05-12,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3z6ty4kxmhvl4ypielw4gjowl,Andri Rafn,Yeoman,Andri,Yeoman,Male,NaN,A. Yeoman,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1992-04-18,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,30.0,2009-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
