playerName,team_name,label,date,318.0
A. Andrésson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.062314060000000004
A. Bjarnason,Breidablik,Breidablik vs Afturelding,2025-04-05,0.52583753
A. Einarsson,Breidablik,Breidablik vs Afturelding,2025-04-05,8.49e-05
A. Jóhannsson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.10190297
A. Jónasson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.00288485
A. Jónsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.01325534
A. Lúðvíksson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.02776756
A. Ragnarsson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.00431078
A. Sævarsson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.01411945
A. Yeoman,Breidablik,Breidablik vs Afturelding,2025-04-05,0.00411693
B. Barkarson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.01145353
B. Runólfsson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.0
Elmar Cogic,Afturelding,Breidablik vs Afturelding,2025-04-05,0.09011319999999999
G. Bjarnason,Afturelding,Breidablik vs Afturelding,2025-04-05,0.038083860000000004
G. Hallsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.01366308
H. Gunnlaugsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.01217685
H. Magnússon,Afturelding,Breidablik vs Afturelding,2025-04-05,0.01652031
J. Andrésson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.0010723
K. Steindórsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.02010246
NaN,Afturelding,Breidablik vs Afturelding,2025-04-05,0.0
NaN,Breidablik,Breidablik vs Afturelding,2025-04-05,0.0
O. Sigurjónsson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.01095407
S. Hugason,Afturelding,Breidablik vs Afturelding,2025-04-05,0.00888133
S. Pálsson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.00188869
T. Thomsen,Breidablik,Breidablik vs Afturelding,2025-04-05,0.03451675
V. Einarsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.21769529
V. Gautason,Breidablik,Breidablik vs Afturelding,2025-04-05,0.00543602
V. Margeirsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.02032368
V. Valgeirsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.04959179
Á. Orrason,Breidablik,Breidablik vs Afturelding,2025-04-05,0.01592561
Á. Þorsteinsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.00730704
Ó. Ómarsson,Breidablik,Breidablik vs Afturelding,2025-04-05,0.08369142
Þ. Hafþórsson,Afturelding,Breidablik vs Afturelding,2025-04-05,0.00972324
