playerName,playerId,contestantId,team_name,9,321,322,label,match_id,date
Hallgrímur Steingrímsson,bxu5dr1iczfweuxfupwtje7kl,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.03008207678794861,0.1228,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
P. Petersen,3dmmttxuri43rqfzaa7rc76j9,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.46978044509887695,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
A. Sigurjónsson,1qy1fe9abj8m4y69ug10tdh3p,629yaod9sjr350jvivp78vwfz,KR,NaN,0.020192550495266914,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
F. Pálmason,2ebmq7lsmgpld94c0qdbezotm,629yaod9sjr350jvivp78vwfz,KR,NaN,0.04943220317363739,0.0443,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
K. Chopart,c5cp8m7dagu09rr6vgwnp4tsl,629yaod9sjr350jvivp78vwfz,KR,NaN,0.0778672993183136,0.3619,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
K. Chopart,c5cp8m7dagu09rr6vgwnp4tsl,629yaod9sjr350jvivp78vwfz,KR,NaN,0.15760770440101624,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
P. Petersen,3dmmttxuri43rqfzaa7rc76j9,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.32574623823165894,0.9572,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
D. Hafsteinsson,4ck18i4d06tuemlgtoex8djop,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.04691709950566292,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
Hallgrímur Steingrímsson,bxu5dr1iczfweuxfupwtje7kl,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.04059269279241562,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
A. Albertsson,eupf0h6o7w45uhw0wqolrvjrp,629yaod9sjr350jvivp78vwfz,KR,NaN,0.019839076325297356,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
Hallgrímur Steingrímsson,bxu5dr1iczfweuxfupwtje7kl,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.10968959331512451,0.0775,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
S. Hauksson,4e6t70lgpbaagndf7e1h9vjoq,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.06577236205339432,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
Æ. Jónasson,5iizc6makgt9rxoz8un3hjv1l,629yaod9sjr350jvivp78vwfz,KR,NaN,0.03140409290790558,0.0601,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
A. Sigurjónsson,1qy1fe9abj8m4y69ug10tdh3p,629yaod9sjr350jvivp78vwfz,KR,NaN,0.09158726036548615,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
A. Albertsson,eupf0h6o7w45uhw0wqolrvjrp,629yaod9sjr350jvivp78vwfz,KR,NaN,0.2460569143295288,0.0745,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
B. Aðalsteinsson,dzaqu4a0ruhe32nuwtfoyj52i,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.04204728081822395,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
D. Hafsteinsson,4ck18i4d06tuemlgtoex8djop,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.09253209829330444,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
Æ. Jónasson,5iizc6makgt9rxoz8un3hjv1l,629yaod9sjr350jvivp78vwfz,KR,NaN,0.029220355674624443,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
E. Bjarnason,eeg5vkl134psossocp3qz3x05,629yaod9sjr350jvivp78vwfz,KR,NaN,0.07648034393787384,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
K. Chopart,c5cp8m7dagu09rr6vgwnp4tsl,629yaod9sjr350jvivp78vwfz,KR,NaN,0.030319657176733017,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
S. Hauksson,4e6t70lgpbaagndf7e1h9vjoq,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.03025624342262745,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
Á. Sigurgeirsson,8ryvjrt82qdrlk249wizk12vp,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.07013195753097534,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
K. Finnbogason,qfggmfva5mhl3qu9p6v5h87p,629yaod9sjr350jvivp78vwfz,KR,NaN,0.20255394279956818,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
Þ. Þórisson,5w4htmknzrbnl4rsyl2aokt7t,4mo70a9j7p2ersbrieg5aw3dg,KA,NaN,0.052284639328718185,0.6474,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
K. Chopart,c5cp8m7dagu09rr6vgwnp4tsl,629yaod9sjr350jvivp78vwfz,KR,NaN,0.04786357283592224,NaN,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
K. Finnbogason,qfggmfva5mhl3qu9p6v5h87p,629yaod9sjr350jvivp78vwfz,KR,true,0.7884,0.9854,KA vs KR,53iv8f61txmx4r8nln754rwno,2023-04-10
B. Eyþórsson,c3fgn30eh2dlhaa0g46j9wtii,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.09520301222801208,0.1884,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
G. Guðmundsson,8l5fo4sm2uw0c3xei3grv8x5h,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.08621250092983246,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
S. Ljubicic,e5ctptboh5equ0yexosqpoo2x,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.025896284729242325,0.1204,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
F. Elvarsson,7m5o6a6qalbd18ryisbzqbufp,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.05892235040664673,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
S. Kamel,brqjclsjoxcm5w66dym463hex,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.09119640290737152,0.029,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
Ó. Borgþórsson,6a6w5v9pwh31mni0uhgpw3cic,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.029787655919790268,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
G. Guðmundsson,8l5fo4sm2uw0c3xei3grv8x5h,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.10625357925891876,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
Nacho Heras,avzhip8lc0f1i3aqo9dufpj9x,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.5867986083030701,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
B. Garðarsson,c81mnernwn4ki77vjkbg9z2wa,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,true,0.7884,0.9947,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
N. Gunnarsson,9udm0jhp7xd1dis8org2pglm2,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.034433186054229736,0.125,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
Ó. Borgþórsson,6a6w5v9pwh31mni0uhgpw3cic,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.11917992681264877,0.1271,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
D. Valsson,bd6v0zvpshxanjumvot2c1h49,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.03309797868132591,0.0881,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
N. Gunnarsson,9udm0jhp7xd1dis8org2pglm2,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.2991292476654053,0.1972,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
B. Garðarsson,c81mnernwn4ki77vjkbg9z2wa,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.3634560704231262,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
E. Ásmundsson,pzeu4a7cgm5iklqinm7ls79x,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.04837141931056976,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
B. Garðarsson,c81mnernwn4ki77vjkbg9z2wa,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.12803807854652405,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
Ómar Stefánsson,4w9lg2iydcj1kmlpfu5xgkqac,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.09769799560308456,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
R. Sveinsson,8thyqx0nihdxoo314mxmjpot1,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.01886986382305622,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
S. Ljubicic,e5ctptboh5equ0yexosqpoo2x,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.6678370237350464,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
Nacho Heras,avzhip8lc0f1i3aqo9dufpj9x,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.09686963260173798,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
G. Guðmundsson,8l5fo4sm2uw0c3xei3grv8x5h,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.041809387505054474,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
P. Bjarnason,25uk6f92cspte2gz542tll1p1,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.1316644549369812,0.0747,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
P. Bjarnason,25uk6f92cspte2gz542tll1p1,4ajfjd27jfzjurj7szzr0rsh2,Fylkir,NaN,0.37441909313201904,0.816,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
S. Kamel,brqjclsjoxcm5w66dym463hex,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.19733360409736633,0.7907,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
G. Guðmundsson,8l5fo4sm2uw0c3xei3grv8x5h,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.02795032411813736,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
V. Hafþórsson,a8latkrmxfihv73vprqqo3fqi,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.023568296805024147,0.0878,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
D. Valsson,bd6v0zvpshxanjumvot2c1h49,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.2524541914463043,0.9356,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
S. Kamel,brqjclsjoxcm5w66dym463hex,96h322mg5vnaneem9fjzgvioq,Keflavík,NaN,0.04528850317001343,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10
F. Friðriksson,3gvdo9rjaq1gr7ybh297klv55,3tlx1zjkgrsdky3abrqe2c9c3,ÍBV,,0.0073941233567893505,NaN,Valur vs ÍBV,53o16so1fcpgtnueofyuwyhp0,2023-04-10
H. Þórðarson,25ey3dogec215xhqtddjgu1ux,3tlx1zjkgrsdky3abrqe2c9c3,ÍBV,,0.04979272186756134,NaN,Valur vs ÍBV,53o16so1fcpgtnueofyuwyhp0,2023-04-10
A. Pálsson,71mjqyembgfq65lhsk3dkvkoa,khmdmbol7850k3i07yusgpn,Valur,,0.048329975455999374,NaN,Valur vs ÍBV,53o16so1fcpgtnueofyuwyhp0,2023-04-10
F. Valenčič,cbceals9gkfqlywg94zzzlgb9,3tlx1zjkgrsdky3abrqe2c9c3,ÍBV,,0.058806005865335464,NaN,Valur vs ÍBV,53o16so1fcpgtnueofyuwyhp0,2023-04-10
