player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date
A. Einarsson,9zzg49vnaufp7j6yj7pcg6sb9,c6hu27u143y4z4te8b4036bae,NaN,NaN,Goalkeeper,Centre,NaN,21,NaN,NaN,NaN,22,1,NaN,1,22,22,90,7,NaN,5,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
A. Yeoman,3z6ty4kxmhvl4ypielw4gjowl,c6hu27u143y4z4te8b4036bae,3,2,Defender,Left,NaN,46,1,7,4,23,4,1,23,53,23,90,15,6,7,30,16,21,2,NaN,2,3,3,NaN,3,1,6,1,,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
V. Margeirsson,ehpnzj2apmfez56i2vggvhexh,c6hu27u143y4z4te8b4036bae,1,NaN,Defender,Left/Centre,NaN,66,NaN,2,1,51,3,NaN,17,72,53,66,24,3,7,21,2,4,1,2,1,4,1,NaN,1,NaN,2,1,,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
D. Muminović,5d6oa0urkujvwy0twpdbfsl3p,c6hu27u143y4z4te8b4036bae,NaN,NaN,Defender,Centre/Right,NaN,81,NaN,1,2,45,2,NaN,37,89,45,90,44,24,3,45,19,25,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
H. Gunnlaugsson,87ogzklhfctx78cbjwgh282j9,c6hu27u143y4z4te8b4036bae,3,NaN,Defender,Right,NaN,48,1,4,9,13,2,NaN,43,59,13,90,23,10,8,58,24,30,2,3,4,4,2,6,2,NaN,5,1,,2,3,1,,NaN,NaN,,,4141,1,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
A. Jónsson,1wlddp2l9xr7xmc42vzck0ine,c6hu27u143y4z4te8b4036bae,7,5,Defensive Midfielder,Centre,NaN,78,2,5,NaN,43,NaN,NaN,37,86,46,90,19,12,6,42,15,18,1,1,1,5,2,NaN,2,2,NaN,NaN,,1,NaN,NaN,,1,1,,,4141,NaN,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
A. Bjarnason,27a8ay3weff9zyxw7usa54cet,c6hu27u143y4z4te8b4036bae,2,NaN,Midfielder,Left,NaN,32,2,3,11,15,1,1,17,44,18,77,6,3,5,33,12,21,NaN,NaN,NaN,3,NaN,7,NaN,1,2,NaN,,1,NaN,NaN,,NaN,NaN,,,4141,NaN,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
K. Steindórsson,2hoyzk0qw79v7ta8urx924amt,c6hu27u143y4z4te8b4036bae,1,NaN,Midfielder,Left/Centre,NaN,48,1,4,3,16,1,1,32,53,17,82,22,14,6,37,24,28,NaN,NaN,NaN,5,1,1,1,1,2,1,,NaN,NaN,NaN,,1,1,,,4141,NaN,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
V. Einarsson,9186v5jw32p3hfi8v7nfvkic5,c6hu27u143y4z4te8b4036bae,1,NaN,Midfielder,Centre/Right,NaN,32,1,NaN,3,19,NaN,NaN,15,38,20,90,13,9,3,20,10,15,1,NaN,1,2,NaN,2,NaN,2,3,3,,1,2,NaN,,NaN,NaN,,,4141,1,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
J. Svanþórsson,dm8yyt39uyshduq91pufi24q2,c6hu27u143y4z4te8b4036bae,5,NaN,Midfielder,Right,NaN,35,10,8,4,16,1,6,20,44,18,82,8,2,3,32,14,21,2,NaN,3,2,NaN,5,NaN,2,12,2,,NaN,NaN,1,,NaN,NaN,,,4141,NaN,Breidablik vs Vestri,6dw0kr0yhjn926kk5maxbrims,2024-04-13
