playerName,team_name,label,date,318.0
A. Adolphsson,Stjarnan,Fylkir vs Stjarnan,2024-04-29,0.44205933000000003
A. Adolphsson,Stjarnan,HK vs Stjarnan,2024-06-22,0.19970677999999997
A. Adolphsson,Stjarnan,Stjarnan vs FH,2024-06-18,0.00860811
A. Adolphsson,Stjarnan,Stjarnan vs Fram,2024-05-10,0.015695
A. Adolphsson,Stjarnan,Stjarnan vs KR,2024-04-12,0.12528962
A. Adolphsson,Stjarnan,Stjarnan vs Valur,2024-04-19,0.00018627999999999999
A. Adolphsson,Stjarnan,Stjarnan vs Víkingur Reykjavík,2024-06-27,0.00057358
A. Adolphsson,Stjarnan,Stjarnan vs ÍA,2024-05-05,0.03550252
A. Adolphsson,Stjarnan,Valur vs Stjarnan,2024-05-30,0.01742405
A. Adolphsson,Stjarnan,Vestri vs Stjarnan,2024-06-02,0.03094477
A. Adolphsson,Stjarnan,Víkingur Reykjavík vs Stjarnan,2024-04-06,0.00657518
A. Albertsson,KR,Breidablik vs KR,2024-07-21,0.01912805
A. Albertsson,KR,FH vs KR,2024-05-20,0.00194083
A. Albertsson,KR,Fram vs KR,2024-07-11,0.06505947000000001
A. Albertsson,KR,Fylkir vs KR,2024-04-07,0.00233609
A. Albertsson,KR,KA vs KR,2024-05-05,0.03575487
A. Albertsson,KR,KR vs Breidablik,2024-04-28,0.08152195
A. Albertsson,KR,KR vs Fylkir,2024-06-27,0.03512706
A. Albertsson,KR,KR vs HK,2024-05-12,0.00905982
A. Albertsson,KR,KR vs KA,2024-07-29,0.00653024
A. Albertsson,KR,KR vs Stjarnan,2024-07-06,0.00652786
A. Albertsson,KR,KR vs Valur,2024-06-03,0.00059296
A. Albertsson,KR,KR vs Vestri,2024-05-25,0.03467365
A. Albertsson,KR,Víkingur Reykjavík vs KR,2024-06-22,0.00916721
A. Albertsson,KR,ÍA vs KR,2024-06-18,0.0235357
A. Andrason,HK,FH vs HK,2024-07-15,0.01754781
A. Andrason,HK,Fram vs HK,2024-06-18,0.00137009
A. Andrason,HK,Fylkir vs HK,2024-05-27,0.02155716
A. Andrason,HK,HK vs Breidablik,2024-06-02,0.01975101
A. Andrason,HK,HK vs FH,2024-04-20,0.03808423
A. Andrason,HK,HK vs KA,2024-06-28,0.08403079000000001
A. Andrason,HK,HK vs Stjarnan,2024-06-22,0.01529694
A. Andrason,HK,HK vs Valur,2024-05-21,0.31841996
A. Andrason,HK,HK vs Vestri,2024-07-20,0.10606115
A. Andrason,HK,HK vs Víkingur Reykjavík,2024-05-05,0.00474045
A. Andrason,HK,HK vs ÍA,2024-04-14,0.04595085
A. Andrason,HK,KA vs HK,2024-04-07,0.01220098
A. Andrason,HK,KR vs HK,2024-05-12,0.61339455
A. Andrason,HK,Víkingur Reykjavík vs HK,2024-07-28,0.20773173
A. Andrason,HK,ÍA vs HK,2024-07-06,0.014572769999999999
A. Andrésson,KR,Breidablik vs KR,2024-07-21,0.12204507
A. Andrésson,KR,FH vs KR,2024-05-20,0.01941677
A. Andrésson,KR,Fram vs KR,2024-07-11,0.00603382
A. Andrésson,KR,Fylkir vs KR,2024-04-07,0.00990624
A. Andrésson,KR,KA vs KR,2024-05-05,0.010589610000000001
A. Andrésson,KR,KR vs Breidablik,2024-04-28,0.07233599
A. Andrésson,KR,KR vs Fram,2024-04-20,0.014072540000000001
A. Andrésson,KR,KR vs Fylkir,2024-06-27,0.00582137
A. Andrésson,KR,KR vs HK,2024-05-12,0.0048853099999999995
A. Andrésson,KR,KR vs KA,2024-07-29,0.00891262
A. Andrésson,KR,KR vs Stjarnan,2024-07-06,0.00373276
A. Andrésson,KR,KR vs Valur,2024-06-03,0.00840986
A. Andrésson,KR,KR vs Vestri,2024-05-25,0.00753355
A. Andrésson,KR,Stjarnan vs KR,2024-04-12,0.00623841
A. Andrésson,KR,Víkingur Reykjavík vs KR,2024-06-22,0.00077273
A. Arnarson,Fram,FH vs Fram,2024-05-31,0.01508375
A. Arnarson,Fram,Fram vs Breidablik,2024-05-26,0.01220741
A. Arnarson,Fram,Fram vs Fylkir,2024-05-05,0.1049095
A. Arnarson,Fram,Fram vs HK,2024-06-18,1.09480515
A. Arnarson,Fram,Fram vs Valur,2024-07-28,0.00477489
A. Arnarson,Fram,Fram vs Vestri,2024-04-07,0.00412944
A. Arnarson,Fram,Fram vs Víkingur Reykjavík,2024-04-15,0.00170502
A. Arnarson,Fram,Fram vs ÍA,2024-05-21,0.00378422
A. Arnarson,Fram,Fylkir vs Fram,2024-07-31,0.0040593899999999995
A. Arnarson,Fram,KA vs Fram,2024-06-23,0.018316390000000002
A. Arnarson,Fram,Stjarnan vs Fram,2024-05-10,0.03133793
A. Arnarson,Fram,Valur vs Fram,2024-04-29,0.00705758
A. Arnarson,Fram,Vestri vs Fram,2024-06-27,0.02037741
A. Arnarson,HK,FH vs HK,2024-07-15,0.00029367
A. Arnarson,HK,Fylkir vs HK,2024-05-27,0.026016749999999998
A. Arnarson,HK,HK vs Valur,2024-05-21,0.00823981
A. Arnarson,HK,HK vs Vestri,2024-07-20,0.11860193
A. Arnarson,HK,HK vs Víkingur Reykjavík,2024-05-05,0.00010656
A. Arnarson,HK,KA vs HK,2024-04-07,0.00501729
A. Arnarson,HK,KR vs HK,2024-05-12,0.00264028
A. Arnarson,HK,Vestri vs HK,2024-04-28,0.00201915
A. Atlason,HK,FH vs HK,2024-07-15,0.0016192899999999998
A. Atlason,HK,Fram vs HK,2024-06-18,0.12508666999999998
A. Atlason,HK,Fylkir vs HK,2024-05-27,0.041888400000000006
A. Atlason,HK,HK vs Breidablik,2024-06-02,0.00807412
A. Atlason,HK,HK vs FH,2024-04-20,0.0212567
A. Atlason,HK,HK vs KA,2024-06-28,0.058096980000000006
A. Atlason,HK,HK vs Stjarnan,2024-06-22,0.03656458
A. Atlason,HK,HK vs Valur,2024-05-21,0.03661353
A. Atlason,HK,HK vs Vestri,2024-07-20,0.099289
A. Atlason,HK,HK vs Víkingur Reykjavík,2024-05-05,0.0041253
A. Atlason,HK,HK vs ÍA,2024-04-14,0.00862891
A. Atlason,HK,KA vs HK,2024-04-07,0.00467479
A. Atlason,HK,KR vs HK,2024-05-12,0.036691890000000005
A. Atlason,HK,Vestri vs HK,2024-04-28,0.02255752
A. Atlason,HK,Víkingur Reykjavík vs HK,2024-07-28,0.00434454
A. Aðalsteinsson,Breidablik,Breidablik vs KR,2024-07-21,0.26854099000000003
A. Birgisson,Stjarnan,Breidablik vs Stjarnan,2024-05-21,0.00280062
A. Birgisson,Stjarnan,Fylkir vs Stjarnan,2024-04-29,0.03295289
A. Birgisson,Stjarnan,HK vs Stjarnan,2024-06-22,0.11857316000000001
A. Birgisson,Stjarnan,KR vs Stjarnan,2024-07-06,1.988e-05
A. Birgisson,Stjarnan,Stjarnan vs Fram,2024-05-10,0.00352282
A. Birgisson,Stjarnan,Stjarnan vs Fylkir,2024-07-21,0.00932461
A. Birgisson,Stjarnan,Stjarnan vs KR,2024-04-12,0.00012394
A. Birgisson,Stjarnan,Stjarnan vs Valur,2024-04-19,0.07783278
A. Birgisson,Stjarnan,Víkingur Reykjavík vs Stjarnan,2024-04-06,0.02291199
A. Birgisson,Stjarnan,ÍA vs Stjarnan,2024-07-28,0.02811458
A. Bjarnason,Breidablik,Breidablik vs FH,2024-04-08,0.10290682
A. Bjarnason,Breidablik,Breidablik vs KA,2024-06-19,0.0736536
