playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Adorante,Venezia,Empoli vs Venezia,2025-10-19,0.0888492,-0.017297200000000002
A. Adorante,Venezia,Juve Stabia vs Venezia,2025-08-30,0.0996306,-0.031893700000000004
A. Adorante,Venezia,Pescara vs Venezia,2025-09-13,0.0415816,0.0013257000000000004
A. Adorante,Venezia,Venezia vs Bari,2025-08-24,0.0581565,-0.4244915
A. Adorante,Venezia,Venezia vs Cesena,2025-09-20,0.157201,-0.0646966
A. Adorante,Venezia,Venezia vs Frosinone,2025-10-04,0.1150341,0.0631688
A. Adorante,Venezia,Venezia vs Spezia,2025-09-27,0.2266298,0.004818499999999996
A. Arena,Carrarese,Carrarese vs Avellino,2025-09-21,0.7227428,0.40539899999999995
A. Arena,Carrarese,Catanzaro vs Carrarese,2025-09-13,0.0138811,0.0018211999999999985
A. Barreca,Padova,Bari vs Padova,2025-10-04,0.8903996,0.4012347
A. Barreca,Padova,Carrarese vs Padova,2025-08-31,0.2133712,-0.0197592
A. Barreca,Padova,Catanzaro vs Padova,2025-10-19,0.31696179999999996,0.019373099999999997
A. Barreca,Padova,Empoli vs Padova,2025-08-23,0.261892,0.0986341
A. Barreca,Padova,Monza vs Padova,2025-09-27,0.373186,0.1909747
A. Barreca,Padova,Padova vs Avellino,2025-09-30,0.13702530000000002,0.013965900000000002
A. Barreca,Padova,Padova vs Frosinone,2025-09-13,0.24201,-0.04199540000000001
A. Barreca,Padova,Padova vs Virtus Entella,2025-09-21,0.2911109,0.09610940000000001
A. Barák,Sampdoria,Bari vs Sampdoria,2025-09-27,0.0155681,-0.0092341
A. Barák,Sampdoria,Monza vs Sampdoria,2025-09-20,0.071415,-0.051077500000000005
A. Barák,Sampdoria,Sampdoria vs Catanzaro,2025-10-01,0.10352940000000001,0.022304900000000003
A. Barák,Sampdoria,Sampdoria vs Cesena,2025-09-13,0.3847076,0.1901569
A. Barák,Sampdoria,Sampdoria vs Pescara,2025-10-05,0.0955137,0.0507499
A. Barák,Sampdoria,Virtus Entella vs Sampdoria,2025-10-17,0.2131355,-0.0451174
A. Bellemo,Sampdoria,Bari vs Sampdoria,2025-09-27,0.023976900000000002,0.0154728
A. Bellemo,Sampdoria,Sampdoria vs Catanzaro,2025-10-01,0.1382264,0.07411770000000001
A. Bellemo,Sampdoria,Sampdoria vs Cesena,2025-09-13,0.0157475,0.014590100000000002
A. Bellemo,Sampdoria,Sampdoria vs Modena,2025-08-25,0.2770387,0.1070715
A. Bellemo,Sampdoria,Sampdoria vs Pescara,2025-10-05,0.3531746,0.11076480000000001
A. Bellemo,Sampdoria,Virtus Entella vs Sampdoria,2025-10-17,0.20862050000000001,0.013329900000000006
A. Blin,Palermo,Cesena vs Palermo,2025-09-27,0.3533948,0.2151241
A. Blin,Palermo,Palermo vs Bari,2025-09-19,0.1294286,0.0612275
A. Blin,Palermo,Palermo vs Modena,2025-10-19,0.1508048,0.11565450000000001
A. Blin,Palermo,Palermo vs Reggiana,2025-08-23,0.0478382,0.0417617
A. Blin,Palermo,Palermo vs Venezia,2025-09-30,0.191161,-0.005699600000000002
A. Blin,Palermo,Spezia vs Palermo,2025-10-04,0.5262028,0.2585221
A. Blin,Palermo,Südtirol vs Palermo,2025-09-14,0.036865199999999994,0.004020899999999999
A. Boccadamo,Virtus Entella,Avellino vs Virtus Entella,2025-09-27,0.0258926,0.007233900000000001
A. Boccadamo,Virtus Entella,Cesena vs Virtus Entella,2025-08-30,0.0611797,0.004487399999999999
A. Boccadamo,Virtus Entella,Modena vs Virtus Entella,2025-10-05,0.0110239,-0.0010055999999999997
A. Boccadamo,Virtus Entella,Virtus Entella vs Juve Stabia,2025-08-23,0.0029779,0.0015481
