id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,foot,startDate,endDate,status,active,placeOfBirth,weight,knownName,shirtNumber
154qk4q3fxzjua6et2wufkjdg,Shedrach,Ebite,Shedrach,Ebite,Male,S. Ebite,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2006-01-29,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,right,2023-10-25Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
1asrguqxyo7rmoyamggwd9oq2,Ahmetcan,Kaplan,Ahmetcan,Kaplan,Male,A. Kaplan,Türkiye,6kd6webenogylfgwt2aa9l6vx,NaN,NaN,Defender,player,2003-01-16,Türkiye,6kd6webenogylfgwt2aa9l6vx,189.0,left,2023-10-22Z,NaN,active,yes,Trabzon,72.0,NaN,NaN
1bqr3p8h5skumdwr21l0wcxjp,Yuri,Rose,Yuri,Rose,Male,Y. Rose,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,assistant coach,1979-05-08,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,NaN,2023-10-30Z,NaN,active,yes,Purmerend,87.0,NaN,NaN
1c4fzmrwmlwaqmqomge14rqc4,Dies,Janse,Dies,Janse,Male,D. Janse,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2006-01-17,Netherlands,6hzi5pltnz67q4la8yli9qfv6,196.0,left,2023-08-24Z,2025-06-30Z,active,no,Goes,NaN,NaN,NaN
1lgrnaje6y7un5dzzll84p91,Gerónimo,Rulli,Gerónimo,Rulli,Male,G. Rulli,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,Goalkeeper,player,1992-05-20,Argentina,2vovxa97k7v7ofa85dah2xktb,189.0,right,2024-02-05Z,2024-06-30Z,active,no,La Plata,84.0,NaN,NaN
1skswa4kpj45huc0rcf43ptsk,Don-Delaiah Cassidy,Sigayro O'Niel,Don,O'Niel,Male,D. O'Niel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Midfielder,player,2006-08-11,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,right,2024-04-25Z,NaN,active,yes,NaN,NaN,NaN,NaN
1x6fhuy49w4rpnyavwotbf504,Tristan,Gooijer,Tristan,Gooijer,Male,T. Gooijer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2004-09-02,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,right,2022-02-24Z,2024-07-16Z,active,no,NaN,80.0,NaN,NaN
28rtnolu3a2au3on0jtwzhu6s,Precious Joel Uche-Chukwu,Ugwu,Precious,Ugwu,Male,P. Ugwu,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2006-02-08,Germany,36min0qztu8eydwvpv8t1is0m,192.0,right,2024-02-25Z,2025-06-27Z,active,no,Filderstadt,NaN,NaN,NaN
2hwq6s6ombcjea2pkjtimqgwk,Alvaro Valentino,Djevano Henry,Alvaro,Henry,Male,A. Henry,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Midfielder,player,2005-02-14,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,right,2023-01-12Z,2024-07-23Z,active,no,Amsterdam,NaN,NaN,NaN
2vp8f9x46i2ptaf08xv7a85xw,Paul,Peters Reverson,Paul,Reverson,Male,P. Reverson,Ghana,2q2sw72utw5gu9t5y4knckwba,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2005-06-20,Netherlands,6hzi5pltnz67q4la8yli9qfv6,194.0,right,2023-04-16Z,NaN,active,yes,Amsterdam,NaN,NaN,NaN
2wesmq2wuhnuwh2yhgkuaxqfo,Aaron,Bouwman,Aaron,Bouwman,Male,A. Bouwman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,England,1fk5l4hkqk12i7zske6mcqju6,Defender,player,2007-08-28,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,right,2024-04-25Z,NaN,active,yes,Haarlem,71.0,NaN,NaN
2yd4k7raor3q6uunpmth5d8no,Mohamed Rida,Chahid,Rida,Chahid,Male,R. Chahid,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Defender,player,2004-12-03,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,left,2023-01-26Z,2025-06-30Z,active,no,Purmerend,NaN,NaN,NaN
31v89l4k38v1wpisz7xhkq38,Jaydon Amauri,Banel,Jaydon,Banel,Male,J. Banel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Attacker,player,2004-10-19,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,right,2022-01-09Z,2025-02-03Z,active,no,Amsterdam,70.0,NaN,NaN
370bp4zp3mxe27rtx3gwhcems,Stanis,Idumbo Muzambo,Stanis,Idumbo,Male,S. Idumbo,Belgium,4wbzjcclyefma1ourvjsu4q2j,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Midfielder,player,2005-06-29,France,7gww28djs405rfga69smki84o,170.0,right,2023-01-04Z,2024-01-13Z,active,no,Melun,60.0,NaN,NaN
3chh3soynyxwjgkf4iyd2rh90,Nassef,Chourak,Nassef,Chourak,Male,N. Chourak,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2004-07-21,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,left,2023-07-01Z,NaN,active,yes,Woerden,75.0,NaN,NaN
3ctkqknm19hnv3oliuzgizuac,Avery,Appiah,Avery,Appiah,Male,A. Appiah,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2006-04-02,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,right,2023-10-26Z,NaN,active,yes,Zoetermeer,NaN,NaN,NaN
3e8tsv4mzm75peokuw38d8jmy,Charlie Terence,Setford,Charlie,Setford,Male,C. Setford,England,1fk5l4hkqk12i7zske6mcqju6,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2004-05-11,Netherlands,6hzi5pltnz67q4la8yli9qfv6,187.0,right,2021-04-01Z,NaN,active,yes,Haarlem,76.0,NaN,NaN
3icc5dv989p7ay2mif3fixkwk,Tommy,Hogan Setford,Tommy,Setford,Male,T. Setford,England,1fk5l4hkqk12i7zske6mcqju6,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2006-03-13,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,right,2023-02-19Z,2024-07-21Z,active,no,Haarlem,76.0,NaN,NaN
408hw76vq99srdosd5dxgeh62,Michel,Kreek,Michel,Kreek,Male,M. Kreek,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,assistant coach,1971-01-16,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,2021-07-01Z,NaN,active,yes,Amsterdam,NaN,NaN,NaN
4fu2agdclsyxx1boxxibauzo4,Gerald,Alders,Gerald,Alders,Male,G. Alders,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Namibia,5gnafp0jaansh8iqoslamuwdc,Defender,player,2005-05-07,Netherlands,6hzi5pltnz67q4la8yli9qfv6,179.0,right,2023-08-24Z,2025-02-04Z,active,no,Amsterdam,NaN,NaN,NaN
4n18t6bixl6ba3bx76hym51qs,Anton,Gaaei,Anton,Gaaei,Male,A. Gaaei,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Defender,player,2002-11-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,right,2023-10-01Z,2024-06-30Z,active,no,Viborg,73.0,NaN,NaN
4utx4h5jz14whtjawxn7ox0r8,Nick,Verschuren,Nick,Verschuren,Male,N. Verschuren,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2005-01-13,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,right,2023-10-01Z,2025-08-11Z,active,no,NaN,67.0,NaN,NaN
56nbghr9snc79dt8h99wleej8,Sean,Steur,Sean,Steur,Male,S. Steur,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Midfielder,player,2008-01-11,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,both,2024-05-09Z,NaN,active,yes,Purmerend,NaN,NaN,NaN
5hkkwzs8wgjj94vfe922nvthw,Mateja,Milovanović,Mateja,Milovanovic,Male,M. Milovanović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-04-18,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,left,2022-07-01Z,2024-06-30Z,active,no,Vlaardingen,72.0,NaN,NaN
5q4odxpe2taljf20w1jlspduy,Yoram Lorenzo Ismaël,Boerhout,Yoram,Boerhout,Male,Y. Boerhout,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Attacker,player,2005-04-05,Netherlands,6hzi5pltnz67q4la8yli9qfv6,171.0,right,2023-01-12Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN
67dp0g4mnfp92i06cd3umy9xx,Hedwiges,Maduro,Hedwiges,Maduro,Male,H. Maduro,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,coach,1985-02-13,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,right,2024-04-07Z,2024-04-18Z,active,no,Almere,79.0,NaN,NaN
