playerName,playerId,contestantId,team_name,9,321,322,label,match_id,date
S. Haugen,bxea3tj0tpi7zmf6k5jtut889,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.20033879578113556,0.2782,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
P. Sejdiu,1meafg8cs0tnmmm6ep0563alm,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.20995305478572845,0.0891,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
D. Janošek,2ajvbnkl3znpich7x6k5a8w2y,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.01981731876730919,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
R. Kuijpers,abnezz7yico2636ucafabz4t0,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.0334511399269104,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
S. Haugen,bxea3tj0tpi7zmf6k5jtut889,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.035273950546979904,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
J. Bosch,7dw3mexdcnel375y16vfl0g2y,bk5ltsueqmeng29eovd8m2tml,Willem II,,0.01623588427901268,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
N. van Berkel,1g092dgjsahqacxxzf5f20wh6,bk5ltsueqmeng29eovd8m2tml,Willem II,,0.015514036640524864,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
C. Leemans,a3m4r77behilkcznll07b7d1x,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.025688769295811653,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
P. Sejdiu,1meafg8cs0tnmmm6ep0563alm,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.051516130566596985,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
S. Haugen,bxea3tj0tpi7zmf6k5jtut889,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.19142432510852814,0.4613,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
D. Janošek,2ajvbnkl3znpich7x6k5a8w2y,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.03680406138300896,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
J. Van den Bergh,b1h4yvtkjhvtkcgu3gtgiytx,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.07176612317562103,0.0649,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
S. Haugen,bxea3tj0tpi7zmf6k5jtut889,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.07970357686281204,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
V. Wernersson,1olyaqfnnl0sb4vsfxyi7j2z9,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.024847665801644325,0.0613,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
P. Sejdiu,1meafg8cs0tnmmm6ep0563alm,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.09543932974338531,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
P. Sejdiu,1meafg8cs0tnmmm6ep0563alm,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.29169681668281555,0.8927,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
S. Haugen,bxea3tj0tpi7zmf6k5jtut889,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,,0.06595349311828613,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
T. Oosting,684nd3xjli51z43pbla0mwa21,bk5ltsueqmeng29eovd8m2tml,Willem II,,0.07758929580450058,0.2405,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
M. Verreth,75o7fx1uwk6pavxbnqqx28y51,bk5ltsueqmeng29eovd8m2tml,Willem II,,0.025636309757828712,NaN,Willem II vs NAC Breda,e5s8hhrzchzk54m2knzxhgv10,2023-09-05
