player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
T. Kuijsten,3u0yfnfs6jqx0xv2epsynesd0,AZ II,1wyg1tunyt7go9tnjea1hjqxb,NaN,NaN,Goalkeeper,Centre,NaN,16,NaN,1,NaN,24,2,NaN,2,24,28,90,19,4,11,9,NaN,4,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,11,NLD,Eerste_Divisie
M. Engel,b4vrfh7z9qt9e5gdpkajrqolw,AZ II,1wyg1tunyt7go9tnjea1hjqxb,6,4,Defender,Left,NaN,28,NaN,3,3,16,6,NaN,12,45,25,90,35,10,8,21,7,13,1,1,1,2,NaN,1,NaN,NaN,1,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,24,NLD,Eerste_Divisie
L. Schouten,cs49ec8y6cubrlo5nmu3j3jtg,AZ II,1wyg1tunyt7go9tnjea1hjqxb,NaN,NaN,Defender,Left/Centre,NaN,16,NaN,1,1,16,5,NaN,2,20,17,31,8,NaN,7,6,1,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,5,NLD,Eerste_Divisie
J. Berkhout,eemwn4jyjnm5xkvk7sks9aulm,AZ II,1wyg1tunyt7go9tnjea1hjqxb,3,NaN,Defender,Centre/Right,NaN,25,NaN,3,1,24,2,NaN,4,31,27,90,13,5,3,8,2,5,NaN,1,1,1,3,NaN,3,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,8,NLD,Eerste_Divisie
E. Dijkstra,5ylwgfqvaobru2lxqvlhpxul0,AZ II,1wyg1tunyt7go9tnjea1hjqxb,2,1,Defender,Right,NaN,26,NaN,3,2,17,5,NaN,11,32,20,90,11,2,9,14,6,7,NaN,NaN,NaN,3,6,NaN,6,NaN,1,NaN,,1,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,11,NLD,Eerste_Divisie
K. Boogaard,22alh32lu88yabxd4pl0opg5w,AZ II,1wyg1tunyt7go9tnjea1hjqxb,7,NaN,Defensive Midfielder,Left/Centre,NaN,37,3,3,1,22,4,1,15,51,30,90,19,6,5,21,11,13,1,NaN,1,1,1,NaN,1,1,1,NaN,,NaN,NaN,NaN,,1,1,NaN,NaN,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,18,NLD,Eerste_Divisie
J. Kalisvaart,2wgv0uye88734itwltg3oajo4,AZ II,1wyg1tunyt7go9tnjea1hjqxb,8,NaN,Defensive Midfielder,Centre/Right,NaN,29,2,2,1,17,3,NaN,13,36,22,90,7,4,7,15,8,10,2,NaN,2,3,2,NaN,2,NaN,1,NaN,,1,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,13,NLD,Eerste_Divisie
J. Gerold,842wr3ptcycwsg44mgt0zp7o4,AZ II,1wyg1tunyt7go9tnjea1hjqxb,4,NaN,Attacking Midfielder,Left,NaN,20,4,7,2,6,3,3,14,24,9,83,5,1,5,15,11,11,1,NaN,1,1,1,NaN,1,2,3,NaN,,1,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,11,NLD,Eerste_Divisie
J. Oerip,cuvt8j25577ruyenn33htf1g4,AZ II,1wyg1tunyt7go9tnjea1hjqxb,3,NaN,Attacking Midfielder,Centre,NaN,23,3,3,3,14,3,2,12,27,14,90,4,2,4,17,6,8,1,NaN,1,1,1,1,1,3,6,2,,NaN,1,NaN,,NaN,NaN,NaN,NaN,4231,1,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,8,NLD,Eerste_Divisie
J. Addai,685wka5xc8na423mirotcu238,AZ II,1wyg1tunyt7go9tnjea1hjqxb,12,NaN,Attacking Midfielder,Right,NaN,15,9,6,1,6,NaN,2,10,20,7,90,2,2,1,15,8,12,2,NaN,2,1,NaN,1,NaN,2,10,1,,NaN,NaN,1,,NaN,NaN,1,1,4231,NaN,AZ II vs Emmen,aoglaqpu4rw8gz592q3v1c2s4,2024-12-13,20,NLD,Eerste_Divisie
