playerName,team_name,label,date,318.0
A. Absalem,Helmond Sport,Cambuur vs Helmond Sport,2024-08-18,0.021342069999999998
A. Absalem,Helmond Sport,Helmond Sport vs Utrecht II,2024-08-09,0.07420725
A. Allemeersch,TOP Oss,Roda JC vs TOP Oss,2024-08-16,0.00767775
A. Allemeersch,TOP Oss,TOP Oss vs Cambuur,2024-08-23,0.01486344
A. Allemeersch,TOP Oss,TOP Oss vs Excelsior,2024-08-09,0.0061920099999999995
A. Allemeersch,TOP Oss,Volendam vs TOP Oss,2024-08-31,0.00033384999999999996
A. Blake,Utrecht II,Utrecht II vs Emmen,2024-08-30,0.00804708
A. Boumenjal,Utrecht II,De Graafschap vs Utrecht II,2024-08-23,2.38e-06
A. Bouwman,Ajax II,Ajax II vs Den Bosch,2024-08-30,0.0131172
A. Bouwman,Ajax II,Eindhoven vs Ajax II,2024-08-24,0.02371243
A. Büttner,Vitesse,VVV vs Vitesse,2024-08-16,0.010979649999999999
A. Büttner,Vitesse,Vitesse vs Eindhoven,2024-08-30,0.22471909
A. Büttner,Vitesse,Vitesse vs Excelsior,2024-08-25,0.02025441
A. Büttner,Vitesse,Vitesse vs Telstar,2024-08-09,0.34490336
A. Descotte,Utrecht II,De Graafschap vs Utrecht II,2024-08-23,0.17339603999999997
A. Dithmer,Utrecht II,Utrecht II vs PSV II,2024-08-16,0.00029719
A. Dizdarević,Helmond Sport,Emmen vs Helmond Sport,2024-08-23,0.00563565
A. Dizdarević,Helmond Sport,Helmond Sport vs VVV,2024-08-30,0.00256587
A. El Bouchataoui,Eindhoven,De Graafschap vs Eindhoven,2024-09-06,1.259e-05
A. El Bouchataoui,Eindhoven,Eindhoven vs Den Bosch,2024-08-09,0.0008661200000000001
A. El Bouchataoui,Eindhoven,Telstar vs Eindhoven,2024-08-16,0.00016854
A. El Bouchataoui,Eindhoven,Vitesse vs Eindhoven,2024-08-30,4.669e-05
A. Kaplan,Ajax II,PSV II vs Ajax II,2024-08-12,0.008455
A. Lechkar,Telstar,Telstar vs MVV,2024-09-08,0.01862829
A. Lechkar,Telstar,Vitesse vs Telstar,2024-08-09,0.00251587
A. Librici,MVV,Ajax II vs MVV,2024-08-19,0.00121562
A. Librici,MVV,Den Bosch vs MVV,2024-08-23,0.00030768
A. Librici,MVV,MVV vs PSV II,2024-08-30,0.0
A. Librici,MVV,Telstar vs MVV,2024-09-08,0.00128231
A. Najah,De Graafschap,De Graafschap vs Eindhoven,2024-09-06,0.00392687
A. Najah,De Graafschap,Roda JC vs De Graafschap,2024-09-01,0.0289057
A. Oehlers,Volendam,ADO Den Haag vs Volendam,2024-08-23,0.01839452
A. Oehlers,Volendam,De Graafschap vs Volendam,2024-08-11,0.01281093
A. Oehlers,Volendam,Volendam vs Emmen,2024-08-18,0.12038539
A. Oehlers,Volendam,Volendam vs TOP Oss,2024-08-31,0.00183264
A. Plat,Volendam,ADO Den Haag vs Volendam,2024-08-23,0.11609454
A. Plat,Volendam,De Graafschap vs Volendam,2024-08-11,0.00426365
A. Plat,Volendam,Volendam vs Emmen,2024-08-18,0.20390492
A. Plat,Volendam,Volendam vs TOP Oss,2024-08-31,0.17289655999999998
A. Rogulj,Emmen,Emmen vs Dordrecht,2024-08-09,0.03802984
A. Rogulj,Emmen,Emmen vs Helmond Sport,2024-08-23,0.014547619999999999
A. Rogulj,Emmen,Volendam vs Emmen,2024-08-18,0.00353787
A. Sadiku,Emmen,Emmen vs Helmond Sport,2024-08-23,0.00151005
A. Sadiku,Emmen,Utrecht II vs Emmen,2024-08-30,0.008128729999999999
A. Sadiku,Emmen,Volendam vs Emmen,2024-08-18,0.00615592
