id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,status,active,secondNationality,secondNationalityId,weight,knownName
1asrguqxyo7rmoyamggwd9oq2,Ahmetcan,Kaplan,Ahmetcan,Kaplan,A. Kaplan,Türkiye,6kd6webenogylfgwt2aa9l6vx,Defender,player,2003-01-16,Trabzon,Türkiye,6kd6webenogylfgwt2aa9l6vx,189.0,left,13.0,active,yes,NaN,NaN,NaN,NaN
1lgrnaje6y7un5dzzll84p91,Gerónimo,Rulli,Gerónimo,Rulli,G. Rulli,Argentina,2vovxa97k7v7ofa85dah2xktb,Goalkeeper,player,1992-05-20,La Plata,Argentina,2vovxa97k7v7ofa85dah2xktb,189.0,right,1.0,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,84.0,NaN
1wse4b1hxu37e7t5ty5ykn7c9,Josip,Šutalo,Josip,Sutalo,J. Šutalo,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,2000-02-28,Čapljina,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,190.0,right,37.0,active,yes,NaN,NaN,82.0,NaN
1x6fhuy49w4rpnyavwotbf504,Tristan,Gooijer,Tristan,Gooijer,T. Gooijer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-09-02,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,right,47.0,active,yes,NaN,NaN,80.0,NaN
25yu90pekqr1lhs098f3uxy39,Jordan Brian,Henderson,Jordan,Henderson,J. Henderson,England,1fk5l4hkqk12i7zske6mcqju6,Midfielder,player,1990-06-17,Sunderland,England,1fk5l4hkqk12i7zske6mcqju6,182.0,right,6.0,active,yes,NaN,NaN,78.0,NaN
29m8py8czo6w0zf2arwolirjd,Jorge Eduardo,Sánchez Ramos,Jorge,Sánchez,J. Sánchez,Mexico,5trdr3jf42i20zj1hnkvcytr6,Defender,player,1997-12-10,Torreón,Mexico,5trdr3jf42i20zj1hnkvcytr6,170.0,right,19.0,active,no,NaN,NaN,69.0,NaN
2rsqkarlkh6z8vrb0clfbz6xh,Branco,van den Boomen,Branco,van den Boomen,B. van den Boomen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,1995-07-21,Eindhoven,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,right,21.0,active,yes,NaN,NaN,75.0,NaN
2x44f29a52v8kpkkjsuiiywdm,Francisco,Fernandes da Conceição,Francisco,Fernandes da Conceição,Francisco Conceição,Portugal,1nbm5i9a0403zzvltn17lxinc,Attacker,player,2002-12-14,Coimbra,Portugal,1nbm5i9a0403zzvltn17lxinc,170.0,left,35.0,active,no,NaN,NaN,64.0,Francisco Conceição
31v89l4k38v1wpisz7xhkq38,Jaydon Amauri,Banel,Jaydon,Banel,J. Banel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2004-10-19,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,right,49.0,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,NaN
32n3284h95a93yq9h7hbw5hp1,Chuba Amechi,Akpom,Chuba,Akpom,C. Akpom,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,1995-10-09,London,England,1fk5l4hkqk12i7zske6mcqju6,183.0,right,10.0,active,yes,Nigeria,63pvdwrsiq5b07mzi8igqei9p,70.0,NaN
35qg0rrwtl00pycx468s62m3u,Kenneth,Taylor,Kenneth,Taylor,K. Taylor,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2002-05-16,Alkmaar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,left,8.0,active,yes,NaN,NaN,75.0,NaN
3e8tsv4mzm75peokuw38d8jmy,Charlie Terence,Setford,Charlie,Setford,C. Setford,England,1fk5l4hkqk12i7zske6mcqju6,Goalkeeper,player,2004-05-11,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,187.0,right,51.0,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,76.0,NaN
44u2bfcdqurcllh77ytc8i2fp,Michael John,Reiziger,Michael,Reiziger,M. Reiziger,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1973-05-03,Amstelveen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,right,NaN,active,yes,NaN,NaN,75.0,NaN
4n18t6bixl6ba3bx76hym51qs,Anton,Gaaei,Anton,Gaaei,A. Gaaei,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-11-19,Viborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,right,3.0,active,yes,NaN,NaN,73.0,NaN
4utx4h5jz14whtjawxn7ox0r8,Nick,Verschuren,Nick,Verschuren,N. Verschuren,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-01-13,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,right,NaN,active,no,NaN,NaN,NaN,NaN
67dp0g4mnfp92i06cd3umy9xx,Hedwiges,Maduro,Hedwiges,Maduro,H. Maduro,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1985-02-13,Almere,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,right,NaN,active,yes,NaN,NaN,79.0,NaN
68hoounwudpjrr2wmovkyvswk,Tom,de Graaff,Tom,de Graaff,T. de Graaff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2004-12-10,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,left,53.0,active,yes,NaN,NaN,NaN,NaN
6hrp4zuxh40i3tccmk5s0j5xx,Steven Charles,Bergwijn,Steven,Bergwijn,S. Bergwijn,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,1997-10-08,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,right,7.0,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,78.0,NaN
6sg2ot7z9kfyrlgjkmpqvejqi,Devyne Fabian Jairo,Rensch,Devyne,Rensch,D. Rensch,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-01-18,Lelystad,Netherlands,6hzi5pltnz67q4la8yli9qfv6,179.0,both,2.0,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,75.0,NaN
70h2g33o2w7f32dtx76wji99m,Gastón Luciano,Ávila,Gastón,Ávila,G. Ávila,Argentina,2vovxa97k7v7ofa85dah2xktb,Defender,player,2001-09-30,Rosario,Argentina,2vovxa97k7v7ofa85dah2xktb,182.0,left,30.0,active,yes,NaN,NaN,80.0,NaN
71yzjw5c6ng7bs4raygfxyzo4,Dave,Vos,Dave,Vos,D. Vos,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1983-04-24,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,active,no,NaN,NaN,NaN,NaN
7d8a2cp7xza48arxctlpqrvh0,Diyae-Eddine,Jermoumi,Diyae-Eddine,Jermoumi,D. Jermoumi,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Defender,player,2004-07-19,Leiden,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,right,NaN,active,no,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN
7joybllup4h9oe6zfhcepjy6t,Steven,Berghuis,Steven,Berghuis,S. Berghuis,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,1991-12-19,Apeldoorn,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,left,23.0,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,75.0,NaN
7w5ivtmbqzi4hfte330r1a505,Remko Jurian,Pasveer,Remko,Pasveer,R. Pasveer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,1983-11-08,Enschede,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,right,22.0,active,yes,NaN,NaN,88.0,NaN
7wjj8kle0noj8nihkj4053v11,Said,Bakkati,Said,Bakkati,S. Bakkati,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1982-03-23,Groningen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,172.0,NaN,NaN,active,yes,NaN,NaN,72.0,NaN
80i3boeh7f1ghu4ka7r66izje,Christian Theodor,Kjelder Rasmussen,Christian,Rasmussen,C. Rasmussen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2003-01-19,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,left,NaN,active,no,NaN,NaN,75.0,NaN
8bvn7mn5tjfj3l2bnpvm75gmi,Georges,Mikautadze,Georges,Mikautadze,G. Mikautadze,Georgia,55mqz7j6585f2jhgfhn62lomr,Attacker,player,2000-10-31,Lyon,France,7gww28djs405rfga69smki84o,176.0,right,19.0,active,no,NaN,NaN,71.0,NaN
8zzjxnppg44txae0mcs6r1ega,Carlos Roberto,Forbs Borges,Carlos Roberto,Forbs Borges,Carlos Forbs,Portugal,1nbm5i9a0403zzvltn17lxinc,Attacker,player,2004-03-19,NaN,Portugal,1nbm5i9a0403zzvltn17lxinc,169.0,left,11.0,active,yes,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,62.0,Carlos Forbs
9bykusqdk507dxsrpec6ejnpx,Maurice,Steijn,Maurice,Steijn,M. Steijn,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1973-11-20,Den Haag,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,active,no,NaN,NaN,NaN,NaN
9c2i7ddl2uh7kuhwq62klkyui,Brian Ebenezer,Adjei Brobbey,Brian,Brobbey,B. Brobbey,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2002-02-01,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,right,9.0,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,78.0,NaN
9d4zyi08clotxnvxcmap2yeol,Michael,Valkanis,Michael,Valkanis,M. Valkanis,Australia,u5ieemi69z72c3bgczyy68lo,NaN,assistant coach,1974-08-23,Melbourne,Australia,u5ieemi69z72c3bgczyy68lo,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
9nix5y8xcj34ps62r34udtqwa,Kristian Nökkvi,Hlynsson,Kristian,Hlynsson,K. Hlynsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2004-01-23,Odense,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,right,38.0,active,yes,Denmark,5adf60vwiw2f2mibyq1k4ex7i,71.0,NaN
9pox9siobczxr9fv3fvvx3h1w,Silvano Cliff Robbie,Vos,Silvano,Vos,S. Vos,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2005-03-16,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,189.0,right,24.0,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,72.0,NaN
9v212zfspaz9cmswudro21ous,Oualid,Agougil,Oualid,Agougil,O. Agougil,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-08-07,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,left,NaN,active,no,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,NaN
a63ez4ov40p2xkdsi0otez2s,Julian Dean,Rijkhoff,Julian,Rijkhoff,J. Rijkhoff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-01-25,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,right,19.0,active,yes,NaN,NaN,NaN,NaN
a7vlgirln231n3dqjhb72o0es,Olivier,Aertssen,Olivier,Aertssen,O. Aertssen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-08-07,Veldhoven,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,both,43.0,active,yes,NaN,NaN,76.0,NaN
a9gc0gd5320jvh6x3ct7vuvis,Julian Christiaan,Brandes,Julian,Brandes,J. Brandes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-05-11,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,right,54.0,active,yes,NaN,NaN,NaN,NaN
ab63j1m6c8sfm0fx1frxdxwph,John,van 't Schip,John,van 't Schip,J. van 't Schip,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1963-12-30,Fort Saint John,Canada,1iaoypzp6syf32cz9l15pzp7e,182.0,NaN,NaN,active,yes,NaN,NaN,73.0,NaN
b8ixf31bdyfqqcwoy4ulai73e,Kian,Fitz-Jim,Kian,Fitz-Jim,K. Fitz-Jim,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2003-07-05,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,right,28.0,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,70.0,NaN
baakmd4ndnulbl9npvmq90mvp,Davy,Klaassen,Davy,Klaassen,D. Klaassen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,1993-02-21,Hilversum,Netherlands,6hzi5pltnz67q4la8yli9qfv6,179.0,right,6.0,active,no,NaN,NaN,70.0,NaN
baghnvel8qsn5k9s79jiyldnu,Ar'Jany,Martha,Ar'Jany,Martha,A. Martha,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-09-04,Rotterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,left,42.0,active,yes,Curaçao,5im58ram567ao2fbnz39sm8vk,NaN,NaN
bgydmtsi0ngn9k56apo29v0no,Jorrel,Hato,Jorrel,Hato,J. Hato,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-03-07,Rotterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,left,4.0,active,yes,Curaçao,5im58ram567ao2fbnz39sm8vk,76.0,NaN
c907ct1hjmwughkdus73c5fkk,David,Kalokoh,David,Kalokoh,D. Kalokoh,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-04-21,NaN,Sierra Leone,7kilikg56sxc0dsd6168dr57b,186.0,right,56.0,active,yes,Sierra Leone,7kilikg56sxc0dsd6168dr57b,NaN,NaN
cx6fxszjvjam6zb3c3p0dd1jo,Mika Marcel,Godts,Mika,Godts,M. Godts,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2005-06-07,Leuven,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,right,39.0,active,yes,NaN,NaN,70.0,NaN
d2itdjj8bx0aztqggfgv7amay,Benjamin,Tahirović,Benjamin,Tahirovic,B. Tahirović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,2003-03-03,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,right,33.0,active,yes,Sweden,1z6l2c33w2kyz9rdefs1d68nb,68.0,NaN
dafbvyorudvujxw7zswicykmh,Owen Colin,Wijndal,Owen,Wijndal,O. Wijndal,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1999-11-28,Zaandam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,left,5.0,active,no,Suriname,31vay1njxmbs7vtbfp1wo2dx1,65.0,NaN
