playerName,playerId,contestantId,typeId,team_name,9,321,322,label,match_id,date
M. van der Hoorn,aafz6q5ggn9e6m5hprc71lgph,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.1999290585517883,0.3154163062572479,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
O. Fraulo,87kc5hjp3ry2z624wty5h7g4q,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.0597618818283081,0.6030565500259399,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
S. van Hooijdonk,dc4n5ylytswddlvd82snkb90q,59t7flioj4w4mpwnrwbm0m8ck,15,NAC Breda,,0.0253807976841926,0.11750437319278717,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
J. Toornstra,ely6vpyueden4b6ozfmspwgk5,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.6132340431213379,0.9839052557945251,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
J. Toornstra,ely6vpyueden4b6ozfmspwgk5,ccpscwdcm65czscrun048ecn5,13,Utrecht,,0.0191773790866136,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
S. Haller,cy0lv5u16obr2ne4xiins43x1,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.046185728162527,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
P. Aaronson,42eyoeidtcnf2l4eag73qp36y,ccpscwdcm65czscrun048ecn5,13,Utrecht,,0.0601587668061256,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
E. Ómarsson,rxblyjf8pcsdgdvy24zgnefp,59t7flioj4w4mpwnrwbm0m8ck,13,NAC Breda,,0.0368638187646865,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
L. Sauer,1pezvbb0n8z7hu5063jysg2s4,59t7flioj4w4mpwnrwbm0m8ck,15,NAC Breda,,0.024595808237791,0.017213374376296997,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
S. van Hooijdonk,dc4n5ylytswddlvd82snkb90q,59t7flioj4w4mpwnrwbm0m8ck,15,NAC Breda,,0.0739980489015579,0.4811711013317108,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
E. Ómarsson,rxblyjf8pcsdgdvy24zgnefp,59t7flioj4w4mpwnrwbm0m8ck,13,NAC Breda,,0.1717591434717178,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
D. Min,7o8auo4uu5mzh7f4a44ucdf8q,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.0402038432657718,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
P. Aaronson,42eyoeidtcnf2l4eag73qp36y,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.044138878583908,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
S. El Karouani,enimk3ibb10vk3f8vrmmhq7oq,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.0089698461815714,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
J. Van den Bergh,b1h4yvtkjhvtkcgu3gtgiytx,59t7flioj4w4mpwnrwbm0m8ck,13,NAC Breda,,0.0154118696227669,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
O. Fraulo,87kc5hjp3ry2z624wty5h7g4q,ccpscwdcm65czscrun048ecn5,13,Utrecht,,0.0448156110942363,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
S. Haller,cy0lv5u16obr2ne4xiins43x1,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.2035628855228424,0.3623434901237488,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
Zidane Iqbal,dmnk8dz6w8n4fcso88fuvusfe,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.0170250367373228,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
S. Haller,cy0lv5u16obr2ne4xiins43x1,ccpscwdcm65czscrun048ecn5,14,Utrecht,,0.165166437625885,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
O. Fraulo,87kc5hjp3ry2z624wty5h7g4q,ccpscwdcm65czscrun048ecn5,16,Utrecht,,0.8600388169288635,0.9920408129692078,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
D. Janošek,2ajvbnkl3znpich7x6k5a8w2y,59t7flioj4w4mpwnrwbm0m8ck,13,NAC Breda,,0.0508469454944133,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
S. Haller,cy0lv5u16obr2ne4xiins43x1,ccpscwdcm65czscrun048ecn5,13,Utrecht,,0.0761543959379196,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
D. Janošek,2ajvbnkl3znpich7x6k5a8w2y,59t7flioj4w4mpwnrwbm0m8ck,13,NAC Breda,,0.0797306075692176,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
O. Fraulo,87kc5hjp3ry2z624wty5h7g4q,ccpscwdcm65czscrun048ecn5,15,Utrecht,,0.1078401654958725,0.0,Utrecht vs NAC Breda,apldq4n6a9qtiidnqnvmjmj9w,2025-03-01
