playerName,team_name,label,date,318.0
A. Ahmedhodžić,Feyenoord,Feyenoord vs NAC Breda,2025-08-09,0.02248919
A. Blake,Utrecht,Utrecht vs Heracles,2025-08-10,0.0052788999999999996
A. Bouwman,Ajax,Ajax vs Telstar,2025-08-10,0.01316863
A. Carlén,Excelsior,NEC vs Excelsior,2025-08-09,0.01930636
A. Engwanda,Utrecht,Utrecht vs Heracles,2025-08-10,0.034821069999999996
A. Gaaei,Ajax,Ajax vs Telstar,2025-08-10,0.19543049
A. Hadj Moussa,Feyenoord,Feyenoord vs NAC Breda,2025-08-09,0.036121480000000004
A. Lechkar,Telstar,Ajax vs Telstar,2025-08-10,0.00293829
A. MacNulty,PEC Zwolle,PEC Zwolle vs Twente,2025-08-10,0.16284125
A. Meijers,Volendam,Heerenveen vs Volendam,2025-08-09,0.00079681
A. Noppert,Heerenveen,Heerenveen vs Volendam,2025-08-09,0.00064947
A. Oehlers,Volendam,Heerenveen vs Volendam,2025-08-09,0.03503397
A. Oufkir,Sparta Rotterdam,PSV vs Sparta Rotterdam,2025-08-09,0.01095541
A. Plat,Volendam,Heerenveen vs Volendam,2025-08-09,0.00950353
A. Pléa,PSV,PSV vs Sparta Rotterdam,2025-08-09,1.59891877
A. Ueda,Feyenoord,Feyenoord vs NAC Breda,2025-08-09,0.15472797
A. Verschueren,Twente,PEC Zwolle vs Twente,2025-08-10,0.20620108999999998
A. Zagré,Excelsior,NEC vs Excelsior,2025-08-09,0.04648286
Alexandre Penetra,AZ,AZ vs Groningen,2025-08-10,0.00473743
B. Kemper,NAC Breda,Feyenoord vs NAC Breda,2025-08-09,0.01714782
B. Kuwas,Volendam,Heerenveen vs Volendam,2025-08-09,0.02181366
B. Limbombe,Heracles,Utrecht vs Heracles,2025-08-10,0.00633828
B. Linssen,NEC,NEC vs Excelsior,2025-08-09,0.34664925999999996
B. Lucassen,NAC Breda,Feyenoord vs NAC Breda,2025-08-09,0.02095406
B. Martins Indi,Sparta Rotterdam,PSV vs Sparta Rotterdam,2025-08-09,0.0031963499999999997
B. Nieuwkoop,Feyenoord,Feyenoord vs NAC Breda,2025-08-09,0.00810341
B. Pereira,NEC,NEC vs Excelsior,2025-08-09,0.30155648
B. Traoré,Ajax,Ajax vs Telstar,2025-08-10,0.053122989999999995
B. Willumsson,Groningen,AZ vs Groningen,2025-08-10,0.00509517
B. van Rooij,Twente,PEC Zwolle vs Twente,2025-08-10,0.10034345
B. Önal,NEC,NEC vs Excelsior,2025-08-09,0.5367295
C. Bozdoğan,Utrecht,Utrecht vs Heracles,2025-08-10,2.21e-06
C. Driouech,PSV,PSV vs Sparta Rotterdam,2025-08-09,0.0773827
C. Leemans,NAC Breda,Feyenoord vs NAC Breda,2025-08-09,0.00020616999999999999
C. Tengstedt,Feyenoord,Feyenoord vs NAC Breda,2025-08-09,0.00074938
C. Twigt,Go Ahead Eagles,Fortuna Sittard vs Go Ahead Eagles,2025-08-08,0.03298861
C. Valerius,NAC Breda,Feyenoord vs NAC Breda,2025-08-09,0.00165354
C. Verdonk,NEC,NEC vs Excelsior,2025-08-09,0.06379101
C. Widell,Excelsior,NEC vs Excelsior,2025-08-09,0.22835150999999998
D. Bakker,Telstar,Ajax vs Telstar,2025-08-10,0.02233744
D. Bielica,NAC Breda,Feyenoord vs NAC Breda,2025-08-09,0.00026563
D. James,Go Ahead Eagles,Fortuna Sittard vs Go Ahead Eagles,2025-08-08,0.3509199
D. Kasius,AZ,AZ vs Groningen,2025-08-10,0.25714167
D. Klaassen,Ajax,Ajax vs Telstar,2025-08-10,0.04735458
D. Koswal,Telstar,Ajax vs Telstar,2025-08-10,0.01369677
D. Limnios,Fortuna Sittard,Fortuna Sittard vs Go Ahead Eagles,2025-08-08,0.47204944
D. Malone,Telstar,Ajax vs Telstar,2025-08-10,1.4129999999999999e-05
D. Mbayo,PEC Zwolle,PEC Zwolle vs Twente,2025-08-10,0.038221279999999996
D. Mertens,Telstar,Ajax vs Telstar,2025-08-10,0.13500221
D. Min,Utrecht,Utrecht vs Heracles,2025-08-10,0.27306303
D. Mirani,Heracles,Utrecht vs Heracles,2025-08-10,0.01017085
D. Murkin,Utrecht,Utrecht vs Heracles,2025-08-10,0.03293152
D. Payne,Volendam,Heerenveen vs Volendam,2025-08-09,0.01313524
D. Proper,NEC,NEC vs Excelsior,2025-08-09,0.0098975
D. Rots,Twente,PEC Zwolle vs Twente,2025-08-10,0.01949327
D. Sanches Fernandes,Excelsior,NEC vs Excelsior,2025-08-09,0.28674871
D. Vente,Heerenveen,Heerenveen vs Volendam,2025-08-09,0.37904618
D. Versluis,NAC Breda,Feyenoord vs NAC Breda,2025-08-09,0.00100926
D. de Wit,Utrecht,Utrecht vs Heracles,2025-08-10,0.00279986
