id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,secondNationality,secondNationalityId,knownName
11iaca5nfeqabdba4646vje1h,Brede Mathias,Moe,Brede,Moe,Male,B. Moe,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1991-12-15,Flatanger,Norway,7f16iy4w8u8ogyn6pfooqwv5z,184.0,80.0,right,18.0,active,yes,NaN,NaN,NaN
2cpnu3q1tu1afz84wog5rophw,Syver,Skundberg Skeide,Syver,Skeide,Male,S. Skeide,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2004-08-28,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,16.0,active,yes,NaN,NaN,NaN
2r893xoeuqhgoe2w2auhqb696,Kasper,Waarts Thenza Høgh,Kasper,Høgh,Male,K. Høgh,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2000-12-06,Randers,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,61.0,right,9.0,active,yes,NaN,NaN,NaN
38qnvrvf3y1xs22tovwy21jv9,Jostein,Maurstad Gundersen,Jostein,Gundersen,Male,J. Gundersen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1996-04-02,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,186.0,82.0,NaN,6.0,active,yes,NaN,NaN,NaN
3cybbj27qrqr2fqzjv8vg10id,Gaute Ugelstad,Helstrup,Gaute,Helstrup,Male,G. Helstrup,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,assistant coach,1976-05-15,Tromsø,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
3gvu6qvxl0ro74q6l1o4p2fx0,Magnus,Brøndbo,Magnus,Brøndbo,Male,M. Brøndbo,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,2005-03-02,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,44.0,active,yes,NaN,NaN,NaN
3je152n5s5fjtbrxs9v8dn1lh,Christian Kjetil,Haug,Kjetil,Haug,Male,K. Haug,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,1998-06-12,Halden,Norway,7f16iy4w8u8ogyn6pfooqwv5z,190.0,83.0,right,24.0,active,no,NaN,NaN,NaN
3zg0pvrja75d3l44dq0lh4kb9,Andreas,Klausen Helmersen,Andreas,Helmersen,Male,A. Helmersen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1998-03-15,Trondheim,Norway,7f16iy4w8u8ogyn6pfooqwv5z,190.0,82.0,left,21.0,active,yes,NaN,NaN,NaN
55ashhvkh23ypnct70f9dgvkl,Ulrik,Saltnes,Ulrik,Saltnes,Male,U. Saltnes,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1992-11-10,Brønnøysund,Norway,7f16iy4w8u8ogyn6pfooqwv5z,187.0,78.0,right,14.0,active,yes,NaN,NaN,NaN
5hst73ivtxknjb3rrdivwygnp,Sondre,Brunstad Fet,Sondre,Fet,Male,S. Fet,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1997-01-17,Ålesund,Norway,7f16iy4w8u8ogyn6pfooqwv5z,178.0,74.0,right,19.0,active,yes,NaN,NaN,NaN
