playerName,team_name,label,date,318.0
A. Aleesami,KFUM,Bodø / Glimt vs KFUM,2024-05-24,0.00878757
A. Aleesami,KFUM,Fredrikstad vs KFUM,2024-08-04,0.02153677
A. Aleesami,KFUM,KFUM vs Bodø / Glimt,2024-07-27,0.00044103
A. Aleesami,KFUM,KFUM vs Fredrikstad,2024-05-12,0.00652502
A. Aleesami,KFUM,KFUM vs Lillestrøm,2024-08-30,0.01423665
A. Aleesami,KFUM,KFUM vs Odd,2024-05-20,0.01152403
A. Aleesami,KFUM,KFUM vs Rosenborg,2024-08-11,0.0010286899999999999
A. Aleesami,KFUM,KFUM vs Sandefjord,2024-06-02,0.02735357
A. Aleesami,KFUM,KFUM vs Tromsø,2024-08-18,0.00691411
A. Aleesami,KFUM,Lillestrøm vs KFUM,2024-06-27,0.00126293
A. Aleesami,KFUM,Molde vs KFUM,2024-07-20,0.0050604299999999994
A. Aleesami,KFUM,Rosenborg vs KFUM,2024-05-16,0.01508729
A. Aleesami,KFUM,Tromsø vs KFUM,2024-07-13,0.00347517
A. Andersson,Rosenborg,KFUM vs Rosenborg,2024-08-11,0.01333957
A. Andersson,Rosenborg,Odd vs Rosenborg,2024-08-25,0.012350960000000001
A. Andersson,Rosenborg,Rosenborg vs KFUM,2024-05-16,0.3048448
A. Andersson,Rosenborg,Rosenborg vs Lillestrøm,2024-08-21,0.00586562
A. Andersson,Rosenborg,Rosenborg vs Molde,2024-09-01,0.0079749
A. Andersson,Rosenborg,Tromsø vs Rosenborg,2024-05-20,0.052395750000000005
A. Bærtelsen,Haugesund,Brann vs Haugesund,2024-07-13,0.00460773
A. Bærtelsen,Haugesund,Fredrikstad vs Haugesund,2024-08-14,0.00904723
A. Bærtelsen,Haugesund,HamKam vs Haugesund,2024-05-12,0.017371
A. Bærtelsen,Haugesund,Haugesund vs Bodø / Glimt,2024-06-02,0.00404629
A. Bærtelsen,Haugesund,Haugesund vs Fredrikstad,2024-08-25,0.01583243
A. Bærtelsen,Haugesund,Haugesund vs KFUM,2024-05-05,0.03372999
A. Bærtelsen,Haugesund,Haugesund vs Kristiansund,2024-05-16,0.00623905
A. Bærtelsen,Haugesund,Haugesund vs Lillestrøm,2024-04-07,0.00723131
A. Bærtelsen,Haugesund,Haugesund vs Rosenborg,2024-04-21,0.0962355
A. Bærtelsen,Haugesund,Haugesund vs Sandefjord,2024-05-26,0.00788285
A. Bærtelsen,Haugesund,Haugesund vs Sarpsborg 08,2024-07-07,0.07779048999999999
A. Bærtelsen,Haugesund,Haugesund vs Viking,2024-07-21,0.00394876
A. Bærtelsen,Haugesund,Kristiansund vs Haugesund,2024-09-01,0.026853810000000002
A. Bærtelsen,Haugesund,Molde vs Haugesund,2024-04-28,0.09749418
A. Bærtelsen,Haugesund,Odd vs Haugesund,2024-03-31,0.09368792999999999
A. Bærtelsen,Haugesund,Sandefjord vs Haugesund,2024-07-28,0.06024982
A. Bærtelsen,Haugesund,Sarpsborg 08 vs Haugesund,2024-08-18,0.03115085
A. Bærtelsen,Haugesund,Strømsgodset vs Haugesund,2024-05-20,0.11834637
A. Bærtelsen,Haugesund,Tromsø vs Haugesund,2024-04-14,0.00385832
A. Damnjanovic Nilsson,Sandefjord,Brann vs Sandefjord,2024-05-16,0.013298520000000001
A. Damnjanovic Nilsson,Sandefjord,Fredrikstad vs Sandefjord,2024-04-28,0.0008142
A. Damnjanovic Nilsson,Sandefjord,Odd vs Sandefjord,2024-04-14,0.01114576
A. Damnjanovic Nilsson,Sandefjord,Rosenborg vs Sandefjord,2024-04-01,0.0
A. Damnjanovic Nilsson,Sandefjord,Sandefjord vs Lillestrøm,2024-04-21,0.00704227
A. Damnjanovic Nilsson,Sandefjord,Sandefjord vs Molde,2024-05-05,0.00088085
A. Damnjanovic Nilsson,Sandefjord,Sandefjord vs Sarpsborg 08,2024-05-12,0.01343775
A. Diomande,KFUM,KFUM vs Lillestrøm,2024-08-30,0.006893600000000001
A. Diop,Sarpsborg 08,Bodø / Glimt vs Sarpsborg 08,2024-08-24,0.00405623
A. Diop,Sarpsborg 08,Brann vs Sarpsborg 08,2024-09-01,0.0016844000000000002
A. Ekeroth,HamKam,Bodø / Glimt vs HamKam,2024-09-13,4.61e-06
A. Ekeroth,HamKam,Molde vs HamKam,2024-08-25,0.00106771
A. Grønbæk,Bodø / Glimt,Bodø / Glimt vs Brann,2024-07-07,0.39049678
A. Grønbæk,Bodø / Glimt,Bodø / Glimt vs KFUM,2024-05-24,0.11071094
A. Grønbæk,Bodø / Glimt,Bodø / Glimt vs Molde,2024-04-21,0.06602216
A. Grønbæk,Bodø / Glimt,Bodø / Glimt vs Sandefjord,2024-05-29,0.39505904000000003
A. Grønbæk,Bodø / Glimt,Bodø / Glimt vs Strømsgodset,2024-05-05,0.11237863000000001
A. Grønbæk,Bodø / Glimt,Bodø / Glimt vs Tromsø,2024-05-16,0.10356937000000001
