playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Aleesami,KFUM,Bodø / Glimt vs KFUM,2025-04-27,0.0709632,0.027382200000000002
A. Aleesami,KFUM,HamKam vs KFUM,2025-05-02,0.3871118,0.0931872
A. Aleesami,KFUM,KFUM vs Sandefjord,2025-03-30,0.0033144,-0.0353455
A. Aleesami,KFUM,KFUM vs Sarpsborg 08,2025-04-21,0.09426620000000001,-0.0856389
A. Aleesami,KFUM,Viking vs KFUM,2025-04-06,0.026831,0.007519
A. Bondhus,Haugesund,Molde vs Haugesund,2025-05-04,0.28921050000000004,-0.053268600000000006
A. Bondhus,Haugesund,Viking vs Haugesund,2025-04-30,0.1774841,0.0716757
A. Bærtelsen,Viking,HamKam vs Viking,2025-04-21,0.1764591,0.0539025
A. Bærtelsen,Viking,Viking vs Haugesund,2025-04-30,0.967903,0.5000584
A. Bærtelsen,Viking,Viking vs KFUM,2025-04-06,0.3680575,0.1803971
A. Bærtelsen,Viking,Viking vs Kristiansund,2025-04-10,0.2754503,0.0901603
A. Bærtelsen,Viking,Viking vs Sarpsborg 08,2025-05-04,0.4583589,0.1435753
A. Bærtelsen,Viking,Viking vs Tromsø,2025-04-27,0.4852761,0.1457084
A. Bærtelsen,Viking,Vålerenga vs Viking,2025-03-30,0.0,0.0
A. Ekeroth,HamKam,Bodø / Glimt vs HamKam,2025-04-05,0.3297671,0.1407726
A. Ekeroth,HamKam,HamKam vs KFUM,2025-05-02,0.1913706,0.0686267
A. Ekeroth,HamKam,HamKam vs Kristiansund,2025-03-30,0.0004647,0.0004647
A. Ekeroth,HamKam,HamKam vs Viking,2025-04-21,0.09009299999999999,0.018734999999999998
A. Ekeroth,HamKam,Sandefjord vs HamKam,2025-04-27,0.30243149999999996,0.019722799999999988
A. Guessand,Kristiansund,HamKam vs Kristiansund,2025-03-30,0.0822937,0.0795227
A. Guessand,Kristiansund,Kristiansund vs Bryne,2025-04-06,0.0002681,-0.0038611
A. Guessand,Kristiansund,Kristiansund vs Vålerenga,2025-04-27,0.0552322,0.025352
A. Guessand,Kristiansund,Strømsgodset vs Kristiansund,2025-05-04,0.0307548,0.0267067
A. Heggebø,Brann,Brann vs Bryne,2025-04-27,0.3030064,0.0831459
A. Heggebø,Brann,Brann vs Strømsgodset,2025-04-10,0.2283877,0.0714407
A. Heggebø,Brann,Brann vs Tromsø,2025-04-06,0.30927950000000004,-0.018343100000000005
A. Heggebø,Brann,Fredrikstad vs Brann,2025-03-29,0.55431,0.253
A. Heggebø,Brann,Strømsgodset vs Brann,2025-04-21,0.6446499,0.014622799999999991
A. Heggebø,Brann,Vålerenga vs Brann,2025-05-03,0.4452921,0.2758783
A. Helmersen,Bodø / Glimt,Bodø / Glimt vs KFUM,2025-04-27,0.1665285,0.041395
A. Helmersen,Bodø / Glimt,Bryne vs Bodø / Glimt,2025-03-30,0.0458915,-0.0050826000000000005
A. Helmersen,Bodø / Glimt,Molde vs Bodø / Glimt,2025-04-21,0.12692620000000002,0.012412000000000001
