team_name,contestantId,match_id,periodId,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state,clock_sec,set_piece_index,set_piece_type,set_piece_team,event_time
Fredrikstad,e5txudmuc2qpc460bs4lb5aff,exh6dwo01z59haxt746hsnqj8,1,2792908547,71,15,7,28,1,91.4,63.0,D. Eid,35.0,22.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.0342106930911541,0.24518775939941406,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,none,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,3.0,0.0342106930911541,,,draw,448,6,throw_in,,448
Fredrikstad,e5txudmuc2qpc460bs4lb5aff,exh6dwo01z59haxt746hsnqj8,1,2792911679,88,16,9,57,1,96.4,44.2,E. Holten,43.0,26.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.182268425822258,0.6738628149032593,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,none,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,2.0,0.182268425822258,,,draw,597,2,throw_in,,597
Fredrikstad,e5txudmuc2qpc460bs4lb5aff,exh6dwo01z59haxt746hsnqj8,1,2792921291,159,15,20,36,1,83.7,28.6,E. Holten,79.0,54.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.01435923669487238,0.0,NaN,NaN,NaN,NaN,NaN,,true,,NaN,NaN,none,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,0.01435923669487238,,,Fredrikstad,1236,3,freekick,,1236
Fredrikstad,e5txudmuc2qpc460bs4lb5aff,exh6dwo01z59haxt746hsnqj8,1,2792943397,282,15,40,53,1,88.0,43.8,P. Metcalfe,143.0,91.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.1969067007303238,0.0,NaN,NaN,NaN,NaN,NaN,,true,,NaN,NaN,none,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,1.0,0.1969067007303238,,,Fredrikstad,2453,7,throw_in,,2453
Fredrikstad,e5txudmuc2qpc460bs4lb5aff,exh6dwo01z59haxt746hsnqj8,1,2792949883,309,15,46,43,1,75.2,33.6,S. Rafn,159.0,99.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.0170066449791193,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,none,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,1.0,0.0170066449791193,,,Fredrikstad,2803,9,throw_in,,2803
Fredrikstad,e5txudmuc2qpc460bs4lb5aff,exh6dwo01z59haxt746hsnqj8,2,2792994095,495,15,67,56,1,92.1,51.3,H. Skogvold,247.0,147.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.10002563893795013,0.07879902422428131,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,none,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,4.0,0.10002563893795013,,,Fredrikstad,4076,7,throw_in,,4076
Brann,6oxoag5c6zbnn09wx08vz4iak,exh6dwo01z59haxt746hsnqj8,2,2793003787,868,13,77,10,1,74.9,58.1,J. Soltvedt,279.0,168.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.024633873254060745,0.0,NaN,NaN,NaN,NaN,NaN,,true,,NaN,NaN,none,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,9.0,0.024633873254060745,,,Fredrikstad,4630,4,throw_in,,4630
Fredrikstad,e5txudmuc2qpc460bs4lb5aff,exh6dwo01z59haxt746hsnqj8,2,2793011351,568,16,82,49,1,85.4,50.6,H. Skogvold,290.0,175.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.1002129465341568,0.1949092298746109,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,none,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,0.1002129465341568,,,Fredrikstad,4969,3,throw_in,,4969
Brann,6oxoag5c6zbnn09wx08vz4iak,exh6dwo01z59haxt746hsnqj8,2,2793017813,964,13,87,50,1,93.3,59.5,U. Mathisen,308.0,188.0,NaN,NaN,Fredrikstad vs Brann,2025-03-29,NaN,NaN,NaN,0.05877610668540001,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,none,,NaN,true,,NaN,NaN,NaN,NaN,NaN,3.0,0.05877610668540001,,,Fredrikstad,5270,2,corner,,5270
Rosenborg,c7jgkxx1czv5etn7snf1r6p2m,ewwsesg642smmj28ele66gwes,1,2792726541,236,15,25,14,1,92.4,64.0,N. Holm,86.0,57.0,NaN,NaN,Strømsgodset vs Rosenborg,2025-03-29,NaN,NaN,NaN,0.03313971683382988,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.03313971683382988,,,draw,1514,3,corner,,1514
Strømsgodset,ew0hpuiweoltpsg5f51r2w64t,ewwsesg642smmj28ele66gwes,1,2792741823,311,13,33,2,1,71.6,52.1,H. Stengel,111.0,72.0,NaN,NaN,Strømsgodset vs Rosenborg,2025-03-29,NaN,NaN,NaN,0.035376064479351044,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.035376064479351044,,,draw,1982,1,freekick_shot,ew0hpuiweoltpsg5f51r2w64t,1982
