player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
F. Plach,1utq05d236olr7aoy810clgwl,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,NaN,NaN,Goalkeeper,Centre,NaN,6,NaN,NaN,NaN,5,NaN,NaN,8,7,6,90,12,4,3,9,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,2,POL,Ekstraklasa,2023_2024
T. Mokwa,eo7j8m95en3u2zpwehwy7vjrp,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,2,2,Defender,Left,NaN,29,NaN,5,NaN,12,2,NaN,19,36,18,90,16,2,4,21,10,11,1,1,1,2,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,9,POL,Ekstraklasa,2023_2024
J. Czerwiński,dv19gtc0jqvxmtxzxz3nw04wl,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,6,3,Defender,Left/Centre,NaN,35,NaN,3,NaN,21,1,NaN,14,44,23,90,18,6,2,21,6,9,1,1,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,9,POL,Ekstraklasa,2023_2024
A. Mosór,ahuuhqepl5shiwlg8f4z8mn3e,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,5,4,Defender,Centre/Right,NaN,28,NaN,8,NaN,15,1,NaN,14,43,20,90,21,9,3,24,7,12,NaN,8,NaN,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,,1,1,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,15,POL,Ekstraklasa,2023_2024
A. Pyrka,rvqiq9rz1ur11jb8skb7419m,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,9,4,Defender,Right,NaN,38,3,6,11,10,1,1,33,47,12,90,19,5,3,47,16,25,NaN,1,3,2,NaN,3,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,21,POL,Ekstraklasa,2023_2024
G. Tomasiewicz,1lmkzgjn68a57dw3n2nsk20ut,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,7,5,Defensive Midfielder,Left/Centre,NaN,28,1,3,4,12,1,1,17,35,14,83,18,9,9,23,11,16,NaN,NaN,NaN,8,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,9,POL,Ekstraklasa,2023_2024
P. Dziczek,6hdfz2mxfptzgyldvlbip2e39,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,6,NaN,Defensive Midfielder,Centre/Right,NaN,40,2,6,9,13,1,1,30,51,17,90,22,14,9,39,18,24,NaN,2,NaN,7,NaN,1,NaN,NaN,2,2,NaN,1,NaN,NaN,,1,1,,,4231,1,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,20,POL,Ekstraklasa,2023_2024
Jorge Félix,oyatrrl4rq1erkhluznzhi39,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,6,1,Attacking Midfielder,Left,NaN,26,1,12,4,5,1,NaN,21,35,7,90,16,4,2,28,18,22,1,4,2,1,NaN,NaN,NaN,1,5,1,NaN,NaN,NaN,1,,2,2,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,13,POL,Ekstraklasa,2023_2024
M. Chrapek,4h6ku69wrhijpfltgrxtzeqj9,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,2,1,Attacking Midfielder,Centre,NaN,29,NaN,3,4,7,1,NaN,26,36,8,76,13,2,3,35,17,23,1,NaN,1,1,1,3,1,NaN,3,NaN,NaN,1,NaN,NaN,,2,2,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,13,POL,Ekstraklasa,2023_2024
M. Ameyaw,7qu0qz8c7xik26o96iix88416,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,10,4,Attacking Midfielder,Right,NaN,15,8,7,4,3,NaN,4,12,19,3,90,6,1,3,23,9,13,NaN,1,NaN,1,NaN,7,NaN,3,7,3,NaN,2,NaN,NaN,,NaN,NaN,,,4231,1,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,17,POL,Ekstraklasa,2023_2024
