playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Ba Loua,Lech Poznań,Lech Poznań vs Górnik Zabrze,0.0,0.0
A. Ba Loua,Lech Poznań,Widzew Łódź vs Lech Poznań,0.0,0.0
A. Buksa,Górnik Zabrze,Lech Poznań vs Górnik Zabrze,0.0,0.0
A. Buksa,Górnik Zabrze,Puszcza Niepołomice vs Górnik Zabrze,0.0,0.0
A. Błąd,GKS Katowice,GKS Katowice vs Radomiak Radom,0.0,0.0
A. Błąd,GKS Katowice,Stal Mielec vs GKS Katowice,0.0,0.0
A. Chindriş,Lechia Gdańsk,Lechia Gdańsk vs Motor Lublin,0.0,0.0
A. Chindriş,Lechia Gdańsk,Śląsk Wrocław vs Lechia Gdańsk,0.0,0.0
A. Chojecki,Korona Kielce,Pogoń Szczecin vs Korona Kielce,0.0,0.0
A. Crnac,Raków Częstochowa,Motor Lublin vs Raków Częstochowa,0.0,0.0
A. Crnac,Raków Częstochowa,Raków Częstochowa vs Cracovia,0.0,0.0
A. Crăciun,Puszcza Niepołomice,Jagiellonia Białystok vs Puszcza Niepołomice,0.0,0.0
A. Crăciun,Puszcza Niepołomice,Puszcza Niepołomice vs Górnik Zabrze,0.0,0.0
A. Czerwiński,GKS Katowice,GKS Katowice vs Radomiak Radom,0.0,0.0
A. Czerwiński,GKS Katowice,Stal Mielec vs GKS Katowice,0.0,0.0
A. Douglas,Lech Poznań,Lech Poznań vs Górnik Zabrze,0.0,0.0
A. Douglas,Lech Poznań,Widzew Łódź vs Lech Poznań,0.0,0.0
A. Gholizadeh,Lech Poznań,Lech Poznań vs Górnik Zabrze,0.0,0.0
A. Gholizadeh,Lech Poznań,Widzew Łódź vs Lech Poznań,0.0,0.0
A. Gorgon,Pogoń Szczecin,Pogoń Szczecin vs Korona Kielce,0.0,0.0
A. Gorgon,Pogoń Szczecin,Zagłębie Lubin vs Pogoń Szczecin,0.0,0.0
A. Hoskonen,Cracovia,Raków Częstochowa vs Cracovia,0.0,0.0
A. Jaunzems,Stal Mielec,Stal Mielec vs GKS Katowice,0.0,0.0
A. Jaunzems,Stal Mielec,Stal Mielec vs Widzew Łódź,0.0,0.0
A. Jędrych,GKS Katowice,GKS Katowice vs Radomiak Radom,0.0,0.0
A. Jędrych,GKS Katowice,Stal Mielec vs GKS Katowice,0.0,0.0
A. Jędrzejczyk,Legia Warszawa,Legia Warszawa vs Zagłębie Lubin,0.0,0.0
A. Klimek,Widzew Łódź,Stal Mielec vs Widzew Łódź,0.0,0.0
A. Klimek,Widzew Łódź,Widzew Łódź vs Lech Poznań,0.0,0.0
A. Komor,GKS Katowice,GKS Katowice vs Radomiak Radom,0.0,0.0
A. Komor,GKS Katowice,Stal Mielec vs GKS Katowice,0.0,0.0
A. Kozubal,Lech Poznań,Lech Poznań vs Górnik Zabrze,0.0,0.0
A. Kozubal,Lech Poznań,Widzew Łódź vs Lech Poznań,0.0,0.0
A. Milić,Lech Poznań,Lech Poznań vs Górnik Zabrze,0.0,0.0
A. Milić,Lech Poznań,Widzew Łódź vs Lech Poznań,0.0,0.0
