player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,totalLongBalls,goals,label,match_id,date,possLostAll,country,league_name,season
A. Paulsen,82tyg0nqfcncdgw3g474a37fu,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Goalkeeper,Centre,NaN,13,NaN,1,NaN,14,1,NaN,2,18,15,90,15,6,7,10,NaN,6,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,12,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,9,POL,Ekstraklasa,2025_2026
M. Vojtko,7s7qpbwbprkfliinikth7rieh,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,3,NaN,Defender,Left,NaN,34,1,3,10,23,1,NaN,15,43,24,90,21,10,2,28,3,7,NaN,2,NaN,1,1,7,1,2,NaN,NaN,NaN,NaN,2,NaN,,NaN,NaN,NaN,NaN,4231,6,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,26,POL,Ekstraklasa,2025_2026
M. Rodin,7y7wrtvktvxfki86p41ptoell,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,2,2,Defender,Left/Centre,NaN,68,NaN,6,NaN,35,NaN,NaN,35,72,35,90,15,3,1,39,2,3,1,3,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,6,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,5,POL,Ekstraklasa,2025_2026
M. Diachuk,1swb8k67itlpalnjkyrv7quzu,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,2,2,Defender,Centre/Right,NaN,70,NaN,2,NaN,45,2,NaN,26,70,45,90,20,1,5,26,1,1,NaN,2,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,3,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,NaN,POL,Ekstraklasa,2025_2026
B. Kłudka,9j9royq4nk9ls9q30m7wpj4es,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,2,1,Defender,Right,NaN,48,NaN,3,2,25,3,NaN,23,51,25,90,15,7,3,28,8,10,1,NaN,1,NaN,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,1,,NaN,NaN,NaN,NaN,4231,3,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,5,POL,Ekstraklasa,2025_2026
T. Neugebauer,98p3yzev7i6oown2j3rc9l1xw,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,2,NaN,Defensive Midfielder,Left/Centre,NaN,26,NaN,4,5,12,1,NaN,16,33,13,90,10,9,8,23,7,11,NaN,1,NaN,5,3,1,3,2,1,NaN,NaN,2,1,NaN,,NaN,NaN,NaN,NaN,4231,5,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,13,POL,Ekstraklasa,2025_2026
R. Kapič,9s5oz0s4xrnzusdn88x267tux,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,3,NaN,Defensive Midfielder,Centre/Right,NaN,57,3,4,4,27,4,2,34,61,27,90,18,12,10,39,12,16,1,NaN,1,5,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,,1,1,NaN,NaN,4231,3,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,8,POL,Ekstraklasa,2025_2026
A. Ćirković,z72ggw8vorkdknp2jt6dthey,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,2,1,Attacking Midfielder,Left,NaN,14,2,4,4,5,NaN,2,10,19,7,83,8,2,2,16,5,5,1,1,2,2,3,2,3,3,3,2,NaN,NaN,NaN,NaN,,2,2,NaN,NaN,4231,2,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,10,POL,Ekstraklasa,2025_2026
D. Kurminowski,6ifk9nxjknsu12kkzpdisr7fu,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,6,3,Attacking Midfielder,Centre,NaN,15,NaN,3,NaN,4,NaN,NaN,11,21,4,90,8,4,5,17,3,8,NaN,1,NaN,5,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,10,POL,Ekstraklasa,2025_2026
K. Sezonienko,e4e00p1ladeid8rskau6m24q2,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,7,1,Attacking Midfielder,Right,NaN,15,2,2,2,7,2,NaN,8,25,9,90,6,2,3,17,4,9,NaN,NaN,NaN,1,NaN,1,NaN,NaN,2,2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,3,1,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,16,POL,Ekstraklasa,2025_2026
T. Bobček,bietr931bndhcujqn866nqj56,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,9,5,Striker,Centre,NaN,9,2,8,1,NaN,NaN,NaN,9,18,1,90,2,1,1,17,3,9,1,7,1,NaN,NaN,NaN,NaN,2,8,2,NaN,1,NaN,NaN,,1,NaN,1,1,4231,NaN,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,15,POL,Ekstraklasa,2025_2026
Mohamed Awad Alla,ke6kaamj59fyq4kx0fu9wd0,Lechia Gdańsk,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,NaN,NaN,Lechia Gdańsk vs Wisła Płock,boax8841twohk9lqeflqdb2fo,2025-10-03,NaN,POL,Ekstraklasa,2025_2026
