id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,knownName,endDate
1bp4zxpf5872bbea2egft34h6,Sergio,Guerrero Romero,Sergio,Guerrero,Male,Sergio Guerrero,Spain,49ih1pwv3ahshdf8uzrimi54c,Midfielder,player,1999-01-13,Málaga,Spain,49ih1pwv3ahshdf8uzrimi54c,174.0,69.0,right,23.0,2025-07-22Z,active,yes,NaN,NaN,NaN,NaN
1xyu3mbsojnoze2231eok800k,Eric,Topór,Eric,Topór,Male,E. Topór,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2005-02-12,Oak Lawn,USA,7hr2f89v44y65dyu9k92vprwn,191.0,79.0,both,70.0,2025-07-01Z,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN
2bz94y3gxolf5rmgsv71nshgq,Noah,Mrosek,Noah,Mrosek,Male,N. Mrosek,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2004-06-18,Paderborn,Germany,36min0qztu8eydwvpv8t1is0m,175.0,NaN,both,22.0,2024-08-10Z,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN
2i17edqts9wh95wpu09180r9w,Thiago,Dombroski Moreira,Thiago,Dombroski Moreira,Male,Thiago Dombroski,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,2002-06-20,Curitiba,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,190.0,NaN,left,55.0,2025-01-29Z,active,yes,Poland,27baqb7359ywdvsxxklx1kn11,Thiago Dombroski,NaN
2iqbz94a9zq4affx6jqrwpf4l,Kamil,Zapolnik,Kamil,Zapolnik,Male,K. Zapolnik,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,1992-09-09,Białystok,Poland,27baqb7359ywdvsxxklx1kn11,182.0,77.0,both,25.0,2024-06-27Z,active,yes,NaN,NaN,NaN,NaN
2pgrp165h77hgyc39iiky1c7o,Mikołaj,Molga,Mikolaj,Molga,Male,M. Molga,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2005-12-02,NaN,Poland,27baqb7359ywdvsxxklx1kn11,190.0,NaN,NaN,88.0,2024-05-10Z,active,no,NaN,NaN,NaN,2025-07-23Z
2qqtbi4aynzpt37gpqemnuk89,Maciej,Ambrosiewicz,Maciej,Ambrosiewicz,Male,M. Ambrosiewicz,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1998-05-24,Gdynia,Poland,27baqb7359ywdvsxxklx1kn11,184.0,75.0,right,28.0,2022-01-26Z,active,yes,NaN,NaN,NaN,NaN
4ocx0iz0t92zku35j4iaxeqdw,Igor,Strzałek,Igor,Strzalek,Male,I. Strzałek,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2004-01-19,Siedlce,Poland,27baqb7359ywdvsxxklx1kn11,183.0,65.0,both,86.0,2024-08-21Z,active,yes,NaN,NaN,NaN,2026-06-30Z
4onmhy0ajxlyqnplogcgrc2ga,Damian,Hilbrycht,Damian,Hilbrycht,Male,D. Hilbrycht,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1998-05-19,Bielsko-Biała,Poland,27baqb7359ywdvsxxklx1kn11,179.0,69.0,left,21.0,2023-01-21Z,active,yes,NaN,NaN,NaN,NaN
4y27qc4y3as8k8yw1a4v0mvh1,Rafał Maciej,Kurzawa,Rafal,Kurzawa,Male,R. Kurzawa,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1993-01-29,Wieruszów,Poland,27baqb7359ywdvsxxklx1kn11,182.0,73.0,left,8.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
5qesnvblwq9t6ooi1dc2hp05w,Maciej,Janicki,Maciej,Janicki,Male,M. Janicki,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2008-01-14,NaN,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,24.0,2025-07-30Z,active,yes,NaN,NaN,NaN,NaN
6hkg42f2ajsrqox21kor48siy,Waldemar,Piątek,Waldemar,Piatek,Male,W. Piątek,Poland,27baqb7359ywdvsxxklx1kn11,NaN,assistant coach,1979-11-02,NaN,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,NaN,2021-12-13Z,active,yes,NaN,NaN,NaN,NaN
73dcpge372wcp0tf4oesep7xm,Krzysztof,Kubica,Krzysztof,Kubica,Male,K. Kubica,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2000-05-25,Żywiec,Poland,27baqb7359ywdvsxxklx1kn11,193.0,72.0,both,13.0,2025-01-12Z,active,yes,NaN,NaN,NaN,NaN
800gwbffntxuzfx7s1ct8amt,Arkadiusz,Kasperkiewicz,Arkadiusz,Kasperkiewicz,Male,A. Kasperkiewicz,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1994-09-29,Łódź,Poland,27baqb7359ywdvsxxklx1kn11,187.0,79.0,right,3.0,2023-07-20Z,active,yes,NaN,NaN,NaN,NaN
8ar8adrc0fpzvecl4w5v0hp90,Miłosz,Kozik,Milosz,Kozik,Male,M. Kozik,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2004-12-18,Częstochowa,Poland,27baqb7359ywdvsxxklx1kn11,195.0,NaN,left,16.0,2025-07-17Z,active,yes,NaN,NaN,NaN,NaN
93o28ydbvwtnx57fivsejpi0a,Jesús,Jiménez Núñez,Jesús,Jiménez,Male,Jesús Jiménez,Spain,49ih1pwv3ahshdf8uzrimi54c,Attacker,player,1993-11-05,Leganés,Spain,49ih1pwv3ahshdf8uzrimi54c,183.0,82.0,right,9.0,2025-07-10Z,active,yes,NaN,NaN,NaN,NaN
9ttmrnrtljxi2iwzljm89t6uh,Maciej,Wolski,Maciej,Wolski,Male,M. Wolski,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1997-03-29,Nowe Miasto Lubawskie,Poland,27baqb7359ywdvsxxklx1kn11,176.0,67.0,right,6.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN
acdfeoo06s7cp9nicjo9ny4gk,Diego,Deisadze,Diego,Deisadze,Male,D. Deisadze,Georgia,55mqz7j6585f2jhgfhn62lomr,Attacker,player,2004-10-15,Moskva,Russia,7kfg68kh6n16fs4ap3xjiudr,193.0,93.0,both,35.0,2024-03-27Z,active,yes,NaN,NaN,NaN,NaN
c0vgcoamfgky8di6ng2tz6zmx,Miłosz Stefan,Mleczko,Milosz,Mleczko,Male,M. Mleczko,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,1999-03-01,Gorlice,Poland,27baqb7359ywdvsxxklx1kn11,191.0,84.0,right,99.0,2024-06-15Z,active,yes,NaN,NaN,NaN,NaN
ceat5wp5demb6cwj6ribrnkyx,Lucas Gabriel,Masoero Masi,Lucas,Masoero,Male,L. Masoero,Argentina,2vovxa97k7v7ofa85dah2xktb,Defender,player,1995-02-01,Mendoza,Argentina,2vovxa97k7v7ofa85dah2xktb,188.0,84.0,right,5.0,2025-07-01Z,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN
cngdc4z8ixvm06dw37u0zmdt6,Andrzej,Trubeha,Andrzej,Trubeha,Male,A. Trubeha,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,1997-11-22,Jaworów,Ukraine,315w6fk6umfzf4qvba3t55u61,186.0,75.0,both,53.0,2023-02-09Z,active,yes,NaN,NaN,NaN,NaN
ctn6ainy700kvx34e5p5jayvo,Wojciech,Jakubik,Wojciech,Jakubik,Male,W. Jakubik,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2005-01-23,NaN,Poland,27baqb7359ywdvsxxklx1kn11,185.0,68.0,left,26.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN
cysvjy875y4ckcpc59a1tbfmd,Marcin,Brosz,Marcin,Brosz,Male,M. Brosz,Poland,27baqb7359ywdvsxxklx1kn11,NaN,coach,1973-04-11,Knurów,Poland,27baqb7359ywdvsxxklx1kn11,175.0,NaN,NaN,NaN,2024-03-20Z,active,yes,NaN,NaN,NaN,NaN
e09qa60zisdsv4gfcxlbxk4ix,Morgan Kwasi,Faßbender,Morgan,Fassbender,Male,M. Faßbender,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1998-10-18,Stuttgart,Germany,36min0qztu8eydwvpv8t1is0m,188.0,78.0,NaN,7.0,2023-07-01Z,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN
eaqzg4i6sqclqa2vdzr2er1g4,Dominik Andrzej,Biniek,Dominik,Biniek,Male,D. Biniek,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2004-09-05,NaN,England,1fk5l4hkqk12i7zske6mcqju6,173.0,NaN,right,17.0,2025-01-24Z,active,yes,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN
emyhuesluc4lxa09betpsqml1,Artem,Putivtsev,Artem,Putivtsev,Male,A. Putivtsev,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,1988-08-29,Kharkiv,Ukraine,315w6fk6umfzf4qvba3t55u61,189.0,85.0,left,77.0,2016-02-04Z,active,yes,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN
es6g15iijmeda0leumxmy5exh,Bartosz,Kopacz,Bartosz,Kopacz,Male,B. Kopacz,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1992-05-21,Jastrzębie Zdrój,Poland,27baqb7359ywdvsxxklx1kn11,188.0,85.0,right,2.0,2025-01-23Z,active,yes,NaN,NaN,NaN,NaN
f21fstn8a9qofqchhqg0imkt1,Adrián,Chovan,Adrián,Chovan,Male,A. Chovan,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1995-10-08,Partizánske,Slovakia,7dybe8679n9bgyrcxi383pq3y,192.0,90.0,right,1.0,2024-06-19Z,active,yes,NaN,NaN,NaN,NaN
f2s5wrtyq7ayf2mggz8f01016,Jakub,Branecki,NaN,NaN,Male,J. Branecki,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,2003-09-16,Elbląg,Poland,27baqb7359ywdvsxxklx1kn11,186.0,NaN,both,NaN,2025-07-01Z,active,no,NaN,NaN,NaN,2025-07-25Z
u29zhixkawd2kd0ozuit8ueh,Radu Ștefăniță,Boboc,Radu,Boboc,Male,R. Boboc,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,1999-04-24,Craiova,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,67.0,right,27.0,2025-06-20Z,active,yes,NaN,NaN,NaN,NaN
yazkd6ecp3a7cunw4v9x8l7u,Gabriel,Isik,Gabriel,Isik,Male,G. Isik,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1999-06-06,Wiesbaden,Germany,36min0qztu8eydwvpv8t1is0m,187.0,83.0,right,29.0,2024-08-09Z,active,yes,NaN,NaN,NaN,NaN
1s2hnit6uh6b651m3jn9w52p5,Mateusz,Marzec,Mateusz,Marzec,Male,M. Marzec,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1994-08-13,Ozimek,Poland,27baqb7359ywdvsxxklx1kn11,178.0,70.0,NaN,17.0,2023-01-29Z,active,yes,NaN,NaN,NaN,NaN
1z3geshn4wenhv4ykebzv51bd,Grzegorz,Rogala,Grzegorz,Rogala,Male,G. Rogala,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1995-10-12,Stargard Szczeciński,Poland,27baqb7359ywdvsxxklx1kn11,183.0,76.0,left,16.0,2019-07-05Z,active,yes,NaN,NaN,NaN,NaN
2od50aaxh8hofv32r291dqjh0,Kacper,Ćwielong,Kacper,Cwielong,Male,K. Cwielong,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2007-08-22,NaN,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,NaN,2025-07-01Z,active,no,NaN,NaN,NaN,2025-08-28Z
2pdy64dhznfn9tu2ahy3ef5qt,Bartosz,Nowak,Bartosz,Nowak,Male,B. Nowak,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1993-08-25,Radom,Poland,27baqb7359ywdvsxxklx1kn11,180.0,74.0,right,27.0,2024-07-23Z,active,yes,NaN,NaN,NaN,NaN
473vhx4rfbcclgat6tsin2dpl,Rafał,Strączek,Rafal,Straczek,Male,R. Strączek,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,1999-02-12,Jarosław,Poland,27baqb7359ywdvsxxklx1kn11,188.0,80.0,right,12.0,2024-07-24Z,active,yes,NaN,NaN,NaN,NaN
4czvb5mgp2vc80xu80gcsao5x,Adrian,Błąd,Adrian,Blad,Male,A. Błąd,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1991-04-16,Lubin,Poland,27baqb7359ywdvsxxklx1kn11,165.0,68.0,both,11.0,2017-08-21Z,active,yes,NaN,NaN,NaN,NaN
4k6q76mgnuplycboirg98tzh1,Alan,Czerwiński,Alan,Czerwinski,Male,A. Czerwiński,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1993-02-02,Olkusz,Poland,27baqb7359ywdvsxxklx1kn11,181.0,74.0,right,30.0,2024-07-09Z,active,yes,NaN,NaN,NaN,NaN
4w0adddkbx4642lkebbcmxbzd,Eman,Marković,Eman,Markovic,Male,E. Marković,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1999-05-08,Flrkkefjord,Norway,7f16iy4w8u8ogyn6pfooqwv5z,180.0,76.0,right,NaN,2025-08-29Z,active,yes,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN
5qje9sidahy3t3o4m6sxvnfqi,Marcel,Wędrychowski,Marcel,Wedrychowski,Male,M. Wędrychowski,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2002-01-13,Szczecin,Poland,27baqb7359ywdvsxxklx1kn11,171.0,69.0,both,10.0,2025-06-20Z,active,yes,NaN,NaN,NaN,NaN
6gio220jnnpvfcfkqpo53gxjp,Adam,Zreľák,Adam,Zrelák,Male,A. Zreľák,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,1994-05-05,Stará Ľubovňa,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,80.0,left,99.0,2024-06-25Z,active,yes,NaN,NaN,NaN,NaN
6mjhepo267xtrt1bqre1dsq8l,Lukas Rafael,Klemenz,Lukas,Klemenz,Male,L. Klemenz,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1995-09-24,Neu-Ulm,Germany,36min0qztu8eydwvpv8t1is0m,191.0,88.0,right,6.0,2024-06-24Z,active,yes,NaN,NaN,NaN,NaN
77i1j6flk8cpmh6e2kn31nalm,Maciej,Rosołek,Maciej,Rosolek,Male,M. Rosołek,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,2001-09-02,Siedlce,Poland,27baqb7359ywdvsxxklx1kn11,183.0,82.0,both,7.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
7dw3mexdcnel375y16vfl0g2y,Jesse,Bosch,Jesse,Bosch,Male,J. Bosch,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2000-02-01,De Lutte,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,76.0,right,5.0,2025-08-14Z,active,yes,NaN,NaN,NaN,NaN
7n6yldtc9zhnwdzvgnih81jh1,Jakub,Łukowski,Jakub,Lukowski,Male,J. Łukowski,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1996-05-25,Bydgoszcz,Poland,27baqb7359ywdvsxxklx1kn11,172.0,74.0,right,14.0,2025-07-08Z,active,yes,NaN,NaN,NaN,NaN
810ngks5osj9ne4mzmj40stuc,Filip,Rejczyk,Filip,Rejczyk,Male,F. Rejczyk,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2006-04-20,Stalowa Wola,Poland,27baqb7359ywdvsxxklx1kn11,179.0,73.0,right,20.0,2025-07-18Z,active,yes,NaN,NaN,NaN,NaN
9t8s1wtc6higz8ernnk0t9ck5,Märten,Kuusk,Märten,Kuusk,Male,M. Kuusk,Estonia,64smib5liu1qh78iaylufxj99,Defender,player,1996-04-05,Tallinn,Estonia,64smib5liu1qh78iaylufxj99,181.0,76.0,right,2.0,2024-01-23Z,active,yes,NaN,NaN,NaN,NaN
a0zpetflr8gttr03gfqjvxi39,Borja,Galán González,Borja,Galán,Male,Borja Galán,Spain,49ih1pwv3ahshdf8uzrimi54c,Midfielder,player,1993-04-26,Madrid,Spain,49ih1pwv3ahshdf8uzrimi54c,182.0,76.0,right,8.0,2024-06-20Z,active,yes,NaN,NaN,NaN,NaN
a7sjrqjvm8jwm64a7dxpqjii2,Aleksander,Buksa,Aleksander,Buksa,Male,A. Buksa,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,2003-01-15,Kraków,Poland,27baqb7359ywdvsxxklx1kn11,189.0,76.0,left,21.0,2025-07-12Z,active,yes,NaN,NaN,NaN,2026-06-30Z
anpadn4bxepct4hw6h76qe28l,Dawid,Kudła,Dawid,Kudla,Male,D. Kudła,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,1992-03-21,Ruda Śląska,Poland,27baqb7359ywdvsxxklx1kn11,189.0,84.0,right,1.0,2021-07-01Z,active,yes,NaN,NaN,NaN,NaN
ayk1pp3xfbxcjosxe63b4om50,Łukasz,Trepka,Lukasz,Trepka,Male,Ł. Trepka,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2006-12-26,NaN,Poland,27baqb7359ywdvsxxklx1kn11,182.0,NaN,NaN,25.0,2024-03-15Z,active,yes,NaN,NaN,NaN,NaN
b8fc8pgvumh4uonerj9ld82qx,Marcin,Wasielewski,Marcin,Wasielewski,Male,M. Wasielewski,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1994-08-23,Poznań,Poland,27baqb7359ywdvsxxklx1kn11,172.0,73.0,right,23.0,2022-06-17Z,active,yes,NaN,NaN,NaN,NaN
bhkhtg8t4nguiqfkr5un61rrp,Arkadiusz,Jędrych,Arkadiusz,Jedrych,Male,A. Jędrych,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1992-05-27,Pruszków,Poland,27baqb7359ywdvsxxklx1kn11,192.0,90.0,NaN,4.0,2019-01-29Z,active,yes,NaN,NaN,NaN,NaN
c6qsnn5fewykplrfk5ngn31pm,Patryk,Szczuka,Patryk,Szczuka,Male,P. Szczuka,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2002-01-31,Jaworzno,Poland,27baqb7359ywdvsxxklx1kn11,189.0,76.0,NaN,33.0,2022-06-20Z,active,no,NaN,NaN,NaN,2025-08-08Z
cwmmiuio76em9a2aalcvk7huc,Alan,Bród,Alan,Bród,Male,A. Bród,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2004-08-09,NaN,Poland,27baqb7359ywdvsxxklx1kn11,177.0,NaN,NaN,28.0,2022-05-31Z,active,yes,NaN,NaN,NaN,NaN
cxd642lcm5z27xm9kdr0uqj1l,Bartosz,Jaroszek,Bartosz,Jaroszek,Male,B. Jaroszek,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1994-02-17,Siemianowice Śląskie,Poland,27baqb7359ywdvsxxklx1kn11,189.0,82.0,NaN,13.0,2020-08-15Z,active,no,NaN,NaN,NaN,2025-08-21Z
czs0kshkwsxrl8jwr9z6cbbv9,Rafał,Górak,Rafal,Gorak,Male,R. Górak,Poland,27baqb7359ywdvsxxklx1kn11,NaN,coach,1973-03-30,Bytom,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,NaN,2019-06-03Z,active,yes,NaN,NaN,NaN,NaN
dlfr8xn11nu2q4tkadvna97v8,Kacper,Łukasiak,Kacper,Lukasiak,Male,K. Łukasiak,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2003-09-24,Szczecin,Poland,27baqb7359ywdvsxxklx1kn11,180.0,73.0,right,19.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
