player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll
A. Buzbuchi,8wxt354n0hx4cgr6vaj1ymqc5,3p3r3bt8hqpia1j9kr9olotwq,NaN,NaN,Goalkeeper,Centre,NaN,18,NaN,1,NaN,24,2,NaN,NaN,22,26,90,12,1,6,2,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,4
C. Ganea,4mnmiseo5vsytudfrbx3knahh,3p3r3bt8hqpia1j9kr9olotwq,NaN,NaN,Defender,Left,NaN,45,NaN,3,6,18,3,NaN,35,53,18,90,27,5,5,45,18,24,1,2,2,2,2,4,2,NaN,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,10
Gustavo Marins,3qj3vscshuk2ezfpoi0xqgjro,3p3r3bt8hqpia1j9kr9olotwq,6,4,Defender,Left/Centre,NaN,60,NaN,5,NaN,40,6,NaN,20,72,42,90,32,6,7,30,3,7,NaN,3,NaN,1,1,NaN,1,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,12
M. Popescu,egzn9cab3yvh5xp5avt3akycp,3p3r3bt8hqpia1j9kr9olotwq,8,3,Defender,Centre/Right,NaN,62,1,10,2,41,6,NaN,25,77,45,90,46,18,7,36,12,21,NaN,5,NaN,1,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,18
D. Sîrbu,8qam2sfe706jwuxtiop9omooa,3p3r3bt8hqpia1j9kr9olotwq,10,NaN,Defender,Right,NaN,36,8,6,7,10,2,3,27,42,11,90,12,7,4,35,16,20,2,2,2,2,NaN,4,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,19
C. Grameni,f4mw2u92474zjsk6wvkrmd9be,3p3r3bt8hqpia1j9kr9olotwq,5,NaN,Midfielder,Left/Centre,NaN,43,NaN,5,3,13,1,NaN,33,55,16,90,28,15,4,42,20,28,1,1,1,2,1,NaN,1,1,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,16
Diogo Queirós,zj7p9urhzbk3naybai223js9,3p3r3bt8hqpia1j9kr9olotwq,1,NaN,Midfielder,Centre,NaN,60,NaN,2,NaN,45,2,NaN,17,66,47,61,17,7,2,21,7,9,1,1,1,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,8
I. Vînă,4yaa4ay3u86woh8fvhww6br9x,3p3r3bt8hqpia1j9kr9olotwq,3,NaN,Midfielder,Centre/Right,NaN,28,4,4,4,8,3,3,20,34,8,45,8,3,6,27,12,17,NaN,NaN,NaN,2,NaN,1,NaN,1,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,10
I. Cojocaru,copf0hfkbxgubtxdb0wcydmok,3p3r3bt8hqpia1j9kr9olotwq,8,1,Striker,Left/Centre,NaN,11,5,5,NaN,1,NaN,2,12,14,1,75,1,NaN,1,15,8,11,NaN,1,NaN,NaN,NaN,NaN,NaN,3,9,3,NaN,1,NaN,NaN,NaN,2,2,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,14
Rivaldinho,1ugtf09ku7rcwuu1mbpmrby6t,3p3r3bt8hqpia1j9kr9olotwq,5,3,Striker,Centre,NaN,5,NaN,3,NaN,3,NaN,NaN,4,9,3,45,2,1,2,8,3,7,1,2,1,1,NaN,NaN,NaN,1,3,1,NaN,1,NaN,NaN,NaN,3,2,NaN,NaN,433,NaN,FCV Farul Constanţa vs Unirea Slobozia,c2nezbaj1d9sd3manicbt1qms,2024-07-12,5
