playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Abeid,CFR Cluj,Hermannstadt vs CFR Cluj,0.4853842,0.2280671
A. Aganović,Unirea Slobozia,Dinamo Bucureşti vs Unirea Slobozia,0.3121995,-0.00017320000000000182
A. Artean,CFR Cluj,CFR Cluj vs FCSB,0.0809444,0.004521400000000002
A. Artean,CFR Cluj,Hermannstadt vs CFR Cluj,0.0203948,0.012079500000000002
A. Bani,Dinamo Bucureşti,Dinamo Bucureşti vs Unirea Slobozia,0.10533719999999999,-0.0458448
A. Benga,UTA Arad,UTA Arad vs Hermannstadt,0.0698437,0.025370800000000002
A. Buzbuchi,FCV Farul Constanţa,Petrolul 52 vs FCV Farul Constanţa,0.029257000000000002,-0.0007701999999999996
A. Băluță,FCSB,CFR Cluj vs FCSB,0.4045168,0.2049637
A. Băluță,FCSB,FCSB vs Petrolul 52,0.1779169,-0.0185043
A. Caragea,Dinamo Bucureşti,Oţelul vs Dinamo Bucureşti,0.0228434,-4.130000000000106e-05
A. Chică-Roșă,Botoșani,Botoșani vs AS FC Buzău,0.0452242,-0.0833342
A. Chică-Roșă,Botoșani,Sepsi vs Botoșani,0.0595242,0.016281
A. Chipciu,Universitatea Cluj,Rapid Bucureşti vs Universitatea Cluj,0.2712008,0.04332539999999999
A. Chițu,Hermannstadt,Hermannstadt vs CFR Cluj,0.20871599999999998,-0.030286300000000006
A. Chițu,Hermannstadt,UTA Arad vs Hermannstadt,0.2975971,-0.032769
A. Dobrosavlevici,AS FC Buzău,AS FC Buzău vs Oţelul,0.1139554,0.0339549
A. Dumitrescu,Sepsi,Sepsi vs Botoșani,0.15837949999999998,0.1204523
A. Fică,CFR Cluj,CFR Cluj vs FCSB,0.4238331,0.19021079999999999
A. Fică,CFR Cluj,Hermannstadt vs CFR Cluj,0.6712884,0.1879211
A. Friday,Botoșani,Botoșani vs AS FC Buzău,0.8558044,0.3635846
A. Friday,Botoșani,Sepsi vs Botoșani,0.5032047000000001,0.0570228
A. Fábry,UTA Arad,UTA Arad vs Hermannstadt,0.6525529,0.0984268
A. Gheorghiță,Politehnica Iași,Politehnica Iași vs Universitatea Craiova,0.1317545,-0.007092400000000003
A. Golubović,Dinamo Bucureşti,Dinamo Bucureşti vs Unirea Slobozia,0.0241852,-0.0060885
A. Golubović,Dinamo Bucureşti,Oţelul vs Dinamo Bucureşti,0.0141711,-0.0026758
A. Ivan,Universitatea Craiova,Politehnica Iași vs Universitatea Craiova,0.4691841,0.1868316
A. Ivanov,Hermannstadt,Hermannstadt vs CFR Cluj,0.1432594,0.026379
